ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
5648736,comment,5648602,5648725,2,0,outside1234,,,"Do you have a power meter by any miracle?   The main advantage I see to this over the Raspberry Pi (for my application) is its spartan power usage.",1367553596
5648735,comment,5644292,5645837,2,0,IvyMike,,,"Has anyone made a virtual IBM 5100 and posted the image to Pirate Bay yet?<p>It sure (would have saved / will save) him a ton of trouble.",1367553570
5648734,comment,5648321,5648704,3,0,wisty,,,"> Does anyone know some orgs with deep pockets that would be willing to accept and host 30-50 terabytes of papers?<p>The Pirate Bay?",1367553561
5648733,comment,5648658,5648658,1,0,pizza,,,abusing?,1367553543
5648732,comment,5646681,5647225,1,0,kevincoughlin,,,"For what it's worth, I was able to navigate fine using WASD and the arrow keys on my laptop",1367553515
5648731,comment,5648456,5648671,2,0,outside1234,,,"It costs almost nothing to run a company in the cloud and the software infrastructure is so productive that you can realistically bootstrap yourself.",1367553415
5648730,comment,5647914,5648527,8,0,spacelizard,,,">The software industry is heading in very bad directions, and this is at least a glimmer of hope.<p>I don't buy this -- Steam is just another walled garden app store with the same conflicts of interest that we're used to seeing, such as giving top billing to their own products on their store, using DRM, promoting itself as an advertising space, etc.<p>The problem I have is: where are all the GPL'ed games? The Torque Engine was just released with a permissive free license, which is good, but it will probably take a really good engine being released as GPL to get people to really start embracing the development of games in a community-driven way, rather than being stuck in the ivory tower like most games are now. There really isn't any other meaningful way for us to oppose these abusive ""app stores"" rather than shunning them so that we can turn to more community-driven efforts.",1367553405
5648729,comment,5647369,5648609,1,0,derefr,,,"Oh, I'm definitely not suggesting that American's own body politic should <i>grow</i>, by any means. If anything America could do with being split into about four different countries. (Not on any usefully-simple geographical lines, though; something more like ""charter cities""/""special economic zones"" might do better. An ideal division might be ""The United Farmlands of America"" and ""The United Metropolises of America"", since each group has pretty homogeneous opinions on how ""their country"" should be run.)<p>It would certainly be nice, though, if countries of people who <i>do</i> have homogeneous bodies politic, where country A is interested in the political decisions country B make because they affect A, could somehow trade something of their own for the right to have their own people get some control over A's affairs. They might, perhaps... buy stock in A? :)<p>(There's actually a lot of things putting governmental-policy ""stocks"" on a global market would solve, when you think about it. Certainly problems too, of course, but consider, for one thing, that it offers a workable alternative to ""takeover by war"" and ""eternal austerity"" that some Eurozone countries have been looking for for years now: ""takeover by transfer of controlling equity as a liquidated asset during default."")",1367553398
5648728,comment,5644880,5646545,1,0,steveklabnik,,,"> How much of Rails is written in C?<p>None, on purpose. We want maximum portability, and so the Rails defaults are Ruby-only on purpose. Of course, it's easy to add gems that replace things that are written in C or Java, depending on what makes the most sense for your platform.",1367553395
5648727,comment,5640536,5640536,1,0,peepoparino,,,"Nothing replaces a real handwritten thank you note but for a business person who has to write a lot of them... It looks like the next best alternative",1367553365
5648726,comment,5643258,5648471,1,0,wfunction,,,"Higher quality... in what way? Resolution, or something else?",1367553353
5648725,comment,5648602,5648602,4,0,llgrrl_,,,"Got the Black delivered on my door today, will try to post a quickie review tomorrow :-)",1367553290
