ID,Karma,Average,Stories,Comments,About,Created
2-m3m3n70,1,0.0,0,1,0,1351380524
20,1,0.0,0,1,0,1320195511
2000,0,0.0,0,2,0,1399285863
2005applicant,16,0.0,0,4,0,1314761244
200902,9,0.0,2,9,0,1306935875
2009ax,1,0.0,1,0,0,1303205538
200dollarsite,1,0.0,2,0,0,1339309794
200ok,1,0.0,0,1,0,1329809377
200please,1,0.0,1,0,0,1376440185
20100thibault,35,0.0,8,11,0,1317915968
20110202,3,0.0,0,2,0,1296667612
20110zabc,1,0.0,1,0,0,1312938864
2011liyong,1,0.0,1,0,0,1311651484
2012-Election,1,0.0,1,0,0,1346125096
20120406,1,0.0,0,1,0,1333737824
20120908,9,0.0,1,2,0,1347152767
20120910,2,0.0,0,1,0,1347183848
20130816,6,0.0,0,1,0,1376638946
20131102,1,0.0,0,2,0,1383347525
2013throwaway,13,0.0,0,2,0,1387341080
2013we,1,0.0,1,0,0,1304039214
20141008,4,0.0,0,3,0,1412795112
2014OC00000XXX,1,0.0,0,1,0,1390869197
2014myfuture,9,0.0,20,0,0,1431500648
2015-03-06,5,0.0,0,1,0,1425676098
20150310,2,0.0,0,1,0,1426002737
20150327ASG,1,0.0,0,1,0,1427478874
2015weird,3,0.0,0,5,0,1426710839
201studio,63,0.0,2,9,0,1279830457
2020,1,0.0,1,0,0,1330876931
2045utopia,2,0.0,0,1,0,1311554907
204NoContent,216,0.0,3,16,0,1353113245
2050,1,0.0,1,0,0,1375600867
205guy,722,1.68182,6,317,0,1334996398
20Fifteen,1,0.0,0,1,0,1317770646
20Signals,11,0.0,39,0,0,1398204405
20after4,28,0.0,2,22,0,1283572952
20andup,28,0.0,68,9,0,1319607859
20goto10,1,0.0,0,1,0,1397141144
20kleagues,149,0.0,14,37,0,1409200168
20man,4,0.0,1,0,0,1361927815
20pahrump14,1,0.0,0,2,0,1415984100
20thr,4,0.0,0,3,0,1287529825
20tibbygt06,39,0.0,7,6,0,1419911195
20uf6p76dvvqm00,1,0.0,1,0,0,1333294415
20years,36,0.0,2,11,0,1437494173
21122013,1,0.0,0,1,0,1387617955
211231321,6,0.0,0,10,0,1320612292
2114bf94,1,0.0,1,0,0,1335932207
212,1,0.0,0,1,0,1380515484
2121221,2,0.0,0,1,0,1322052032
21231651,-1,0.0,0,3,0,1317794421
212d1d,2,0.0,0,1,0,1444776086
2132135131,-2,0.0,0,1,0,1317539789
213424355352255,5,0.0,0,5,0,1390501000
213546846,2,0.0,0,1,0,1317558076
21422sedu,1,0.0,0,1,0,1380207959
2147,1,0.0,1,1,0,1384787695
215taylor,1,0.0,2,0,0,1332749748
2188daysago,2,0.0,0,1,0,1427092362
21armed,1,0.0,1,1,0,1292571308
21cssindia,-2,0.0,0,1,0,1385708143
21echoes,737,2.59091,0,266,0,1310085566
21may2011at6pm,1,0.0,1,0,0,1306015223
21neogeo,4,0.0,0,0,0,1249627631
21p,2,0.0,0,4,0,1435530531
21sappers,18,0.0,2,3,0,1341782447
21xhipster,-1,0.0,2,5,0,1415715847
2212,1,0.0,1,0,0,1320074416
2220025221,1,0.0,1,0,0,1298050246
222www,-4,0.0,0,5,0,1438676836
226jg5,31,0.0,0,2,0,1400786650
22alaska22,1,0.0,1,2,0,1188616215
22daysnutrition,1,0.0,1,0,0,1304778801
22k,1,0.0,0,1,0,1335070955
22ndcentury,1,0.0,1,0,0,1346386050
22ndcombinator,1,0.0,0,1,0,1225919646
22xfaster,0,0.0,1,1,0,1421048445
22yo,1,0.0,1,0,0,1387515073
2305,1,0.0,0,1,0,1354205147
23090940923,9,0.0,0,1,0,1421649538
2321sdadas,2,0.0,0,6,0,1363267883
232323,1,0.0,1,0,0,1382191928
23323888,7,0.0,0,1,0,1424550386
234234234234123,1,0.0,0,1,0,1437562786
2343467457,0,0.0,0,2,0,1376908703
234523421,-10,0.0,0,4,0,1283810307
234547556,5,0.0,0,2,0,1337034340
2347030125205,1,0.0,1,0,0,1302476375
235235qrfsafa,1,0.0,1,0,0,1351102849
2367o1,1,0.0,0,1,0,1341460295
238357,1,0.0,0,1,0,1421897536
2390902390,0,0.0,0,1,0,1430070097
2399,1,0.0,1,0,0,1355965744
23andMe,1,0.0,0,1,0,1380749146
23andmeuser,3,0.0,0,1,0,1376605602
23andwalnut,532,2.09091,30,94,0,1368197946
23arboo,1,0.0,0,3,0,1391589895
23cout,1,0.0,1,0,0,1303779307
23david,723,0.0,27,260,0,1296243811
23dev,6,0.0,1,1,0,1317314732
23fish,5,0.0,2,0,0,1383774015
23gf,1,0.0,1,0,0,1305507360
23inside,4,0.0,0,1,0,1343682410
23jimbo,1,0.0,0,1,0,1401545028
23jio,2,0.0,0,2,0,1387738027
23nnahg39,1,0.0,0,1,0,1325696149
23r2f2r,2,0.0,0,2,0,1319037413
23r90q3aefij,0,0.0,0,1,0,1311345455
23u7890s7df,1,0.0,0,1,0,1320356548
23we3,1,0.0,0,1,0,1389134595
23yuy,1,0.0,1,0,0,1304729861
2400,1,0.0,0,3,0,1370802351
240p,1,0.0,0,2,0,1365256093
242735,1,0.0,1,0,0,1315988722
2443340,1,0.0,1,0,0,1353941122
2461001642,0,0.0,0,4,0,1437426597
2464195387,1,0.0,0,1,0,1369472379
2468ben,22,0.0,0,10,0,1337622753
246tNt,5,0.0,0,4,0,1293807292
247CryptoNews,5,0.0,20,2,0,1424093926
247yak,1,0.0,2,1,0,1424613398
24beers,1,0.0,1,0,0,1377696985
24bit,29,0.0,0,1,0,1318044531
24by7info,1,0.0,1,0,0,1326197217
24by7masti,1,0.0,0,1,0,1417004290
24hJers293,1,0.0,21,0,0,1336444180
24hreport,1,0.0,3,0,0,1333097305
24kpwn,5,0.0,0,1,0,1360780984
24pfilms,134,1.0,9,29,0,1201631975
24sessions,1,0.0,1,0,0,1384851695
24shri,2,0.0,2,1,0,1310294541
24ui,4,0.0,6,1,0,1383365573
24x7,36,0.0,9,7,0,1309023433
24x7esubmission,1,0.0,40,0,0,1282721710
24z,9,0.0,2,1,0,1262266878
24zabavaplus,1,0.0,1,0,0,1341296414
2510c39011c5,1592,1.38462,106,62,0,1358217145
2511,24,0.0,1,10,0,1397230328
253,4,0.0,0,1,0,1319243539
254m4,13,0.0,0,2,0,1438791383
255cfce3,1,0.0,0,1,0,1387282818
255martyn,25,0.0,3,23,0,1347575654
25L6406,3,0.0,0,1,0,1439326309
25_to_life,1,0.0,0,1,0,1400479793
25cf,37,0.0,1,13,0,1378264223
25money,17,0.0,1,0,0,1285265623
25thhour,6,0.0,0,6,0,1269958250
2600,33,0.0,0,2,0,1375381204
2600nl,1,0.0,1,0,0,1410946481
26cf805ae26f,7,0.0,1,5,0,1438647989
271441,2,0.0,1,2,0,1430514888
2718281828,2,0.0,0,1,0,1202503388
27182818284,1884,1.88636,18,1229,0,1215374975
2718281829,1,0.0,0,1,0,1359228061
271828183,32,0.0,0,6,0,1271473437
2772726262562,1,0.0,0,4,0,1391993994
279480,1,0.0,1,0,0,1315988778
27percent,49,0.0,5,12,0,1360114566
27ragbag,1,0.0,0,1,0,1211649428
27thmartian,1,0.0,0,1,0,1363623539
2810,19,0.0,2,26,0,1382406725
2831971,1,0.0,1,0,0,1371314236
2831cape,1,0.0,2,0,0,1317159785
286c8cb04bda,412,4.15909,1,149,0,1320097027
289375223,3,0.0,0,2,0,1442980043
289490,8,0.0,0,4,0,1443447473
28bcat,1,0.0,0,1,0,1364070943
28inch,14,0.0,3,8,0,1347887101
2908123,2,0.0,27,2,0,1395620118
29482duf1,1,0.0,1,0,0,1312739197
298219640,8,0.0,0,5,0,1396695334
29J,6,0.0,1,3,0,1408472964
29decibel,13,0.0,11,2,0,1305557872
29itech,1,0.0,1,0,0,1342872248
29jitender,1,0.0,1,1,0,1376815823
29paperballs,1,0.0,1,0,0,1412646530
2AM,5,0.0,0,10,0,1300847419
2CORick,1,0.0,0,1,0,1275575256
2D,5,0.0,1,26,0,1394699470
2DTFtxfDpN,2,0.0,0,1,0,1427668215
2FA,1,0.0,0,1,0,1305305456
2Fdev2Fnull,1,0.0,0,1,0,1437785918
2III7,5,0.0,0,2,0,1435313753
2J,43,0.0,0,3,0,1399507230
