ID,Karma,Average,Stories,Comments,About,Created
E-Oks,1,0.0,3,0,0,1379221982
E-Ray,1,0.0,0,1,0,1211781597
E-danB,2,0.0,2,2,0,1301569028
E-for-Endetta,54,0.0,13,3,0,1372265623
E14n,11,0.0,1,8,0,1286803775
E1OX8,6,0.0,0,1,0,1436263346
E32crew,1,0.0,1,0,0,1381274457
E34C3EFAF162,5,0.0,0,2,0,1442243472
E3V3A,1,0.0,0,1,0,1406818172
E4gle,1,0.0,0,2,0,1301237771
E5Rebel,2,0.0,0,2,0,1247563338
EA,128,2.34615,4,51,0,1318343363
EA597C6C,1,0.0,0,1,0,1411343667
EAKoester,83,0.0,3,4,0,1302624659
EAMiller,79,3.0,3,22,0,1251128173
EAT-THE-RICH,1,0.0,0,1,0,1347270844
EB5,7,0.0,0,9,0,1365330085
EBB,1,0.0,0,3,0,1219180180
EBCS,2,0.0,2,0,0,1372397508
EBG10801,1,0.0,2,0,0,1334874970
EBNV,1,0.0,0,1,0,1293810486
EBUKA,1,0.0,1,0,0,1384941200
EButlerIV,4,0.0,0,4,0,1311385545
EC1,598,1.65909,9,348,0,1392138999
ECMathews,2,0.0,0,5,0,1281987147
EChrisDenney,25,0.0,0,18,0,1376533229
ECmanaged,1,0.0,3,0,0,1389353996
ECristova,1,0.0,0,1,0,1342121384
EDMCrate,1,0.0,1,0,0,1426399714
EDMunited,-1,0.0,0,1,0,1274423110
EDYKUSNADI,1,0.0,1,0,0,1389683606
EEC-HOME,1,0.0,1,0,0,1350316422
EECS,19,0.0,0,18,0,1304927714
EEFranklin,1,0.0,0,1,0,1275882418
EEGuy,211,1.95455,8,82,0,1354810129
EEvangelist,5,0.0,0,5,0,1297774265
EFIII,0,0.0,0,1,0,1309740870
EFathy,3,0.0,2,5,0,1356519211
EFelson,10,0.0,1,0,0,1402327075
EFil,1,0.0,0,1,0,1359140820
EFruit,55,0.0,2,33,0,1364261621
EGAFutura,1,0.0,2,0,0,1371661766
EGF,379,2.0,18,51,0,1222868421
EGKW,7,0.0,1,8,0,1382731399
EGemdjian,1,0.0,1,0,0,1359563167
EGerhart,-4,0.0,0,1,0,1359460375
EGreg,3499,1.61364,241,2299,0,1206622687
EJE,181,0.0,17,9,0,1290838368
ELV1S,23,0.0,0,18,0,1227555885
ELVARHE,1,0.0,1,0,0,1381695450
EM1NEMJOVE,1,0.0,1,0,0,1374346255
EMBRA,1,0.0,2,1,0,1400108939
EMRo,486,2.86111,11,46,0,1300716718
ENGNR,179,3.56818,3,65,0,1383084677
ENOTTY,448,4.34091,2,78,0,1282795682
ENTP,5,0.0,1,8,0,1363999577
EP1,1,0.0,0,1,0,1314906827
EP3,1,0.0,0,1,0,1361934567
EPG,3,0.0,0,1,0,1309316197
EPIChunter,1,0.0,1,0,0,1338134389
EPiXNiCROS,2,0.0,0,4,0,1303769433
EREFUNDO,112,1.0,16,125,0,1312581269
ERG,5,0.0,0,2,0,1243251056
ERGOLAB,1,0.0,0,1,0,1265241961
ERRANDMANAGERS,1,0.0,1,0,0,1284152283
ERRnews,2,0.0,0,1,0,1373641395
ESBoston,401,0.0,91,4,0,1391862525
ESCdc,15,0.0,1,0,0,1322217212
ESETIreland,10,0.0,8,0,0,1399973749
ESPLewis,1,0.0,3,0,0,1381310633
ESPN_Boris,9,0.0,3,3,0,1331015496
ESPNbruddah,-9,0.0,0,6,0,1314048486
ESPro,2,0.0,0,1,0,1335454190
ESRogs,7,0.0,0,2,0,1374189400
ESTEB,1,0.0,1,0,0,1318082657
ESUNTU,3,0.0,0,1,0,1376396235
ESYudkowsky,1,0.0,0,1,0,1192348015
ESchmidtSeesYou,60,2.0,2,28,0,1286928476
ESchur,1,0.0,0,1,0,1323714765
EScott11,70,2.58333,13,21,0,1300374533
EShy,1,0.0,0,1,0,1403909044
EStudley,132,0.0,0,42,0,1354920760
ESultanik,1,0.0,0,1,0,1418224986
ET2619,1,0.0,2,0,0,1314819814
ET3,2,0.0,0,7,0,1353598369
ETSmith,7,0.0,0,1,0,1437068189
ETarlin,1,0.0,12,0,0,1270836954
EToS,40,1.03448,4,47,0,1303652463
EU-Startups2013,3,0.0,4,0,0,1370642258
EU-Startups2014,11,0.0,31,0,0,1390403529
EUWindowsHost,1,0.0,1,0,0,1410412512
EU_hacker_nrd,1,0.0,0,1,0,1435057463
EVELYNHERBALIFE,1,0.0,1,0,0,1374700409
EVERYTHINGMMA,1,0.0,2,0,0,1321998131
EVdotIO,4,0.0,0,2,0,1423821555
EWRWE,-12,0.0,0,8,0,1370726555
EXPERT_Coder,2,0.0,1,1,0,1334047591
EXetoC,1,0.0,0,2,0,1389898773
EYEARR,1,0.0,0,1,0,1346776109
EZ-E,5,0.0,0,3,0,1414522448
E_Carefree,10,0.0,3,7,0,1356029509
E_Cornflake,2,0.0,0,1,0,1216196273
Eafs,1,0.0,0,1,0,1309882588
EagerToSucceed,1,0.0,0,1,0,1316313333
Eagle-EyE,1,0.0,18,0,0,1316672492
Eagle21,1,0.0,1,0,0,1329586419
Eagle2173o,1,0.0,1,0,0,1344242794
EagleEye96,1,0.0,0,2,0,1389164693
Eaglebull,2,0.0,3,2,0,1429812281
Eagleman99,2,0.0,0,2,0,1304046164
EamonLeonard,605,1.97561,23,46,0,1265358027
EarlJester,2,0.0,1,0,0,1348557014
EarlPoncho,-2,0.0,0,14,0,1436026919
EarlofGrey,31,0.0,1,7,0,1333196966
EarlyAdopterPro,2,0.0,3,0,0,1380560685
Earnalot,1,0.0,1,0,0,1335448816
EarnestoDev,-12,0.0,0,5,0,1319412577
Earni,1,0.0,1,0,0,1334996681
EarthLaunch,386,2.63636,0,157,0,1295544305
Earth_AQ,1,0.0,1,0,0,1422714113
Eartha,1,0.0,1,0,0,1320827742
Earwig,1,0.0,0,1,0,1401137343
EasierLikeThis,5,0.0,0,4,0,1346421998
EastCoastLA,31,1.78261,4,30,0,1266726327
EastLondonCoder,10,0.0,1,7,0,1334780580
EastSmith,341,2.09091,39,90,0,1186077888
Eastbeast314,2,0.0,0,1,0,1235663396
Easterndrugs,1,0.0,2,0,0,1337089835
EastonEllis1985,1,0.0,1,0,0,1299678462
EasyCo,2,0.0,0,1,0,1328742375
EasyCompany,38,1.0,5,28,0,1275515430
EasyJoe,2,0.0,0,2,0,1380119123
Easyfy,1,0.0,1,0,0,1429797843
EatDaRich,10,0.0,0,1,0,1443191141
EatDogfood,1,0.0,0,1,0,1391656016
EatDrinkit,1,0.0,1,0,0,1291228356
EatMyRainbowPro,1,0.0,1,0,0,1388397059
EatSleepJeep,1,0.0,0,0,0,1251853841
EatenByGrues,12,0.0,1,5,0,1274116639
Eathys,1,0.0,0,1,0,1387327485
Eato,1,0.0,1,0,0,1406834303
Eatos,1,0.0,0,1,0,1392220770
EazyC,17,0.0,0,9,0,1425030745
EazyD123,6,0.0,0,1,0,1297364056
EbFFA,256,0.0,2,1,0,1250802541
Ebbit,6,0.0,1,1,0,1432066830
EbbuApp,1,0.0,1,0,0,1429563030
Ebcidik,1,0.0,0,1,0,1414433508
Ebdrup,2,0.0,3,0,0,1318969896
Ebrahim,2,0.0,1,1,0,1341153244
Ecco,313,1.60714,14,73,0,1235651373
EchatOnline,1,0.0,2,0,0,1373970646
Echezon,1,0.0,1,0,0,1331030066
Echo117,30,0.0,1,14,0,1314276786
EchoAbstract,31,0.0,0,14,0,1327445346
EchoAce,1,0.0,0,2,0,1417999913
EchoHawk,1,0.0,0,1,0,1335499347
