ID,Karma,Average,Stories,Comments,About,Created
H2CO3,2,0.0,0,1,0,1439919424
H34D_SH01,1,0.0,0,1,0,1437413587
H3g3m0n,116,2.7381,0,51,0,1367062202
H3rmit,-5,0.0,0,1,0,1318429942
H4Hacker,1,0.0,0,1,0,1290508700
H4U,1,0.0,0,2,0,1393354930
H4ZE,1,0.0,1,0,0,1374370886
H4nd5omeR0b,5,0.0,1,2,0,1392915878
H4ssi,1,0.0,0,1,0,1400626038
H4wk_cz,13,0.0,0,8,0,1271095566
H8K,5,0.0,0,1,0,1274752291
HAAAAMMMM,-4,0.0,0,5,0,1430936733
HACKDRAV,1,0.0,0,1,0,1441564896
HAKOWAKO,1,0.0,1,0,0,1314867488
HAL9OOO,1,0.0,0,3,0,1427666970
HARISHVARMA856,1,0.0,1,0,0,1307983622
HARVEY,1,0.0,12,0,0,1333086407
HAVEACHILLDAY,2,0.0,0,1,0,1358831358
HBKN2o1MhO,2,0.0,0,2,0,1351731144
HBMac,0,0.0,4,16,0,1435884291
HBSisBS,-2,0.0,0,5,0,1401613594
HBee,1,0.0,0,1,0,1327792841
HBerkley,1,0.0,0,1,0,1369943642
HCDevid,5,0.0,1,8,0,1361413940
HCGKnowledge,1,0.0,4,0,0,1322086379
HCIdivision17,1222,2.45455,0,450,0,1327628596
HD21,1,0.0,0,1,0,1410265109
HDR,1,0.0,0,3,0,1290524975
HDRsecret,1,0.0,1,0,0,1237365021
HDevo,9,0.0,0,4,0,1345931667
HDutton,2,0.0,2,2,0,1334501986
HEDGEANALYST,1,0.0,6,0,0,1314002813
HEMANTRAI1234,1,0.0,1,0,0,1317322202
HERPDERPSD,1,0.0,0,1,0,1387559689
HERRbPUNKT,1,0.0,0,1,0,1400242226
HEVOLabs,1,0.0,1,0,0,1405441968
HEYGRANDMA,5,0.0,0,3,0,1340675201
HFT_algo_dev,4,0.0,1,0,0,1371152741
HFiz,1,0.0,2,0,0,1375971710
HFseattle,1,0.0,2,0,0,1313121894
HG532e-W2XHCH,1,0.0,0,1,0,1440105212
HGWales,2,0.0,1,0,0,1417117919
HHomecare,1,0.0,10,0,0,1307098106
HIPAATraining,1,0.0,0,1,0,1411369694
HIPAAtrek,1,0.0,0,1,0,1409675535
HIVHaven,1,0.0,3,0,0,1333734620
HIbachikabuki,10,0.0,0,4,0,1369089481
HJJ,1,0.0,0,1,0,1412519115
HJones,2,0.0,2,0,0,1274248013
HK103044,1,0.0,2,0,0,1372448456
HKimmel,-4,0.0,0,1,0,1433049496
HL3Confirmed,2,0.0,0,1,0,1393352798
HLFH,-1,0.0,0,2,0,1395307509
HLHArts,1,0.0,0,1,0,1384521709
HLJackson,2,0.0,0,1,0,1438036971
HLRoku,25,0.0,1,18,0,1437835511
HLSensoryO,2,0.0,5,3,0,1443179624
HLSteins,1,0.0,1,0,0,1390630520
HMD19,1,0.0,7,0,0,1317583255
HMKAND,1,0.0,1,0,0,1400767407
HMS,1,0.0,0,1,0,1326485541
HMS1,1,0.0,0,1,0,1326528574
HMullen,2,0.0,1,0,0,1324416909
HN-Account,1,0.0,0,1,0,1444088948
HN-regular,8,0.0,1,1,0,1313332878
HNBRN,1,0.0,0,2,0,1368434262
HNC,3,0.0,6,5,0,1355667548
HNIsMyFav,3,0.0,1,1,0,1308593268
HNJohnC,202,1.56818181818182,0,126,0,1366905733
HNLogInShit,1,1.0,0,141,0,1355227379
HNLogInsSuckAss,3,0.0,0,8,0,1381820136
HNPoints,263,0.0,2,9,0,1305472910
HNSHITSAYS,2,0.0,0,1,0,1390212570
HNSenectus,2,0.0,0,2,0,1348668496
HNSucksAss,1,0.0,0,31,0,1349089606
HNUsedToBeGood,1,0.0,0,2,0,1309433845
HNUser48573,1,0.0,0,1,0,1362528218
HN_Account,2,0.0,0,2,0,1382085161
HN_Addict,5,0.0,0,8,0,1308147083
HN_DailyReader,1,0.0,1,1,0,1327986605
HN_Master_Race,-6,0.0,0,5,0,1382311816
HN_adv_seeker,10,0.0,1,8,0,1285820841
HNaTTY,93,1.97727,0,74,0,1348511916
HNatWORK,21,0.0,0,13,0,1315321938
HNcow,15,0.0,2,6,0,1428691705
HNcritic,1,0.0,0,1,0,1302269961
HNdev1995,2,0.0,0,2,0,1416422482
HNdigest,1,0.0,1,0,0,1310570634
HNer,192,2.0,21,58,0,1279877506
HNhappyface,3,0.0,0,1,0,1432067645
HNisForLosers,1,0.0,0,1,0,1394288259
HNthrowaway123,1,0.0,1,0,0,1354198319
HNthrowaway314,1,0.0,0,1,0,1368096420
HNtweets,1,0.0,17,0,0,1379436779
