ID,Karma,Average,Stories,Comments,About,Created
K-Phoen,1,0.0,1,0,0,1370262966
K-Wall,111,0.0,3,11,0,1395291947
K-Zodron,40,0.0,2,5,0,1281468098
K-jo,2,0.0,0,1,0,1276974932
K01OBAABINIBI,1,0.0,1,0,0,1349721254
K0KE,1,0.0,1,0,0,1327452210
K0nrad,1,0.0,1,0,0,1391106573
K0nserv,71,1.83333,3,63,0,1372411735
K0t4,2,0.0,0,1,0,1359070239
K2L8M11N2,1,0.0,0,1,0,1433058969
K2h,398,2.45455,1,307,0,1332533404
K2law,1,0.0,1,0,0,1346953351
K3G,12,0.0,0,15,0,1276376181
K6YtXAfA,6,0.0,0,1,0,1439943085
K97oh01,1,0.0,0,1,0,1329435898
KA23A,5,0.0,1,2,0,1362968063
KAMiKAZOW,17,0.0,0,14,0,1402484969
KANYE101,1,0.0,0,1,0,1432062064
KANYEWEST,1,0.0,0,1,0,1364695536
KAPILSETH,1,0.0,9,0,0,1236259087
KASHEM,-1,0.0,1,1,0,1376804029
KAdot,19,0.0,2,6,0,1317585642
KAmy,1,0.0,0,1,0,1272445806
KB,402,1.0,28,58,0,1178030111
KB123,1,0.0,1,0,0,1176356456
KB1JWQ,66,0.0,2,21,0,1372087782
KBorders01,25,0.0,2,2,0,1273857364
KC8ZKF,2230,2.45455,87,339,0,1235742591
KC963,1,0.0,0,1,0,1403217227
KCAnderson,1,0.0,0,3,0,1364912894
KCDz,5,0.0,0,1,0,1378044193
KCGS,1,0.0,2,0,0,1325504925
KCGeek,1,0.0,0,1,0,1351810610
KCatterlin,1,0.0,0,1,0,1394667328
KClough,17,0.0,0,3,0,1245266291
KD12,12,0.0,10,0,0,1331919248
KDCosta,1,0.0,4,0,0,1382504293
KDDS,1,0.0,1,2,0,1421005767
KDSOUL,1,0.0,1,1,0,1440758529
KDawg,8,0.0,18,0,0,1307657535
KE4ZNR,7,0.0,0,3,0,1288554612
KEITHZOU,1,0.0,1,0,0,1412504919
KERMIT,11,0.0,0,35,0,1274712825
KERNEL2,38,0.0,1,1,0,1316906801
KFW504,34,0.0,7,24,0,1426622577
KFaz,1,0.0,0,1,0,1391560592
KFishner,3,0.0,3,0,0,1342674214
KG1,9,0.0,7,9,0,1434644640
KGEEK,0,0.0,0,1,0,1372699514
KGRGreer,1,0.0,0,1,0,1306786622
KGZotU,8,0.0,0,4,0,1384364122
KGy,1,0.0,0,1,0,1394625177
KHLID,1,0.0,1,0,0,1347043437
KHPatel,13,0.0,6,9,0,1259880610
KHRS,1,0.0,1,0,0,1337246633
KIIMFITNESS,1,0.0,1,0,0,1348149308
KINTAROTHEBRAVE,2,0.0,0,1,0,1340554866
KIRCHNER2010,1,0.0,7,0,0,1317705046
KISI,1,0.0,1,0,0,1366497588
KISSvio4h,1,0.0,1,0,0,1312728341
KJBweb,20,0.0,3,12,0,1354093522
KJGill,1,0.0,0,1,0,1355416634
KJKingJ,4,0.0,0,2,0,1417529557
KJasper,110,0.0,1,46,0,1382688345
KJohansen,1,0.0,0,1,0,1228755308
KJoshua,1,0.0,0,1,0,1435593054
KKJHKJHKJ,-7,0.0,1,7,0,1372990575
KKKDDDD,2,0.0,1,0,0,1318482153
KKolos,2,0.0,3,0,0,1328114325
KL1234,1,0.0,0,1,0,1317437664
KLAW,7,0.0,2,20,0,1221486483
KLNMSoftly,1,0.0,2,0,0,1438175178
KLVTZ,1,0.0,0,2,0,1429512300
KLd,1,0.0,0,1,0,1271650209
KLdiv,1,0.0,1,0,0,1403715479
KM33,1,0.0,0,1,0,1444870417
KMBredt,27,0.0,4,20,0,1340964273
KMEthridge,1,0.0,0,2,0,1310084495
KMP,1,0.0,1,0,0,1372072626
KMStraub,72,0.0,1,26,0,1295984978
KMTechie,1,0.0,0,1,0,1443104181
KMag,642,2.27273,0,337,0,1349508008
KMcHugh,1,0.0,0,4,0,1339692753
KMichels,1,0.0,0,1,0,1444738751
KMinshew,435,1.43478,27,36,0,1313522843
KMinshew1,3,0.0,4,3,0,1297113487
KMob,1,0.0,0,1,0,1308588168
KMuncie,1,0.0,0,7,0,1301462741
KNOVVI,1,0.0,1,0,0,1430212488
KNeeraj,1,0.0,0,2,0,1432907466
KNoureen,38,0.0,2,30,0,1354840854
KOGI,3,0.0,4,0,0,1321633342
KONAir,3,0.0,0,2,0,1406541263
KON_Air,-3,0.0,0,4,0,1432633619
KORraN,24,0.0,1,3,0,1369152950
KOstasHat,1,0.0,0,1,0,1350651232
KPCBFellows,11,0.0,3,0,0,1317947783
KPLauritzen,10,0.0,0,10,0,1328348619
KPe118,1,0.0,0,1,0,1363477375
KPfefferle,1,0.0,1,0,0,1296366338
KPisani,1,0.0,1,0,0,1371839967
KRUKUSA,0,0.0,0,2,0,1395978396
KRedfearn,1,0.0,0,1,0,1271344593
KRoP,1,0.0,0,4,0,1315868878
KRuchan,40,0.0,4,19,0,1391579791
KSS,3,0.0,0,2,0,1238100028
KSS42,24,0.0,0,15,0,1299999703
KSamuelLee92,3,0.0,2,0,0,1418066661
KSerra,1,0.0,3,1,0,1338569629
KSierra,57,0.0,0,5,0,1350261620
KStein,2,0.0,5,0,0,1325271863
KStout,1,0.0,0,1,0,1378969800
KT,6,0.0,0,3,0,1267499778
KTamas,67,0.0,4,14,0,1268673808
KTamasEnty,5,0.0,0,9,0,1343678781
KTastrophy,1,0.0,1,3,0,1364260907
KThornton,60,1.0,8,23,0,1341336868
KUDO-SHINICHI,1,0.0,1,0,0,1364018868
KURTTrabert,1,0.0,1,0,0,1319430516
KUvJHope,1,0.0,1,0,0,1344546575
KVFinn,602,3.68182,3,193,0,1250718911
KWD,385,2.0,17,101,0,1216391400
KWRegan,1,0.0,0,1,0,1437842748
KWeaver2010,1,0.0,0,2,0,1346895354
KWxIUElW8Xt0tD9,5,0.0,0,1,0,1443799017
KZMcPherson,3,0.0,0,1,0,1314997132
KZeillmann,1,0.0,0,2,0,1432851598
K_O_G_I,3,0.0,1,1,0,1332520254
K_REY_C,3,0.0,0,8,0,1343527355
K_Ron_Hubbard,1,0.0,0,2,0,1345169108
K_Russell,1,0.0,0,1,0,1438713796
KaLo,1,0.0,0,1,0,1310650651
KaaIoTPlatform,1,0.0,1,0,0,1444989451
Kaai,1,0.0,0,1,0,1334398680
Kaali,96,0.0,0,25,0,1335551512
KaanSoral,2,0.0,1,2,0,1330107455
Kaathackerz,1,0.0,1,0,0,1307323339
Kabacaru,18,0.0,1,21,0,1315045978
Kabadwal,1,0.0,1,0,0,1362873693
Kabie,2,0.0,0,1,0,1436591646
Kaboozy,1,0.0,0,1,0,1420642579
Kabukks,311,0.0,2,26,0,1318862752
Kabweza,77,0.0,11,1,0,1335963469
