ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
tq41,0,166,0.0,4,0,,1312485839,1452895595
tqb,0,1,0.0,1,0,"web.bolton @ gmail",1294850639,1452892069
tqc,0,5,0.0,1,12,"I am a software developer based in Sydney, Australia.<p>I spent many years as a SharePoint consultant, but now focus on building HTML5 and iOS apps.",1352432145,1452911268
tqft,0,1,0.0,0,2,,1268170022,1452888965
tqgupta,0,48,0.0,49,4,http://triptalearnspython.blogspot.com/,1298265944,1452892672
tqh,,36,0.0,0,31,,1332147093,1450207814
tqheel,,5,0.0,6,1,http://www.teqknowledgy.com/index.php/about,1336406730,1450207814
tqi,,16,0.0,1,9,,1360092546,1450207814
tqk,0,-5,0.0,0,1,"Used Programmer/Analyst; SysAdmin.<p><pre><code>  http://wiki.debian.org/StephenKeeling</code></pre>",1370189991,1452913257
tqkxzugoaupvwqr,0,2,0.0,0,1,,1296263475,1452904586
tqliu_boston,0,1,0.0,0,1,,1332460515,1452905418
tqm,0,1,0.0,0,1,,1211677980,1211677980
tqn,,181,0.0,11,6,,1362504246,1450207814
tqomjdyert,0,1,0.0,1,0,,1404804048,1452926827
tqs,0,98,0.0,0,19,"I'm interested in new approaches to computer programming.<p>http://tobyschachman.com/\nhttp://recursivedrawing.com/\nhttp://pixelshaders.com/<p>Like-minded folks please get in touch :)<p>(Email address on my homepage)",1334108234,1452901808
tqthrow,0,8,0.0,0,0,,1436803912,1453170742
tqtthrowaway1,0,1,0.0,0,0,,1446390201,1453173451
tquai,0,59,2.0,1,37,,1355360532,1452908114
tquezada,0,2,0.0,0,1,,1309103229,1452894567
tquishinisti,0,1,0.0,0,1,,1391206307,1452920817
tqwcs,0,1,0.0,0,2,,1271714516,1452901435
