ID,Karma,About,Created,Updated
OG1205,1,,1365876787,
OGC,195,,1358946357,1417001421
OGDavid,1,,1448469728,1448469819
OGRammer,-3,,1354564262,
OGiR,2,"I am a student of Computer Science at the University of Victoria.<p>Personal Website:\nhttp://www.brendanjames.ca",1408516228,1418025109
OGinparadise,1704,"Live in North Carolina. Gangster in Paradise wouldn't fit. I use a proxy. I dislike large corporations of all stripes (especially smooth talking ones) that are trying to take over the web for their own financial good. I ...",1357534974,
OGxSWAG,1,,1328893656,
OgaBinary,1,"invent,learn,make money.",1346159644,
OgaIdea,1,,1357660493,
Ogaboss,1,,1448281815,1449043601
Ogalanre,1,,1350163633,
Ogara,1,,1401898813,
Oggle,2,,1304205329,1449478274
Ogre,478,,1282719289,1452515203
OguzGelal,8,,1421191792,1448676525
oGLOWo,24,,1250263918,1452888235
og0id,1,,1328183823,1452899786
og1,217,,1261084385,1452888647
ogabr,1,,1365635235,1452911681
ogai,4,,1349627566,1452906532
ogalego,0,,1310075570,1450207814
ogalkin,1,,1351861241,1452907584
ogama,2,,1349801693,1452906576
ogaudin,6,,1234777524,1452887175
ogcoo049,1,,1316866362,1452896994
ogcricket,187,,1418787036,1452559562
ogd,-3,,1338409331,1452903303
ogdenbok,1,,1333147294,1452901228
ogdenogly,1,,1393900123,1452922499
ogdenwillam,1,,1316236789,1452896655
ogdenyogly,5,,1393520413,1452921997
ogdet,5,"I love programming :)",1369690361,1452912967
ogdmit,1,"Brainy Studio LLC<p>Brainy Studio LLC is an indie team of 5 from Russia, last year placed 1st at Imagine Cup World Finals in &#x27;Games&#x27; track with game &quot;TurnOn&quot;. Started as students in 2013, now we are young professional developers creating games for different platforms including Xbox One and Steam.",1434615202,1453170029
ogdoad,17,,1250177498,1452888235
ogdr,18,,1352848066,1452907820
ogeidix,1,,1297534170,1450207814
ogejkahg,5,,1426781533,1453167336
ogelsvywelm,1,,1315379911,1452896454
ogelsvywilam,1,,1315372276,1452896454
ogennadi,3,"Check out my projects at http://oge.nnadi.org",1326090743,1450207814
ogeon,16,,1413448228,1450207814
ogezi,69,,1442193285,1453172332
ogfarmer,1,,1417690982,1450267840
ogghead,28,,1321557091,1450207814
oggy,154,"To contact me, substitute g for b in obi@mynosefroze.com",1336489643,1450207814
oggyuxqa,1,,1317568676,1452897283
oggz,3,,1281571261,1452890023
oghn,1,,1434571007,1453170009
oghnia,1,,1382620425,1452917647
ogig,260,,1363742447,1450329588
ogijaoijfawje,-66,,1404417543,1450207814
ogillile,3,,1351117346,1452906940
ogilvy50,1,,1302643225,1452893324
ogiraldog,7,"Founder of Arcaris \nTalent Management platform for Call Centers.\noscar@arcaris.com\ntwitter.com/ogiraldo",1248229296,1452893433
oglees,-1,,1424173151,1453166248
oglo,14,"Founded (and crashed) two startups, Apppulp & Olive.<p>Occasionally blogs at arqamgadit.svbtle.com<p>Twitter: @arqamgadit",1374097270,1450207814
oglowo3,1,,1381448632,1450207814
ogmo,5,,1340733555,1452908182
ognjen,1,,1341930649,1452904424
ognyankulev,113,http://fire.tower.3.bg,1283251139,1450207814
ogo,1,"Founder of GrubSquad",1394839758,1450207814
ogoffart,23,http://woboq.com,1341069260,1450207814
ogoldberg,5,,1279132067,1450207814
ogoog,1,,1312230245,1450207814
ogothill,1,,1372272983,1452914115
ogourment,1,,1397682139,1452923279
ogpcc,2,,1400298587,1450207814
ogreface,5,,1370107134,1450207814
ogreman,2,,1386083539,1452924467
ogrenciyimbenya,1,,1417760459,1450267840
ogrerut,1,,1407009690,1452928493
ogreveins,26,,1424372450,1453167771
ogreyonder,136,,1382220056,1452917685
ogrim,3,,1335245753,1452907626
ogrisel,365,"Machine Learning, NLP, scikit-learn<p>http://ogrisel.com\nhttp://twitter.com/ogrisel\nhttp://github.com/ogrisel",1252842765,1452092482
ogrodnek,-1,http://www.ogrodnek.com/larry/,1175146978,1452888684
ogroide,3,,1450710605,1453174698
ogsharkman,3,,1425921714,1453168667
ogtcapparel,1,,1335526763,1452902486
ogterran,1,,1313392999,1452899567
ogtfaber,6,"I'm an entrepeneur/designer/developer, studied architecture, but mostly interested in starting up inspiring ideas and doing things the right way.",1335218524,1450207814
oguesa,1,,1325025050,1452899157
oguilhermeramos,1,,1360550833,1452909696
ogurechny,43,,1424278921,1453166312
oguz,111,"developer, designer and co-founder of limk. // oguz@limk.com",1295255908,1450207814
oguzb,7,,1369418761,1450207814
oguzhanunlu,5,,1419559697,1450267840
oguzmut,1,,1439309567,1453171462
oguztopcu,1,,1450089499,1453174536
ogwyther,7,,1352068761,1450207814
ogx,1,,1437360418,1453170873
ogzd,2,ogzd.me,1360618474,1450207814
