ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
TK-421,0,14,0.0,1,1,,1289246242,1452892097
TK310,0,1,0.0,1,0,,1237675532,1452887289
TKLAWN,0,1,0.0,1,0,,1339998361,1452903557
TKMDbass,,1,0.0,0,2,,1389724270,1450207814
TK_420_AK,0,1,0.0,1,0,,1377835477,1452915890
TkTech,,163,3.02564,0,63,,1352735553,1450207814
Tkatch,0,1,0.0,3,0,,1337404006,1452903053
Tkenney,0,1,0.0,1,0,,1265924801,1452888852
tk1,0,2,0.0,3,1,,1308580505,1452894379
tk111,,2,0.0,1,1,,1417366422,1450267840
tk12,0,1,0.0,1,2,,1205766074,1205766074
tk120404,,2,0.0,1,5,,1403465681,1450207814
tk123,0,1,0.0,1,0,,1359201430,1452909149
tk42,,71,0.0,5,11,,1415949897,1450207814
tk421,0,1,0.0,1,0,,1323837448,1452898908
tk421jag,,1,0.0,4,3,,1381510561,1450207814
tk999,,20,0.0,1,32,,1216416711,1450207814
tkabin781,0,1,0.0,1,0,,1334127262,1452901707
tkachi,0,1,0.0,0,3,,1333385614,1452901281
tkaczano,0,10,0.0,32,1,"http://practicalunittesting.com\nhttp://kaczanowscy.pl/tomek",1324507623,1452899040
tkaczmarzyk,0,1,0.0,0,0,,1443708810,1453172726
tkadauke,0,2,0.0,1,0,,1367912195,1452912188
tkadlec,0,1,0.0,1,0,,1294323201,1452900295
tkaemming,,198,5.0,3,40,"http://kaemming.com\nhttp://github.com/tkaemming",1264544931,1450207814
tkaewka,,2,0.0,1,0,,1310975428,1450207814
tkahn6,0,2230,4.0,14,763,,1257446590,1452888474
tkahnoski,,53,0.0,0,32,,1264452199,1450207814
tkalanick,0,41,0.0,2,1,,1270162742,1452890538
tkallai,0,1,0.0,0,1,"we are a small company in Malta, to run a Living Lab Malta..we won a Media price with our Maltese navigation system - which is in the prototype phase - within the European Satellite Navigation Competition. To develop and commercialise our Android based multipurpose product we need some start-up fund for the initial steps..",1292393496,1452891887
tkamatani,,3,0.0,0,1,,1376220702,1450207814
tkambler,0,6,0.0,3,0,,1398351217,1452923518
tkane,0,5,0.0,6,0,,1301827595,1452893181
tkanet,0,79,0.0,6,5,"passionate about mobile payments ...typically for emerging markets. Would have wanted to meet Leonardo da Vinci.<p>Will be in the Bay Area fron Oct 21st to Oct 25th.",1287017725,1452890432
tkanzaveli,0,1,0.0,0,0,"Creative thinker; Business executive with over 20 years of experiences with startup and multinationals.",1266251866,1453166528
