ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
0X000000,0,1,0.0,0,1,,1370850770,
0X1A,0,28,0.0,1,17,http://0x1a.us/,1377621978,1413869801
0XAFFE,0,8,0.0,0,4,"[ my public key: https://keybase.io/0xaffe; my proof: https://keybase.io/0xaffe/sigs/DoBycLmxkfmu9pNiuy71-Kacc08ATc1G8x1FIjZrtGU ]",1441004356,1442925438
0x0,0,7158,3.88636,47,1730,,1288173577,1452836955
0x0007,0,1,0.0,0,1,,1393082033,
0x001D,0,1,0.0,0,1,engineer,1398083725,1440693932
0x001E84EE,0,6,0.0,1,7,,1375728399,1421092375
0x00410041,0,5,0.0,7,0,,1442198004,1446868073
0x006A,0,722,1.61364,8,177,,1322658652,1448914603
0x00FF00,0,8,0.0,0,1,,1278741364,
0x00_,0,172,0.0,2,17,"New here. Testing out the HN community.",1364140347,1427347331
0x00ff,0,1,0.0,1,0,,1369128195,
0x01,0,2,0.0,0,7,,1444652690,1445941534
0x0259,0,5,0.0,1,0,,1387835996,1418245881
0x037,0,1,0.0,0,1,,1367861041,
0x0464646,0,2,0.0,1,0,,1427959282,1428095191
0x0539,0,27,0.0,0,16,,1397967554,1451244953
0x07890hax,0,1,0.0,0,1,,1387905423,
0x07c0,0,13,0.0,0,5,,1444379768,1448926416
0x08bc2ff1,0,2,0.0,0,1,,1370681087,
0x09,0,968,3.34091,6,149,,1318861237,1450580455
0x0F0,0,2,0.0,0,1,,1374154842,
0x0dea,0,27,0.0,0,7,,1431749246,1451723484
0x0or0x0,0,2,0.0,0,1,,1439918007,1439918854
0x0x0x,0,62,2.0,0,32,,1313720389,
0x12,0,4022,5.0,64,766,,1314486342,
0x123456,0,1,0.0,0,1,,1418594123,1418594134
0x1337,0,-21,0.0,0,9,,1304825104,
0x13c,0,1,0.0,0,2,,1393870627,1433270751
0x142857,0,92,0.0,42,4,,1419760833,1451325031
0x15_faces,0,7,0.0,0,1,,1430350308,1430391443
0x18,0,-3,0.0,0,1,,1369851428,
0x192,0,2,0.0,0,1,,1443112632,1443112838
0x1997,0,566,0.0,51,7,blank,1331606935,1435910647
0x1AD2,0,1,0.0,2,0,"Im a web & app developer mostly programming in Laravel and Ionic  Im passionate about all aspects of web and app development.",1414530362,1442153319
0x1C3B00DA,0,3,0.0,0,3,,1409585664,
0x1C3B33F5,0,1,0.0,0,1,,1442924954,1442924974
0x1a4,0,1,0.0,0,1,,1317694612,
0x20,0,1,0.0,1,4,,1374092931,
0x2015,0,1,0.0,0,3,,1448299279,1451942479
0x214655434B21,0,3,0.0,0,1,,1438067312,1438188413
0x2232,0,1,0.0,0,1,,1362176413,
0x2620,0,1,0.0,1,0,,1371004799,
0x27,0,5,0.0,0,0,,1452861617,1453175401
0x28aa1f185a6b4,0,27,0.0,1,19,,1209562177,
0x29A-,0,3,0.0,0,1,,1439850124,1439879111
0x30,0,3,0.0,0,1,,1440648277,1447957668
0x3044,0,1,0.0,0,1,,1444225739,1444225750
0x36,0,10,0.0,1,1,,1344436228,
0x37,0,3,0.0,0,3,,1431892039,1451090950
0x38B,0,70,0.0,0,5,"Student studying Russian, and pretty much anything else that catches my interest  currently: Python, VIM, OS X, and Objective-C.",1397691477,1449625786
0x3e,0,11,0.0,2,4,,1240666084,
0x400614,0,34,0.0,10,25,,1438547877,1443471072
0x400615,0,7,0.0,2,2,,1441380760,1441473583
0x4139,0,144,1.3125,20,21,,1393856009,1441920310
0x420,0,126,2.03846,1,44,"23 chicago php/js/gnu/linux",1391135929,1444262712
0x434D53,0,10,0.0,0,8,,1410042722,1446593738
