ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
EYEARR,0,1,0.0,0,1,,1346776109,
Eyalush,0,43,0.0,11,10,,1301351638,1416012693
Eyaluth,0,6,0.0,0,1,,1205872735,1431298240
Eyas,0,190,0.0,1,55,,1345062072,1452702225
EyeRelief,0,1,0.0,0,1,,1394544010,
Eye_of_Mordor,0,398,2.39535,5,78,,1382012163,1438886589
EyeballKid,0,13,0.0,0,13,"Recovering game developer.\nDay job: coder at the Media Standards Trust http://mediastandardstrust.org<p>Homepage: http://scumways.com\nGithub: https://github.com/bcampbell",1302208190,1444248309
Eyeclaw,0,1,0.0,1,1,,1436282033,1436283246
Eyeman,0,1,0.0,1,0,,1442050567,1442050989
Eyes2design,0,94,0.0,2,19,,1367269021,1446481359
EyesAndFear,0,3,0.0,4,3,,1401928587,1423349410
Eyeview1,0,1,0.0,1,1,,1452116178,1452273038
Eyght,0,16,0.0,0,19,"At the end of the great white pier..",1306399878,1450542891
EylLa,0,1,0.0,1,0,,1365740936,
Eylith,0,1,0.0,0,2,,1362647976,
Eynix,0,0,0.0,1,1,,1390565338,1434041996
Eyyrudeboy,0,1,0.0,1,0,,1434489992,1434490069
eYsYs,0,22,0.0,10,19,"Co-founder at Tachyonix Labs",1377961707,1452916378
ey5u45252,0,1,0.0,5,0,,1313515060,1452896588
eyadnour,0,14,0.0,0,0,"Serial Entrepreneur & Obsessive–compulsive marketer from Cairo.",1432840999,1453169472
eyah,0,1,0.0,0,2,,1314650186,1452896325
eyakubovich,,1,0.0,0,2,,1364591883,1450207814
eyal_zuri,,2,0.0,2,0,"CoFounder @Muzli",1416912108,1450267840
eyalamir,0,3,0.0,1,0,,1330303063,1452900295
eyalb,0,1,0.0,1,0,,1398322745,1452923518
eyalbd1,0,5,0.0,3,5,"Computer Science and Mathematics graduated, 7 years practical experience. Deep knowledge in software design, programming, networking and IT in general.\nhacker and open source advocator.",1299677874,1452894717
eyalben,0,1,0.0,0,1,,1297108273,1452892263
eyalfx,0,7,0.0,1,3,,1300164016,1452892737
