ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
HFT_algo_dev,0,4,0.0,1,0,,1371152741,
HFiz,0,1,0.0,2,0,,1375971710,
HFseattle,0,1,0.0,2,0,,1313121894,
hf,,413,4.3,1,62,hfuchs.net,1390674698,1450207814
hf653,0,1,0.0,0,1,,1384079973,1452918382
hfaafb,0,1,0.0,1,1,,1376938828,1452915615
hfaber,0,3,0.0,0,2,,1310407510,1452895004
hfahim,0,2,0.0,1,1,,1358208696,1452908808
hfakfa,0,1,0.0,0,1,,1307045324,1452894106
hfalucas,0,2,0.0,0,0,,1432234293,1453169317
hfanson1,0,6,0.0,0,2,,1371586749,1452913831
hfantods,,9,0.0,0,6,,1360366866,1450207814
hfaran,,26,0.0,1,5,https://github.com/hfaran,1380231836,1451436785
hfazel,0,2,0.0,0,1,,1347888553,1452906134
hfcorriez,0,1,0.0,0,1,,1363968289,1452911355
hfern,,34,0.0,0,14,,1360110271,1450207814
hfghegheotqhgo,0,1,0.0,0,2,,1392757756,1452921603
hfhgjdhgdfh,0,1,0.0,0,1,,1323687796,1452898858
hfidshfos,0,1,0.0,1,0,,1365640657,1452911681
hfinney,0,284,2.0,3,38,,1288235359,1452890432
hfinucane,0,4,0.0,0,4,,1238024963,1452887289
hfitzger,0,5,0.0,2,0,"I have been involved with intellectual property specializing in nano-life science. My background is in economics and I jumped to a job in economic development. I am really interested in reverse auctions and coop models.",1231880623,1452887425
hflowerdew,,2,0.0,1,1,,1302366813,1450207814
hfmovies,0,1,0.0,12,0,,1318499445,1452897670
hfmuehleisen,,6,0.0,4,2,"Data management for statistical processing.",1376984853,1450207814
hfmurdoc,,5,0.0,2,1,,1388135758,1450207814
hfnix9528,0,1,0.0,1,0,,1334973024,1452902316
hforew,0,1,0.0,0,2,,1310267311,1452895004
hfoss,0,1,0.0,0,0,,1439308320,1453171450
hfourm,,38,0.0,0,32,,1382542275,1452101715
hfpn,0,1,0.0,0,0,,1440389480,1453171803
hfreire,0,2,0.0,2,5,,1354572787,1452907748
hfs,0,1,1.0,0,45,,1342542382,1452904654
hfsktr,,272,1.70455,8,223,"Programmer [sic].<p>I like to solve problems. I am not the best but I like a challenge and I try to rise to the occasion.<p>My ultimate goal is to move to the UK (Manchester area).<p>http://www.reecesession.com/resume\nExtensions in Chrome store under user Rhebel.<p>hfsktr@ gmail.com",1343057672,1451334052
hft_throwaway,,232,2.81818,0,79,C.R.E.A.M.,1377924780,1450207814
hftf,,13,0.0,1,8,,1399417163,1450207814
hfthrowaway,0,41,0.0,1,11,,1315147259,1452896423
hfthurts,0,1,0.0,0,0,,1421289649,1453165252
hftorio,0,1,0.0,1,0,,1333328313,1452901281
hfttrader,,31,0.0,0,7,,1387538285,1450207814
hfuecks,0,0,0.0,0,1,,1312716335,1452895688
hfuller,0,5,0.0,0,1,,1310749956,1452895077
hfx,,9,0.0,1,3,,1366192298,1450207814
hfx902,,-7,0.0,0,1,,1419131147,1450267840
hfz,,57,0.0,7,23,"Hey! I'm Hafiz Rahman from http://wplover.com. I do WordPress theme development and web design in general.",1268029111,1450207814
hfzd,0,1,0.0,0,1,,1325378855,1452899286
