ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
s00pcan,0,256,1.0,0,114,,1295595890,1452892125
s04p,,15,0.0,1,20,,1297187135,1450785663
s0ber,0,1,0.0,0,1,,1368207432,1452912297
s0enke,,2,0.0,2,1,,1367945623,1450207814
s0fa37,0,3,0.0,0,0,,1435355081,1453170241
s0h4m,0,2,0.0,0,0,,1386237356,1453168211
s0hn1,0,1,0.0,0,1,,1347303066,1452906002
s0hn2,0,1,0.0,0,1,,1348647442,1452906326
s0l0fndr,0,1,0.0,0,0,,1444411624,1453172954
s0l1dsnak3123,,36,0.0,7,29,"I see problems, and I want to solve them.<p>I like being meticulous, I&#x27;m a grafter, and I&#x27;m a pragmatist. I like to surround myself with people who are just as or more hardworking and ambitious than I am.<p>I love getting carried away in the possibilities of a cool new idea.<p>A programmer by trade, I&#x27;m a polyglot: I know lots of programming languages and can tune myself into the nuances of a new language fairly easily. I started coding when I was 12, and my fingers (and imagination) have been on fire ever since.<p>[ my public key: https://keybase.io/johnhamelink; my proof: https://keybase.io/johnhamelink/sigs/0RLdQsWjvs_59B8_wI2HH0slzjdf0RGGB2Jj7ee9lM8 ]",1252869637,1452525007
s0li,0,2,0.0,0,1,,1306924854,1452894027
s0lofounder,0,8,0.0,0,0,,1440955363,1453171955
s0m30n3,0,1,0.0,0,1,,1310132026,1452894913
s0me0ne,,9,0.0,0,20,,1332873357,1450207814
s0mecats,0,6,0.0,0,0,,1438575543,1453171230
s0rce,,340,2.77778,6,43,"PhD Student in Materials Science at Northwestern University",1338432283,1452671334
s0ud1f40,0,1,0.0,2,0,,1311305702,1452895170
s0urc3,0,3,0.0,0,1,"Java web application developer",1304276090,1452893560
s0urceror,0,17,0.0,0,5,,1297313174,1452892334
s0uthPaw88,,87,0.0,4,19,,1378358674,1451781251
s0x,,5,0.0,0,10,,1397660223,1450207814
