ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
ILIKECAKE,0,-8,0.0,0,3,,1301491531,
ILIKEPONIES,0,188,1.30435,29,52,https://underdog.io/,1303739419,1451923940
ILMostro,0,1,0.0,1,0,,1398582422,
ILOVEDP,0,1,0.0,0,1,,1358949510,
ILOVEPIE,0,2,0.0,1,1,,1350003404,
ILiekButtz,0,0,0.0,0,1,,1440874469,1440875506
ILoveFazolis,0,2,0.0,0,1,,1299225550,
ILoveNode,0,-3,0.0,0,2,,1319995005,
IlDuce,0,1,0.0,2,1,,1365620517,
IlPeach,0,34,0.0,8,37,,1370522830,1449272725
Ilemi,0,1,0.0,0,4,,1343511954,
Ilia,0,15,0.0,2,20,,1208485777,
IlianaSuch,0,1,0.0,0,0,,1250283791,
Ilios,0,3,0.0,0,5,,1412093629,1446147180
Ilkka,0,1,0.0,0,1,,1272535153,
Ill02,0,2,0.0,2,1,,1422103662,1426902577
IllIllIlllIl,0,3,0.0,0,2,,1411500154,
Illaho30,0,1,0.0,1,0,,1320236642,
IlldianX,0,1,0.0,0,1,,1366465183,1437763221
Illedran,0,2,0.0,2,0,,1379446168,
Illgearshirts,0,1,0.0,1,0,,1318596349,
Illgetthere,0,13,0.0,1,6,,1286091348,
IllinoisMike,0,1,0.0,1,0,,1431618158,1431618855
Illniyar,0,307,0.0,5,79,,1361136669,1452718123
Illotus,0,150,1.9,19,45,,1327361251,1451583075
IllusoryReverb,0,17,0.0,0,2,,1442830801,1445006120
Illya,0,2,0.0,0,0,,1420274691,1453164934
Illychnosis,0,52,0.0,2,14,,1356488786,
Ilmarinen,0,0,0.0,0,2,,1352967720,
Ilmesnkie_Jones,0,49,0.0,0,26,,1364515595,
Ilona,0,1,0.0,1,0,,1336372529,
Ilonaandrews,0,1,0.0,11,0,,1305549029,
IloveSEO,0,1,0.0,0,1,,1390263751,
Ilovecroissants,0,1,0.0,0,1,,1425751501,1425751644
Iloveityo,0,1,0.0,0,2,,1433965744,1434244030
Ilovepee,0,1,0.0,0,3,,1285086391,
Iloveyatesomuch,0,5,0.0,0,2,,1370586265,
IluvJekyll6969,0,1,0.0,0,1,,1407272668,
Ilverin,0,30,0.0,0,16,,1356880834,1430678114
IlyaKhan,0,1,0.0,1,1,"Investor and startup manager from Moscow",1382471600,1426525324
IlyaKleyman,0,2,0.0,1,0,,1300133313,
iLemming,0,10,0.0,0,0,,1423873418,1453167956
iLie,0,-7,0.0,0,1,,1308751942,1452894430
iLife,0,4,0.0,1,0,,1349154156,1452906416
iLike2Bike,0,1,0.0,0,1,,1384527555,1452918694
iLikeCookies,0,1,0.0,1,1,,1365773680,1452912485
iLikeCyc,0,1,0.0,0,1,,1290395834,1452891526
iLiveInAfrica,0,10,0.0,0,0,,1448023601,1453174046
iLobster,,3,0.0,9,0,"Lobster is a marketplace that connects users of Instagram and Flickr (more to come!) and those who want to legally use their photos.",1383921891,1450207814
iLoch,,754,2.72727,10,401,,1381415315,1452214955
iLock,0,5,0.0,0,5,,1348748719,1452906326
iLoveApple,0,-46,0.0,0,2,,1322717178,1452898619
il,,5172,4.90909,57,670,"Internet marketer, growth hacker.\nemail: ilya [<i>at</i>] mixrank.com<p>Cofounder of MixRank (YC S11).<p>My startup: http://www.mixrank.com",1221713366,1450207814
ilPeloso,0,1,0.0,0,1,,1409665825,1452930328
ilSignorCarlo,0,-3,0.0,4,11,,1236705863,1452887236
il_,0,1,0.0,0,1,,1339692694,1452903491
il_demente,0,14,0.0,0,2,,1358209547,1452908808
ila,,238,0.0,27,12,,1321622642,1450207814
ila33,0,1,0.0,1,0,,1304401630,1452893560
ilaclama,,1,0.0,1,1,,1414675465,1450207814
ilad,,-1,0.0,0,2,,1371477574,1450207814
ilaksh,,1298,1.11364,31,1504,,1236668615,1452884884
ilalex,0,3,0.0,0,1,,1372925540,1452914460
ilambharathik,,1,0.0,2,0,,1364881940,1450207814
ilamont,,16952,5.61364,1704,694,"HN denizen since 2007. Managing editor of <i>The Industry Standard</i> (2008-2010). Boston-based founder of i30 Media and <i>In 30 Minutes</i> guides (2012-present). Check out <i>jQuery Plugin Development In 30 Minutes</i> (http://jquery.in30minutes.com/) by @rduchnik, who connected with me through HN.<p>I am working on a project that applies some of the &quot;lean startup&quot; ideas to media production. If you are interested in reading draft chapters, check it out here: http://leanmedia.in30minutes.com/<p>If you&#x27;re interested in writing a guide on any programming, software, or business topic, contact me at the address below.<p><i>Twitter:</i><p>http://twitter.com/ilamont<p><i>Company Site</i><p>http://in30minutes.com<p><i>Email</i><p>ian -at- in30minutes dot com",1192113378,1452871258
ilamparithi,,205,0.0,6,36,,1240421628,1450797356
ilanalon123,0,1,0.0,1,0,,1286231363,1452925315
ilanamit,0,1,0.0,0,0,,1439902111,1453171629
ilanamoss,0,1,0.0,0,1,,1236292890,1452887236
ilanco,,39,0.0,5,31,"https://twitter.com/cohenilan<p>https://github.com/ilanco<p>[ my public key: https://keybase.io/ilanco; my proof: https://keybase.io/ilanco/sigs/CO1q6MuqR8V7rpLGlJxG5WjM5OzNltc9vRV0UsOCOhY ]",1309519689,1450207814
ilandimnik,0,1,0.0,1,0,,1358363084,1452913761
ilandsman,,154,0.0,17,5,,1404413526,1451500189
ilanhertz,,9,0.0,16,0,,1400441078,1450207814
ilanivic,0,1,0.0,0,1,,1393819590,1452922039
ilankasan,0,5,0.0,0,0,"The product guy...",1410862168,1453169271
ilanmarket,0,1,0.0,1,0,,1362662703,1452910575
ilanmintz,0,1,0.0,0,0,,1450955732,1453174754
ilann,0,1,0.0,0,1,"Ilan Naslavsky - Founder & CTO at Newvem",1335353264,1452902431
ilannewyork,,1,0.0,2,3,"Founder and CEO at Insensi. Hardware + Software startup based out of NYC.",1296583361,1450207814
ilanos,0,-4,0.0,1,2,,1231372746,1452886955
ilanrabinovitch,0,7,0.0,2,1,,1319587940,1452897964
ilanthevan,0,1,0.0,9,0,,1298269308,1452892466
ilari,0,1,0.0,1,1,,1286201760,1452890369
ilarimakela,0,1,0.0,0,0,,1435656082,1453170312
ilarym,,-17,0.0,0,1,,1389141026,1450207814
ilazarte,0,4,0.0,0,4,,1302927596,1452893372
ilbay,0,10,0.0,2,0,,1302902001,1452893372
ilbe,,49,0.0,3,35,,1377630318,1450207814
ilbo,0,1,0.0,0,1,,1290767944,1452891611
