ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
2CORick,0,1,0.0,0,1,,1275575256,
2can,0,1,0.0,1,1,grouptalent-bartlomiej-wiaduch,1345641100,1413887152
2cent,0,2,0.0,0,0,,1175098414,
2chainz,0,1,0.0,0,2,,1418106379,1418106447
2chen,0,16,0.0,0,2,,1434871478,1434936371
2citizen,0,1,0.0,0,1,,1380012390,1447966288
2ck,0,1,0.0,0,2,,1333117592,
2close4comfort,0,188,1.09091,2,119,"Ted Knight and Jim J! in one show!!!!",1379105211,1452753662
2color,0,3,0.0,1,11,,1347370560,1436878559
2cool,0,6,0.0,4,7,"I build stuff, and my interests relate to fun and useful applications and innovations on hardware/software hybrids, web apps, and analytical solutions.<p>Programming: PHP, C, Java, C#, Lisp, Matlab\nWeb: PHP/MySQL/CSS/AJAX (JQuery) Javascript \nElectronics: general and digital electronics, (AVRs atmega8, atmega168), prototyping, RF modules \nAnalytics: linear/numerical/non-linear analysis, quantum information, machine learning techniques (bayes classifiers, neural networks), optimization (simulated annealing, simplex algorithm, Kohonnens neural net)<p>As of entrepreneurship and startups I think I agree with Steve Wozniak who once said that ""having a firm seems fun thing and that is a good reason to have it"".<p>Related to sports, I do squash and body building. I'm also very passionate about films and film making.",1220358717,
