ID,Karma,About,Created,Updated
Ifentusb1,1,,1318586544,
Ifinoi,26,,1338901024,
Iftheshoefits,1188,,1373980723,1431535670
iFace,1,,1306342816,1452893954
iFire,43,,1317606818,1451974235
iForgetMyPW,2,,1386423856,1452919281
if300,1,,1300694984,1452894279
ifPaheycad,1,,1392610743,1452921535
if_by_whisky,246,,1355759374,1452367123
if_else,2,,1343946095,1452905646
if_you_see_sid,8,,1442488939,1453172424
ifabo,1,,1445855500,1453173670
iface011,1,,1312960098,1452896423
ifandelse,26,,1311606093,1452900914
ifben,13,,1312780356,1450207814
ifbyphone,1,,1279491455,1452889589
ifc,1,,1286511032,1453172892
ifcho,6,,1381799573,1450207814
ifcologne,245,,1367335803,1450457915
ifdattic,2,"Building software applications is as much about coding as it is about understanding and solving the actual business problems!<p>I&#x27;m a Zend & SensioLabs certified web developer / consultant with a focus on solving business problems and adding value through product optimisation. This can be done in many ways: creating a new application, suggesting an action plan or architecture, optimizing current set-up / architecture / applications, etc.<p>At the moment my technology focus is on PHP, Symfony, AWS, MongoDB, MySQL, APIs, NodeJS and Docker. I also care a lot about security (InfoSec), performance, quality, best practices & continuous learning. You can contact me for projects at http://ifdattic.com<p>I&#x27;m a big believer in Open-Source and the sharing of knowledge. I&#x27;m a contributor to the Symfony framework, Behat, phpspec & several other open-source projects. (see my GitHub: https://github.com/ifdattic)<p>Personally I have strong values which I believe make me a better version of myself. I strongly believe in daily incremental personal improvement - make sure you&#x27;re a better person day by day - never stop learning!<p>Some of those values are:<p>* transparency and sincerity (don&#x27;t lie, don&#x27;t hide things, don&#x27;t be afraid of the truth);\n* learning / self-improvement (you learn most outside of your comfort zone);\n* well-being (“Mens sana in corpore sano” - you produce the best work with a healthy mind and body);\n* servitude (helping others provides more happiness than helping yourself);\n* gratitude (to appreciate what you have);\n* empathy (learn to understand others, and that everyone is having as rich a human experience as you. This helps in doing good and feeling good. I feel travel is important in cultivating my empathy);\n* minimalism / frugality (focus on what is important in life).<p>You can read more about my personal experiences and thoughts on values on my blog: http://ifdattic.com/categories/personal",1424287774,1453166528
ifdefdebug,170,,1416995691,1452505891
ifdnrg,2,,1280839571,1450207814
ifduyue,3,,1431794003,1453169524
ifeanyi2011,1,"Ifeanyi Emeka is a tech blogger, web designer, software programmer and IT consultants. He loves writing about technology trends, blogging tips, programming, product reviews, PC tips and tricks. He also appreciates when beautiful code compliments beautiful design, and still codes for IE6 browser. He is a normal guy, vibrant, eloquent and intelligent entrepreneur with great personality and always love to be with inspiring friends.",1310149052,1452894913
ifeanyiisitor,2,,1366951470,1452911952
ifearthefeds,16,,1327225072,1452899631
ifearthenight,204,,1325813528,1452899344
ifeatu,4,,1311632044,1452899203
ifeelgreen,1,,1395273216,1452922399
ifeins,1,,1335110497,1450207814
ifelsethen,4,,1373302504,1450207814
ifeltsweet,4,"I'm here to help all of us achieve what we must, build what we should and learn when we can.",1357848160,1450207814
ifenn,1,,1369877378,1452913045
ifesdjeen,436,"http://coffeenco.de\ntwitter: http://twitter.com/ifesdjeen",1277289550,1450207814
ifette,1,,1407267007,1452928704
ifewalter,5,,1320474620,1452898518
ifewalter32,1,,1430312031,1453168574
ifeya,5,"My name is Duke Nukem and I'm coming to get the rest of you alien bastards",1347907211,1452913533
iff,4,,1410463123,1450207814
iffel9359,1,,1334625736,1452901808
ifficiency,98,,1308425644,1450207814
iffius,3,,1228850441,1452892631
iffy,1,,1315126926,1452896391
iffycan,167,,1368214690,1450511320
iffyio,1,,1442440766,1453172407
iffyuva,171,,1321694721,1450207814
iffz,35,,1418709859,1453165109
ifhouse,1,,1272530351,1452889175
ifij775,2,"C++, Computer Vision, Git-flow",1351695982,1450207814
ifile,1,,1367632224,1452912144
ifindkarma,7,http://twitter.com/ifindkarma,1287348964,1450207814
ifix,-1,,1322455513,1450207814
ifixphone,1,,1294823725,1452899110
ifktaotc,1,,1390627808,1452920572
iflfdgoijjr,1,,1333292180,1452901281
iflickle,1,,1385899560,1452919130
iflowfor8hours,1,,1348697608,1450207814
iflyplanes,2,,1295915710,1452892125
iflyun,1,,1414352014,1450207814
ifmb,1,,1390131517,1452920340
ifmw,18,@ifmw,1342456422,1450207814
ifnazar,1,,1334865595,1452902259
ifni,11,,1346201063,1450207814
ifnspifn,1,,1350315358,1452906723
ifonly,1,,1291891548,1452891826
ifonlynoelse,1,,1399492013,1452924205
iforapsy,4,,1371091499,1450207814
iforget,-70,,1318413920,1452897594
iforgot,3,,1307036797,1452894106
iforgotagain,1,,1363169598,1452910766
iforgotmylogin,3,,1363776781,1452911035
iforgotmypass,1,,1367766360,1452912144
iforgotmyuser,1,,1352734677,1452907279
iforonedisagree,2,,1337040439,1452902950
ifoundthetao,1,,1442499572,1453173312
ifraixedes,1,"Software Engineer & Full-Stack developer",1389541352,1452923410
iframe,-8,http://twitter.com/iframe,1348298022,1452907494
ifran,3,,1309453040,1452894620
ifratric,2,,1384938938,1452918877
ifredo,1,,1376335451,1452915473
ifree,2,"Game programmer",1387525446,1450207814
ifrins,166,"https://francescbm.com<p>ifrins@icloud.com<p>Mathematics and Computer Science @ Universitat de Barcelona",1334346505,1452430583
ifrit,3,,1395685217,1453165223
ifross,10,,1378291096,1450207814
ifrosted,1,,1313455937,1452895902
iftacho,2,,1325510364,1452899344
iftachorr,11,"I&#x27;m the creator of http://pix.do",1325510267,1452903053
iftecan2000,4,,1287987246,1452890369
ifthen,12,,1282495685,1452889839
ifthenecho,139,,1334080997,1452901516
ifuck,12,,1411943340,1452932152
ifuller1,2,,1363696900,1452910955
ifup,2,,1405010355,1452926952
ifureadthisumad,-1,,1339325093,1452903452
ifuturevision,1,"I Future Vision providing Search Engine Optimization, Web designing, Web development, Internet marketing and SEO services in UK, USA and around the world.\nWe are one of the leading providers of comprehensive and affordable website solutions. We offer high quality web page design and development apart from a host of other services such as hosting and Search Engine Optimization.",1322030601,1452898518
ifuyivara,3,,1447175887,1453173688
ifwhennow,3,,1394242560,1450207814
ifyoubuildit,11,Developer,1350235016,1450207814
ifyouhavetoask,2,,1308599594,1452894379
ifyoumakeit,6,davegarwacke.com,1380575198,1450207814
ifyouwillit,4,,1325518873,1452899286
ifzen,4,,1306936226,1452894027
