ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
CS100988,0,3,0.0,1,0,,1311361695,
CS201,0,1,0.0,0,1,,1386097076,
CSAG,0,4,0.0,1,1,,1384241834,
CSBarbie,0,8,0.0,0,1,,1263314588,
CSBarbie1,0,3,0.0,0,1,,1264788096,
CSChiang,0,1,0.0,0,1,,1422458896,1422458922
CSDude,0,1046,2.40909,57,190,"CS Master Student @ Bilkent University<p>mustafa.akin at cs.bilkent.edu.tr<p>Creator of PAGS\nhttp://pags.cs.bilkent.edu.tr",1383776161,1452576677
CSEngineer13,0,9,0.0,6,2,,1421856587,1447178648
CSKnight,0,1,0.0,1,0,,1271549414,
CSMastermind,0,132,0.0,1,33,"[ my public key: https://keybase.io/csmastermind; my proof: https://keybase.io/csmastermind/sigs/v1wNubrfUatfo60W50KnmCXTL1qh0lHVJ0C6dKrq-54 ]",1404913128,1452193589
CSStudent,0,8,0.0,1,0,,1331267152,
CSTeacher,0,7,0.0,16,0,,1385742800,
CSchonwald,0,24,0.0,0,13,,1214417568,
CSenn,0,3,0.0,8,8,,1397527378,1431098000
CSherman,0,50,0.0,0,1,,1300569887,
CSinDepth,0,1,0.0,3,0,,1345493858,
CSlaunda,0,1,0.0,1,0,,1430609785,1430609871
CSreader,0,1,0.0,0,1,,1429349652,1429349749
CSsStudent,0,1,0.0,0,1,,1425885080,1426730474
CSteffensen,0,1,0.0,2,0,,1327900981,
CStorm,0,107,0.0,1,2,Hacker,1352639382,1425291974
CSunday,0,26,1.0,0,0,,1252024799,
Csciences,0,0,0.0,3,1,,1414191619,1414705690
Cseraphi,0,1,0.0,0,1,,1401378678,
Cshelton,0,643,0.0,0,183,,1412278994,1452685445
Csimplicity,0,1,0.0,1,0,,1314258814,
Cstumph,0,1,0.0,0,1,,1301521766,
cSly,0,1,0.0,1,0,,1319649911,1452898063
cSoze,,3,0.0,0,5,,1414613086,1450207814
cs,0,2,0.0,0,1,"www.arigato.ro\nwww.smuff.ro\ncsbartus.wordpress.com\n",1176215022,1176215022
cs-,0,16,0.0,0,0,,1423477049,1453165947
cs0,0,7,0.0,0,0,,1432295031,1453169340
cs02rm0,,219,2.59091,8,131,,1353512970,1450210588
cs1193,0,1,0.0,0,0,,1398080028,1453170873
cs2010,0,22,0.0,4,5,,1280239656,1452889716
