ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
BYK,0,7,0.0,2,6,,1312073178,1433461370
BYU,0,0,0.0,0,1,,1370620017,
BYWallace,0,20,0.0,1,4,,1409939463,1443651652
BYurgi,0,8,0.0,0,1,,1306913450,
ByBatu,0,1,0.0,1,0,,1370018225,
ByatchMatch,0,3,0.0,0,3,,1444073747,1445366995
Bybanu,0,1,0.0,2,0,,1308211635,
Bydom,0,45,0.0,20,2,,1428500434,1443458721
Byliner,0,656,0.0,60,9,,1267996442,1442896909
Byravcev,0,5,0.0,1,0,,1380466486,
ByronFortescue,0,15,0.0,1,7,,1328708724,1416238071
ByronT,0,50,0.0,0,28,,1335123963,1441943759
ByronWarnken,0,1,0.0,0,1,,1359092221,
ByronicHero,0,-4,0.0,0,1,,1442861535,1445392924
Bystander,0,13,0.0,1,14,,1292422962,
BystanderX,0,17,0.0,0,25,,1328401502,1439986223
Bystroushaak,0,3,0.0,0,1,,1431117881,1443986340
ByteGuru,0,2,0.0,1,0,,1335331371,
ByteMuse,0,130,1.0,7,24,"@ChrisPolis\nCollege student, programmer, wannabe artist/musician, audiophile, daydreamer",1307434451,
Bytedown,0,1,0.0,1,1,,1399298526,1429022602
Bytesizoty,0,2,0.0,1,2,,1310562305,
Bytesouffle,0,1,0.0,0,1,,1401736166,
Bytor,0,1,0.0,0,1,,1333460363,
Byzantine,0,-48,0.0,0,11,,1402550236,1425349921
by,0,269,3.0,0,84,,1242389473,1452887871
by7,0,1,0.0,0,0,,1312811844,1453170513
byEngineer,,219,0.0,20,116,,1410809332,1450207814
byF,0,1,0.0,1,0,,1391529043,1452921067
by_Seeing,,147,0.806452,9,47,"Designer, OpenTable",1334681794,1450207814
byadla,0,1,0.0,1,0,,1326467659,1452899504
byalice,0,66,0.0,1,18,"photographer / front-end programmer / designer<p>currently wharton/penn, former foursquare platform + microsoft .net<p>@byalicelee - blog.byalicelee.com",1326659286,1452900162
byamabe,0,1,0.0,1,0,,1172204543,1172204543
byambatsogt,0,1,0.0,0,2,,1318541222,1452899469
byamit,,22,0.0,1,18,,1359330607,1450207814
byanblue,0,1,0.0,4,0,,1318868221,1452897738
byandyphillips,,4,0.0,3,12,,1324060034,1450207814
byanthonyrea,0,1,0.0,0,0,,1433952844,1453169824
byaruhaf,0,500,0.0,0,0,"Zombie fanatic,Engineering Priest, Open Source enthusiast, Problem solver, Futurist,Functional programmer Unapologetic Sci-Fi Freak, Communication technologist.<p>[ my public key: https://keybase.io/byaruhaf; my proof: https://keybase.io/byaruhaf/sigs/CAcg7lfAs2XAlQzN-qXqn15-d2au7rCQWNy747NIQ6o ]",1392499772,1453168008
bybak,,1,0.0,0,3,,1402336231,1450207814
