ID,Karma,About,Created,Updated
SYNCEER,1,,1376257889,1452915473
SYNTHMAN,1,,1268685219,1452888965
SyAbleton,1,,1358797244,1452909044
SyK,10,,1266990263,1452888889
SyahCool,1,,1321467383,1452898583
Syaiful,1,,1336633998,1452902858
Syama,69,,1245734879,1450207814
SyazwanZamree,2,"Anti-school, startup founder, husband, dad, proudly malaysian",1450590549,1453174675
Sybil,5,,1293416216,1452891993
Syder_Keyrome,1,,1448554652,1453174182
SydneyG,1,,1448480845,1453174158
SydneysGuard,1,"Any one know how I can best learn coding If I have no basic knowledge? Any tools to help me?",1413744042,1450207814
SyedMuhammedAl1,1,,1318036623,1452897451
SyedNaimath,1,,1285859132,1452890369
Syeo68,1,,1382637433,1452917647
Syeo86,2,,1378407587,1452916122
Syi,6,,1413216605,1450207814
SylarVolkoff,1,,1413322391,1450207814
SylentBobNJ,1,,1411752335,1452931941
Sylg,2,,1292491933,1452891993
SylonZero,1,,1382839916,1450207814
Sylphine,1,,1379539389,1453174512
SylvainD,1,,1383982758,1452922399
SylvainThrd,2,,1417702579,1453174549
Sylvers,2,,1364019556,1452911268
Sylvester24,2,,1319042405,1452897801
Sym3tri,46,"Web hacker/entrepreneur in the SF Bay Area.<p>---------------\nwww.edrooth.com",1291526235,1450207814
SymbMeta,2,,1286016466,1452890123
SymbianSyMoh,1,,1390941983,1452920652
Symbiont,17,http://zerply.com/InsaneSpiral/,1293046034,1452892672
Symbiote,580,,1392244723,1452894595
Symbol,108,"Game hacker. I also like low-level tech - drivers, kernels, hardware/software interaction, etc. \nI also like the business side of technology, and am particularly interested in team dynamics.",1237745926,1450207814
Symen,3,,1356834369,1453174303
SymetriX64,1,,1336664963,1452902981
Symmetry,7590,"Robotics software engineer at RightHand Robotics.<p>My blog: http://hopefullyintersting.blogspot.com/<p>My not-horribly-impressive github: https://github.com/aclough/",1271512372,1452888677
Symph,2,,1381431554,1452917201
Sympler,1,,1405950076,1452927763
Sympme,1,,1397750448,1452923279
Sympta,0,,1323279884,1452898756
SynZeal,1,,1406559919,1452928159
Synaesthesia,980,,1279786806,1452498893
Synaptic,3,"#ccmusic #ecology",1310162232,1452894913
SyncOnGreen,5,,1417179762,1450267840
SyncOnGrn,1,,1397503847,1452923692
SyncTheory13,92,"Stolen from LifeHacker and fueled by a healthy addiction to HackerNews, I have finally made an account. I enjoy the philosophical and &quot;big picture&quot; posts the most, but appreciate the regular exposure to more technical ideas while I&#x27;m in the process of growing.<p>I&#x27;m an Data Analyst in St. Louis, MO, USA and a member of our local hackerspace, Arch Reactor. I look forward to using what I learn toward community-empowerment, sustainability, privacy, and freedom.<p>Feel free to email me at SyncTheory13 (gmail)!",1391807273,1450207814
Synchro,1,,1412056647,1453168111
SynchrotronZ,15,,1404903788,1450207814
Syncronous,0,,1412017208,1450207814
SyneRyder,781,"I&#x27;m the Chief Developer & Founder of namesuppressed.  I make Photoshop plugins, mobile apps, and also do freelance work.<p>I&#x27;m excited about bootstrapped startups, digital nomads, and Berlin.  I&#x27;m based in Perth, Australia, but considering relocating to Berlin & love excuses to travel there.  If you have any advice or a freelance offer there, I&#x27;d love to chat.<p>Twitter: @syneryder\nEmail: syneryder AT namesuppressed DOT com\nCompany Site: http://www.namesuppressed.com/\nPersonal Site: http://kohanikin.com",1297955590,1452803200
Syneh,5,,1412242739,1450207814
Synergydesigner,3,,1337608631,1452903053
Synergyse,88,,1366997764,1452253807
Synesthesis,12,,1392855055,1453165240
Syngenetivc,2,,1368472097,1450207814
Synless,0,,1419543712,1450267840
SynonymousCowrd,2,,1312219893,1452895525
SynonymsAPI,2,,1371488278,1452913761
Synroc,96,"Clment, Dropbox Engineer in San Francisco.<p>He is reachable at clementmiao [AT] gmail [DOT] com",1372349611,1450207814
Syntaf,4,,1427695694,1453167608
SyntaxPolice2,4,,1325120517,1452899203
Synth3t1c,7,,1284190881,1452893072
Synthetase,280,,1275957203,1450207814
Synthpixel,41,,1325183959,1450207814
Sypro,1,,1407180151,1452928613
Syros,5,,1377653376,1452915806
Syrup-tan,198,"Feel free to reach me at ~ syrup+hn at denpa dot moe",1421886846,1453165768
SysAid,3,,1376300342,1452915473
SysBadmin,1,,1401993761,1452925031
SysGears,1,"SysGears is a full-cycle software development company focused on building custom web applications in Scala, Groovy, Java and JavaScript.",1447840027,1453174337
SysKill,3,,1350896663,1452906900
Sysky,109,,1424098706,1453166289
Syssiphus,210,"- born 1975\n- German\n- speaks: german, english\n- programmer\n- likes: lisp, erlang, haskell, project euler, books, jaguar, retro games and systems (esp. Neo Geo & Commodore 64/Amiga)\n- ViM user",1316602127,1450207814
SystemOut,511,,1233089144,1452589367
SystemSymbiosis,1,,1423488027,1453165947
Systematica,2,,1373140678,1452914557
Systemic,12,,1387555378,1450207814
Systemic33,2170,"I&#x27;m an engineering student at Denmarks Technical University, where I study IT and Communicationtechnology.<p>I love programming, and currently write C# and Python.\nAdditionally I love (good) coffee :)<p>Twitter: https://twitter.com/kdamjensen",1360777995,1450369227
SystemicPlural,2,,1354698551,1452907748
Systemist,4,,1430364357,1453170580
SystemsThinker,1,"<a href=""http://www.systemsthinker.com/"" rel=""nofollow"">http://www.systemsthinker.com/</a>",1211238148,1211238148
Systemware,1,"Systemware's seamless, proprietary enterprise content management (ECM) solution captures, organizes, manages and delivers documents and content. Located at 15301 Dallas Parkway, Suite #1100 Addison, Texas 75001 Call us at 972-239-0200",1328633192,1452899883
sYnfo,4,,1447336287,1453173819
sy11,2,,1242220196,1452887831
sy_r0y,1,,1366192449,1452911874
syaan707,1,,1323812785,1452898858
syadegari,1,,1405333066,1453173961
syafiul,1,,1245198339,1452887978
syahalom,1,,1398206921,1452923466
syahmi,1,,1305101709,1452893643
syalam,40,"founder @ tappforce.com - iOS & Android development studio<p>www.tappforce.com",1212079737,1448466310
syalinbas,2,,1175186734,1452887114
syam1224,1,,1213895980,1452886327
syamhadi,1,,1350725983,1452906850
syamk,1,,1282910166,1452892737
syamkris,2,"interested in learning and experiencing more and also in teaching what I learn",1291605417,1450207814
syamks,2,,1354695890,1452907820
syams,1,,1343106362,1452904814
syamsunge,1,,1313122053,1452895821
syaramak,18,,1309769777,1450207814
syassami,42,,1336966766,1450207814
syath,1,,1379953527,1452916768
syats,2,,1381589244,1453167454
syatson,2,"twitter @syatson",1332029128,1452900855
syavash,1,,1390073340,1452920340
syawaworht,10,,1328382984,1452899829
syaz,27,,1240828220,1452887772
syaz1,189,,1271533637,1450619916
syb,2,"[cs undergrad, pro opensource, cinephile,..]",1299811364,1450207814
sybase46,1,,1434141003,1453169899
sybasesaviour,-1,,1426497857,1453168848
syber,1,,1329234226,1452900071
