ID,Karma,About,Created,Updated
KB,402,"[at] bolton<p>bolton [at] twitter<p>http://boltanium.com",1178030111,1414468403
KB123,1,,1176356456,
KB1JWQ,71,,1372087782,1452635399
KBorders01,25,"Co-Founder at Collage.com",1273857364,
Kbarnett2413,1,,1308617584,
Kbaxter,2,,1208932624,
KbcdPfA,1,,1400750998,
Kburgoon78,1,,1436105440,1436105658
Kburgoontrading,1,,1443736694,1443736873
kb,3,,1254123544,1452888374
kb101,142,,1313162298,1452896231
kb120,-2,,1361407489,1452910031
kb17,2,,1362694798,1452910575
kb19,6,,1368015506,1452912241
kb21,52,,1415745239,1450267840
kb6kgx,1,,1394493958,1452922154
kb888,1,,1359496557,1452909189
kb9jzp,1,,1390354171,1452920411
kba,11,,1333162836,1450207814
kbadal,0,,1329252223,1452900615
kbadk,2,,1337573630,1452903053
kbaijnath,1,,1447786006,1453173985
kbajorin,7,,1376569745,1452915703
kbaker,288,"Embedded systems engineer + software developer... My &#x27;full stack&#x27; means PCB design and layout, RF + RFID, components + sourcing + product design (even some mechanical), kernel dev + bare metal, embedded OS distros, add more layers of C, Python, Java, or .NET to tie it all together, then a nice-looking web frontend to top it off. Lots of fun to be had at every level!<p>username at gmail.",1328765906,1452146919
kbal11,6,,1214498363,1450207814
kbaldor,1,,1427975391,1453167771
kbalsen2001,1,,1217454586,1452888557
kbambz,1,,1380554068,1452919615
kbandes,5,,1430145761,1453168498
kbanman,38,,1319096094,1450207814
kbar13,944,"https://twitter.com/bsdlp<p>https://github.com/bsdlp/<p>https://keybase.io/jchen<p>5A70 750E C479 769E A478 CC63 D948 E315 4448 9BBA<p>[ my public key: https://keybase.io/jchen; my proof: https://keybase.io/jchen/sigs/Pthd9KiXoauu5RH7V1ITmNNbFhK6krVXQXt9LxVoexA ]",1339624174,1451213664
kbarapps,1,,1254353250,1452888375
kbarber,1,,1394236645,1450207814
kbaribeau,8,,1250490929,1452888284
kbarnard10,1,,1413496806,1453174640
kbarre123,1,,1413690411,1453165069
kbart,638,"You can contact me via email: kbart.misc@gmail.com",1366377102,1452892514
kbateman,2,,1330433742,1452907584
kbatten,267,,1279820150,1452611306
kbavandi,1,"Karan Bavandi, Los Angeles, CA\nCo Founder of Optimal Access -  Creating and sharing assets around ""where information resides""",1174691807,1174691807
kbbjcc,1,,1335029026,1452902316
kbcool,3,"I hang about the web, doing web things.",1215664397,1450207814
kbcsi,1,"A Better Way to manage your IT...",1307373706,1452894165
kbcsi1,1,,1312216712,1452895525
kbcv,1,,1399651264,1452924244
kbd,1071,http://keithdevens.com/,1288106395,1451935881
kbdln519,1,,1314848342,1452896359
kbeam,1,,1382103500,1452917470
kbeaty,35,http://simplectic.com,1323001918,1450207814
kbeaudoin,-1,,1311094352,1452896036
kbecker81,1,,1398690142,1452923692
kbeckmann,2,,1446836316,1453173961
kbedell,14,,1289422624,1452897595
kbee,4,,1353287182,1452907445
kbeegle,16,,1328665163,1452906134
kbego,1,,1324492645,1452899040
kbelbina,51,"contact me on twitter: @lukebelbina",1314721032,1450207814
kbell,2,,1228333074,1452889947
kbeller,1,,1386698890,1452919341
kbelling,5,,1386441017,1450207814
kbellinger,1,,1378742994,1452916205
kbendyk,19,,1349096730,1450207814
kbenson,4973,"k e n t r a k # google&#x27;s public mail service",1343271434,1452897419
kbenzle,16,,1399314060,1453169472
kberg,1,,1337379577,1452903018
kberger,153,http://about.me/kberger,1295990511,1450207814
kberov,1,,1313075041,1452895755
kberridge,8,,1324308770,1450207814
kberryman,1,"[ my public key: https://keybase.io/kberry; my proof: https://keybase.io/kberry/sigs/AkMOHRrF01XrjbW3AxTdgt_YBsfBZ2O1AFusn82HWg4 ]",1346184062,1450207814
kbeswick,2,,1288924049,1452915703
kbetz,22,,1429771162,1453168403
kbg,1,,1232919527,1452887037
kbgrant,34,,1327294208,1450207814
kbhane,1,,1338014121,1452903422
kbhangui,8,,1237578999,1452887289
kbhn,12,,1433779395,1453170924
kbhomes,200,https://github.com/kbhomes/,1358722398,1450207814
kbilletz,2,,1332695433,1452901482
kbilsted,2,,1436864895,1453170743
kbishopNSL,1,,1432921099,1453169573
kbj,4,,1272910731,1452896036
kbjoh,1,,1380732844,1452917015
kbkaiez,-1,,1366050613,1452911751
kbkb,5,,1340383245,1452906326
kbking,1,,1350868472,1452906900
kblanks,2,,1321125830,1452898376
kblarsen4,1,,1423803952,1453166094
kblessinggr,2,,1258948249,1452888609
kblnig,1,,1302532558,1452893290
kblu,1,,1407267187,1453166528
kbm,2,,1227641609,1452896531
kbm1,1,,1344436263,1452905119
kbmax,1,,1380928264,1452917892
kbmittal,2,,1368988074,1452912621
kbn32,10,,1376336552,1452915473
kbob,498,"Former Unix kernel guy.  Current interests include Scheme implementation, garbage collection, and pinball.  Tried angel investing, didn't like it.",1235021210,1452670041
kbody,131,,1418084620,1452431596
kbojody,17,,1342734581,1452904984
kbok_,9,,1344350117,1452905119
kbolino,380,,1314646056,1452896325
kbone,1,,1381508397,1452917202
kbooking,3,,1430332170,1453168591
kbooth,1,,1360159400,1452910812
kboucher,1,,1407543802,1452928932
kbouck,47,,1331668946,1450207814
kbourgoin,2,,1267306515,1450207814
kboutin,4,,1246025137,1452891526
kbouw,553,,1349045075,1451688677
kbowersox,1,,1385460523,1452919045
kbparagua,1,,1351347239,1452908274
kbpowell03,1,,1427123871,1453167431
kbrackbill,7,,1243471556,1450207814
kbradero,15,,1268787879,1450207814
kbranson,1,,1397096999,1450207814
kbrd,1,,1432289124,1453169329
kbrenkus,1,,1318895929,1452897738
kbretz,3,,1352228317,1452907177
kbriankelley,6,,1322609848,1452906985
kbrock,1,,1306815228,1452894027
kbronson,22,,1329140072,1452900033
kbrosnan,189,,1351558635,1452545251
kbrower,929,"current project http://www.saatvamattress.com",1214236098,1450207814
kbrowne,33,,1321429429,1452900163
kbrownlees,4,,1436487900,1453170645
kbruneel,40,,1349961195,1450207814
kbruner,23,,1330116748,1450207814
kbrusch,1,,1383773536,1452919946
kbrust,1,,1215349598,1452886424
kbrwn,24,,1378141360,1452163682
kbs,7,,1344306355,1452905119
kbsali,1,,1354892861,1450207814
kbtombul,3,,1344573604,1450207814
kbtr,9,,1366117781,1452911751
kbuck,270,,1323058652,1452634913
kbuckenmaier,1,"CFO and Global Head of HR at Scalable Capital, Europe&#x27;s leading FinTech start-up based in London and Munich",1364250696,1450207814
kbucks,1,"Following my passions in business and in life!",1287409316,1452906371
kbudinoski,1,,1372674855,1452914357
kbuley,2,"[ my public key: https://keybase.io/theklb; my proof: https://keybase.io/theklb/sigs/piINlPQoRJUTcWqX9DdAc8D_Ea1D0iis-JwcqE1HsBw ]",1419465887,1450267840
kbullaughey,7,,1436649942,1453170686
kburjorj,1,,1363312583,1452911621
kburkitt,3,,1346556204,1450207814
kburly,1,,1345725755,1452905507
kburn,1,,1254517336,1452888375
kbutler,1574,,1266885274,1452802745
kbuttner,2,,1296960460,1452892263
kbutts51,1,,1318239164,1452897529
kbv,2,,1420064260,1450267840
kbwatts,1,,1382097258,1450207814
kbwt,38,,1419259219,1450267840
kbyer,1,,1275662544,1450207814
kbyers,24,,1282495957,1450207814
kbz,3,,1220446551,1452886572
