ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
cq,0,52,2.0,1,42,,1317838551,1452897385
cqcn1991,0,4,0.0,0,0,,1377426211,1453170081
cqdx,0,10,0.0,0,3,,1293068954,1452893643
cqm,0,8,0.0,0,1,,1291125167,1452891720
cqpan,0,3,0.0,0,0,,1258329876,1452888557
cqrby685938,0,1,0.0,4,0,,1331793318,1452900708
cqrendo,0,1,0.0,0,2,,1335823430,1452902858
cquilboss,0,1,0.0,0,0,"CTO in Paris,FR and Miami,FL,USA",1432064421,1453169257
cquillen,0,1,0.0,0,0,,1450375475,1453174640
cqzbh,0,1,0.0,2,0,,1333157887,1452901228
