ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
R41p4t4ng,0,-6,0.0,0,4,,1366903802,
R4cOOn,0,1,0.0,0,1,,1303478662,
R4ph,0,1,0.0,0,1,,1391166011,1414512434
r41nbowcrash,,36,0.0,1,12,,1351501592,1450207814
r4cardglod1,0,1,0.0,2,0,,1312210631,1452895525
r4d2,0,1,0.0,0,1,,1387734831,1452919548
r4dius,0,20,0.0,1,13,,1317538768,1452898664
r4ferrei,0,6,0.0,0,0,,1435380865,1453170252
r4m,0,1,0.0,0,1,,1394258629,1452923279
r4mona31,0,2,0.0,0,0,,1423169001,1453165890
r4n50m,0,4,0.0,0,1,,1362143062,1452910366
r4nd0m,0,2,0.0,0,1,,1315295363,1452896423
r4nt,0,1,0.0,1,0,,1376189824,1452915473
r4pha,,188,3.36364,4,68,http://rbaron.net/,1333318962,1450207814
r4ps,0,-3,0.0,1,6,,1283242570,1452889947
r4r4r4r4r4r4r4,0,0,0.0,0,1,,1337741881,1452903081
r4t7h82k,0,1,0.0,3,0,,1316310181,1452896655
r4um,,4191,0.0,235,25,"systems guy  curious and intrusive  99.99999% positive<p>[ my public key: https://keybase.io/r4um; my proof: https://keybase.io/r4um/sigs/_ECkr_Bp0BN6VMouLzCxRG-6h-5AoOv3rQdRCpZcgH0 ]",1361970963,1452513350
r4vik,,1407,2.90698,55,153,"Hacker and Writer.<p>Can be found on:\ngithub @ https://github.com/r4vi \ntwitter @ https://twitter.com/r4vi<p>[ my public key: https://keybase.io/r4vi; my proof: https://keybase.io/r4vi/sigs/GEeAG_HvyhAUscpRZo40Z447G8Xllk76gJac3Qf8kwE ]",1300394352,1450207814
r4w8173,0,1,0.0,0,1,,1359984022,1452909530
