ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
IPGlider,0,17,0.0,0,6,,1363180163,1423752043
IPPlanMan,0,1,0.0,0,2,,1275854974,
IPTT,0,1,0.0,1,0,,1375978027,
IPVanish,0,6,0.0,1,0,"Tier-1 VPN Provider",1446146750,1446166655
IPaidABribe,0,1,0.0,0,4,,1294292768,
IPlawyer,0,1,0.0,0,1,,1434554680,1434554708
IPlusOneYou,0,-1,0.0,0,1,,1320678245,
IProgrammer,0,5,0.0,0,6,,1305231862,
Ip12,0,3,0.0,0,2,,1355305790,
IpV8,0,22,0.0,0,22,,1301453142,1447448300
Iproperty01,0,1,0.0,1,0,,1337066800,
Ipunkna,0,1,0.0,1,0,,1342549474,
IpxqwidxG,0,152,0.0,7,37,https://twitter.com/marvindanig,1393728302,1447122365
iPadDeveloper,0,-2,0.0,0,11,,1295117258,1452892097
iPadian,0,2,0.0,1,0,,1326226073,1452899438
iPhone1,,51,0.0,16,3,,1294180827,1450207814
iPhone4Suser,0,1,0.0,0,1,,1394516563,1452922188
iPhone4apps,0,1,0.0,2,0,,1294635856,1452893181
iPhoneJunkie,0,1,0.0,0,2,,1288091622,1452890369
iPhoneerror,0,3,0.0,4,0,,1318461684,1452897594
iPhoneunlockpro,,1,0.0,1,1,,1409642888,1450207814
iPistolShrimp,,1,0.0,1,0,,1417665878,1450267840
iPredatorInc,0,1,0.0,2,0,"iPredator Inc. was founded in September 2011 to provide educational and advisory products & services to consumers and professional institutions on cyber bullying, cyber stalking, internet predators, cybercrime, internet libel, digital reputation and digital forensic psychology. Owned by New York State licensed psychologist and certified forensic consultant, Dr. Michael Nuccitelli, his goal is to reduce victimization, theft and disparagement from online assailants.\nAt the center of IPI's products, services and marketing strategy is Dr. Nuccitelli's two theoretical constructs, iPredator & Dark Psychology. Over the last 2 years, Dr. Nuccitelli has dedicated himself to learning the psychological composition of those engaged in malevolent activities using information and communications technology (ICT.) On 10/19/11, Dr. Nuccitelli received confirmation that his construct, iPredator, was the cover story in the December 2011, fall/winter issue of The Forensic Examiner published by the American College of Forensic Examiners International (ACFEI.)\nOver the last two years, Dr. Nuccitelli has compiled an enormous database leading to his development of online risk probability assessments designed for parents, businesses, teens, adults and public figures. Concurrent with these assessments, IPI will offer a unique advisory-based membership service, iPredator Protected, on the appropriate strategies for prevention, intervention and guidance if targeted by an iPredator.  \nOnce iPredator.co is launched in January 2012, visitors will have free access to their entire resource library of information on cyber bullying, cyber stalking, cyber crime, child predators, forensic psychology, dark psychology, iPredator and exploration of the criminal/deviant mind.",1324939403,1452899157
iProject,0,20977,1.0,4266,36,,1329772709,1452900235
ip2k,0,-3,0.0,0,3,,1302742760,1452893324
ip2trama,0,27,0.0,1,1,,1260823306,1452888684
ip82370220,0,1,0.0,1,0,,1313775073,1452895978
ipValue,0,1,0.0,0,1,,1394565824,1452922188
ipad-apps,0,1,0.0,0,1,,1264990608,1452888810
ipad3jailbreaks,0,1,0.0,1,0,,1339424416,1452903452
ipadapplication,0,1,0.0,2,0,,1299843885,1452893324
ipadbluesfor_dl,0,2,0.0,0,0,,1450683013,1453174687
ipaddeveloperss,0,1,0.0,1,0,,1320404135,1452898236
ipadminime,0,1,0.0,0,1,,1351836810,1452907085
ipadmyanswers,0,4,0.0,0,2,,1320507115,1452898269
ipadtwitter,0,3,0.0,1,0,,1274397276,1452889246
ipalibo,,1,0.0,2,0,,1399666550,1450267840
ipalreadytaken,0,2,0.0,0,0,,1411498736,1453172754
ipapapa,0,2,0.0,0,0,,1452830244,1453175373
ipapikas,0,20,0.0,0,0,,1446113400,1453173388
iparamonau,,5,0.0,10,4,"founder & ceo at Itteco",1291057103,1450207814
ipardo,0,6,0.0,0,3,,1305849359,1452893954
ipartola,0,0,0.0,0,0,,1257984135,1452888557
ipave,0,1,0.0,0,0,,1254328563,1452888374
ipavl,,4,0.0,0,5,,1414366771,1450207814
ipax,,2,0.0,0,2,,1351633056,1450207814
ipbillthrowaway,0,1,0.0,0,0,,1446460601,1453173462
ipbyrne,0,29,0.0,0,0,,1439487290,1453171515
ipd,0,2,0.0,1,1,,1274678630,1452889417
ipdk,0,1,0.0,0,0,,1452975813,1453175426
ipedrazas,,111,1.57143,17,75,"Founder of Oi!",1335969886,1450207814
ipeefreely,0,1,0.0,0,1,,1350239399,1452906723
ipeev,,1,0.0,0,3,,1171973143,1432019798
iperdomo,,2,0.0,0,1,https://perdomo.me,1383294950,1450207814
iperez,0,4,0.0,0,0,,1444388994,1453172931
iperry,0,1,0.0,1,1,,1237539657,1452887289
ipestov,,4,0.0,10,0,,1407382721,1450207814
ipetepete,,12,0.0,1,9,"I like monkeys. I wouldn't want to get too close to one, they seem a little crazy sometimes. Thats why I love my dogs, they are the least crazy life-forms in my vicinity. Thats disturbing and comforting at the same time.<p>I code, write, draw, fly, build, play, read among a myriad of other things.<p>Thanks for reading. Thats all I have to say.<p>No really, thats it.<p>Still reading? Whats wrong with you. Go read something that is actually interesting, you are on the right site for that.<p>Wow, maybe humans are closer to monkeys than we originally thought. Do you like bananas?<p>ok fine! Read more of my ramblings here:<p>http://fluxotronic.com",1353434205,1450207814
ipfaffy,,1,0.0,0,2,,1416109434,1450267840
ipfree,0,1,0.0,0,2,,1304007794,1452893517
iphne2,0,1,0.0,1,0,,1347908667,1452906134
iphne5,0,1,0.0,2,0,,1347899060,1452906134
iphone4eva,0,1,0.0,0,1,,1245795720,1452887978
iphone5,0,1,0.0,3,0,"All about iPhone 5 http://www.newiphone5.net/",1323887025,1452898908
iphone5dock,0,1,0.0,1,0,,1349826525,1452906576
iphone5shopping,0,1,0.0,4,0,,1313957930,1452896103
iphone7166,0,23,0.0,0,0,,1426816865,1453167466
iphone_anon,0,6,0.0,1,2,,1328050510,1452899743
iphone_dev,0,1,0.0,1,0,,1330062674,1452900235
iphone_user,0,7,0.0,0,0,,1426427957,1453167218
iphoneappcafe,0,1,0.0,1,0,,1331068923,1452900506
iphoneappmaniac,0,1,0.0,8,0,,1335766977,1452902546
iphonebicss,0,1,0.0,1,0,,1398288043,1452923517
iphonebouygues,0,1,0.0,1,0,,1316513674,1452896759
iphonecto,0,3,0.0,6,0,,1268781067,1452889144
iphonedeblocage,0,1,0.0,1,0,,1315276705,1452896423
iphonedev,0,2,0.0,0,1,,1280876057,1452889673
iphonedev46,0,1,0.0,1,0,,1352534765,1452907235
iphonedevpinoy,0,1,0.0,0,0,,1433842811,1453169788
iphoneedbot,0,4,0.0,7,75,,1285925748,1452890369
iphoneengineer,0,-5,0.0,0,1,,1314310276,1452896231
iphoneexperts,0,1,0.0,1,0,,1325597186,1452899286
iphonefacil,0,1,0.0,1,0,,1354697043,1452907748
iphonefinger,0,1,0.0,1,0,,1378287725,1452916076
iphonegirl,0,1,0.0,2,0,,1263933480,1452888928
iphoneguy,0,2,0.0,0,1,,1225310152,1452886646
iphoneized,0,16,0.0,2,0,,1240867994,1452887513
iphoneking,0,1,0.0,1,1,,1266450633,1452888889
iphonelock,,1,0.0,0,1,,1413851351,1450207814
iphoneseventeen,0,6,0.0,0,0,,1439818443,1453171601
iphonesrock,0,1,0.0,1,0,,1367461090,1452912102
iphonetoolbox,0,7,0.0,1,0,,1226041360,1452886646
iphonie,0,2,0.0,0,1,,1222904774,1452886608
iphpdonthitme,0,10,0.0,2,10,"iphpdonthitme gmail",1213721635,1452886269
ipiccy,0,2,0.0,2,0,,1306761442,1452894026
ipimenov,0,2,0.0,0,2,"Currently:<p><pre><code>  Working on movie matching engine, called ""orb""  http://orb.me\n</code></pre>\nContact:<p><pre><code>  weloveyou@orb.me\n  +31 6 34 96 57 96\n  Amsterdam, NL\n</code></pre>\nResume/CV:<p><pre><code>  http://www.linkedin.com/pub/ilya-pimenov/6/419/b43</code></pre>",1331727547,1452907339
ipinak,,1,0.0,3,1,,1410471151,1450207814
ipince,,658,2.38636,8,171,"Please contact me at rodrigo [dot] ipince [at] gmail. Always happy to connect!",1285955181,1452640988
ipink,0,1,0.0,10,1,"My Owner on http://gadgetkindle.blogspot.com",1339583388,1452903490
