ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
351215255,0,4,0.0,0,4,,1317734372,1453163950
353547,0,1,0.0,0,1,,1391037182,1453164097
353wesmond,0,1,0.0,0,1,,1339522569,
35524532525,0,1,0.0,0,2,,1391353115,
355mainstreet,0,3,0.0,0,1,,1437355446,1437370667
35636,0,30,0.0,0,12,,1351727217,1453163975
357463,0,-1,0.0,0,0,,1444406696,1453172954
357467,0,0,0.0,0,0,,1444403368,1453172931
3579052795,0,-3,0.0,0,1,,1451191476,1451246654
357gaby,0,1,0.0,0,2,,1239172739,
358922,0,2,0.0,0,1,,1372521773,1453164097
35h34,0,5,0.0,0,1,,1440072640,1440114874
35pr17,0,3,0.0,0,3,,1367782625,1446503508
