ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
4Data,0,2,0.0,0,2,,1431356385,1441370598
4d004anonymous,0,9,0.0,0,1,,1437407413,1437468657
4d26p46pl1,0,1,0.0,1,0,,1315209060,
4d47,0,3,0.0,0,1,"Yogi, programmeur et amoureux<p>[ my public key: https://keybase.io/4d47; \n  my proof: https://keybase.io/4d47/sigs/cMkSc-bUvxyu3HKiCGzfdFY6dfPojlWQA-2kbqJr9v8 ]",1371214733,1429624151
4d86v28vf5,0,1,0.0,1,0,,1315563654,
4dable,0,1,0.0,1,0,"One of a kind utility site designed to save time, money and convienence when shopping for an affordable website.  One stop website shop!",1446414897,1447984866
4dd3r,0,5,0.0,3,4,,1326665485,
4deadaccounts,0,1,0.0,0,2,,1335872573,
4dl0v3-p34c3,0,14,0.0,0,9,,1381554580,
4dr144n,0,7,0.0,0,2,,1291371790,
