ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
IK0N,0,0,0.0,0,1,,1281318543,
IKnowComputer,0,3,0.0,0,3,,1435930399,1452088728
IKnowNothingBut,0,2,0.0,0,1,,1443077920,1443083138
Ikani,0,1,0.0,1,0,,1430305269,1430305392
IkmoIkmo,0,2337,2.52273,0,846,,1407058090,1452829865
Iknewthisguy,0,1,0.0,0,1,,1334893582,
Iknowitall,0,9,0.0,0,2,,1424136380,1424177278
IkoIkoComic,0,4,0.0,3,0,"Vancouver Software Developer, Cube Drone",1259828117,
Ikryanov,0,2,0.0,2,0,,1384809672,
Iku-Nuku-117G,0,0,0.0,0,2,,1385267354,
iKJames,,1,0.0,0,1,,1417626311,1450267840
iKenshu,,236,0.0,24,4,"Just backend, i didnt nothing",1414284244,1450267840
iKlsR,,213,2.2,18,23,"I push polygons and flip bits..",1338678202,1450207814
iKnowKungFoo,0,38,1.0,7,37,,1300379971,1452892847
iKristinW,0,2,0.0,0,1,,1301947275,1452893181
iKristjan,,3,0.0,0,3,,1356180407,1450207814
ika,,14,0.0,4,8,"web & software developer\njani.io",1338322645,1451619347
ika290,0,2,0.0,0,0,,1433944767,1453170009
ikailan,,325,3.0,6,41,,1185959214,1452699831
ikaliam,0,1,0.0,1,1,,1369079742,1452912657
ikalnitsky,,27,0.0,3,0,,1415132777,1450207814
ikamal,0,2,0.0,0,1,,1303364444,1452893433
ikame,0,3,0.0,1,0,,1341431746,1452905063
ikangai,0,1,0.0,0,2,,1346790995,1452905745
ikanjelek,0,2,0.0,1,0,,1308469171,1452894379
ikarandeep,,18,0.0,16,9,"Software Engineer",1378249031,1450207814
ikari,0,2,0.0,0,1,http://jrgcast.spaces.live.com/,1268930263,1452889012
ikari_pl,,3,0.0,0,2,,1406704395,1450207814
ikarous,0,111,3.0,0,27,"My name is Kyle Lee. I currently work as an engineer and humor generator at Milo.<p>Facts:<p>1) I value simplicity and minimalism.\n2) I say nothing unless I have something to say.\n   a) which is rare.",1310495717,1452895004
ikarustigger,0,1,0.0,0,2,,1373677418,1452914737
ikassinopoulos,0,8,0.0,3,4,,1356357227,1452908391
ikatalan,,1,0.0,1,3,,1353236340,1450207814
ikawe,,321,2.63636,10,92,,1315089492,1452302194
ikayak,0,4,0.0,0,1,,1231448611,1452887871
ikbear,,8,0.0,3,14,,1263094820,1450207814
ikcor,0,1,0.0,0,1,,1302650076,1452893324
ikea_meatballs,0,8,0.0,0,1,,1365125676,1452911594
ikeboy,,2109,0.0,96,970,,1415771073,1452890198
ikecube,0,1,0.0,0,1,,1405182183,1452927152
ikeee,0,1,0.0,0,0,,1253849865,1452888374
ikeellis,,1007,0.0,1,2,,1377099648,1450207814
ikeepadiary,0,2,0.0,0,1,,1300226984,1452892737
ikeepclient,0,1,0.0,0,0,,1430212641,1453168537
ikeepforgetting,0,19,0.0,0,6,,1363128828,1452910766
ikegregg,0,1,0.0,1,0,,1328253952,1452899786
ikehill7,0,1,0.0,1,0,,1326491748,1452899504
ikemenben,0,1,0.0,0,1,,1291621156,1452891944
ikeough,0,2,0.0,0,1,,1321638434,1452898481
ikerin,,4,0.0,0,2,,1209984398,1439396720
ikerrin,0,1,0.0,0,1,,1293374701,1452915508
ikessler,,41,0.0,24,1,"there is a difference between knowing the path and walking the path",1403969278,1452475320
ikevin,0,2,0.0,0,0,,1314805655,1453175189
ikfc4164,0,1,0.0,1,0,,1314758164,1452896359
ikhahmedov,0,3,0.0,2,3,,1364287942,1452913293
ikharatin,0,2,0.0,7,0,,1335487391,1452902486
ikhare,,243,3.36364,8,45,"<a href=""http://abstractedmind.com"" rel=""nofollow"">http://abstractedmind.com</a>\n<a href=""http://zintin.com"" rel=""nofollow"">http://zintin.com</a>",1206770501,1450207814
ikhthiandor,0,2,0.0,0,0,,1366745246,1453171827
iki23,,35,1.36,5,33,,1296295340,1450207814
ikido,0,2,0.0,0,0,,1452738820,1453175347
ikigaigames,0,-1,0.0,0,1,"Im Daniel Kotov and I am an indie game designer, working with a team of developers to create games. We do our own games and also work for clients - creating design, coding and provide full iOS support from start to publishing.<p>As of YC - I am applying with my 3 friends. We have the GOOD AND EVIL INDEX AND SERVICE project where people willbe able to judge content and tell if its good or bad. If it makes the world better or not.<p>dk@ikigaigames.com",1298942108,1452892847
ikillapps,0,1,0.0,0,1,,1403607155,1452925992
ikilledkojack,0,27,0.0,0,9,,1299261308,1452892952
ikillvampires,,16,0.0,0,3,,1358347976,1450207814
ikirill,0,53,0.0,6,12,,1313204102,1452895822
ikiru,,1,0.0,0,1,,1274357157,1450207814
ikiser,0,1,0.0,2,0,,1352518409,1452907235
ikitat,,150,3.0,2,23,,1248017528,1450207814
ikiteklikupon,0,0,0.0,1,1,,1382614003,1452917612
ikka,0,1,0.0,1,0,,1333641524,1452901400
ikke123,0,1,0.0,2,0,,1375412464,1452915285
ikkeikke,0,12,0.0,0,1,,1376120714,1452916122
ikken,,103,0.0,7,22,,1293556322,1450207814
ikkenick,,1,0.0,2,1,,1410869157,1450207814
ikkez,,41,0.0,3,7,,1369221454,1450207814
ikkiChung,0,1,0.0,0,1,,1371604095,1452913831
ikkiv,0,1,0.0,0,0,,1239530109,1452888183
ikks,0,1,0.0,0,0,"Not as hacker as I wish ;).",1433947617,1453169848
ikkyu,0,3,0.0,0,7,,1361898923,1452911355
iklan02,0,1,0.0,1,0,,1341558939,1452904250
iklavya,0,14,0.0,5,4,,1309998745,1452894811
ikliuger,0,1,0.0,0,0,,1424553518,1453172033
ikln12bo,0,1,0.0,7,0,,1316017387,1452896588
iklotzko,0,1,0.0,0,1,,1376586567,1452915536
ikm,0,3,0.0,1,1,,1374573700,1452914985
ikm3451,,1,0.0,0,1,,1417833942,1450267840
ikm_throwaway,0,1,0.0,0,0,,1438951668,1453171370
ikmhwyxe,0,1,0.0,1,0,,1318410723,1452897594
ikmjuyhn,0,2,0.0,0,1,,1244176986,1452887944
ikmjuyhnb,0,6,0.0,0,2,,1239037587,1452887350
ikneaddough,,4,0.0,1,4,,1352183003,1450207814
iknewit,0,1,0.0,0,0,,1435059304,1453170144
iknight,0,10,0.0,1,20,,1365939550,1452912102
iknowbest,0,1,0.0,0,1,,1323118053,1452898710
iknowl,0,54,0.0,12,6,"Co-founder and CEO iKnowl, Inc. Love thinking and doing things.",1331555521,1452900708
iknowno_one,0,22,0.0,0,11,,1367103708,1452912002
iknownothing,0,1,0.0,0,1,,1361223906,1452909986
iknowthegod,0,1,0.0,1,0,,1233835411,1452887114
iknowthisstuff,0,1,0.0,0,1,,1410308913,1452930832
iknowthissuff2,0,1,0.0,0,1,,1410470273,1452931132
iknowwhatuwant,0,1,0.0,0,1,,1392652817,1452921535
iknowyoumissme,0,1,0.0,0,0,,1431664427,1453169153
iko371,0,-1,0.0,0,4,,1285054153,1452890023
ikoko,0,1,0.0,2,0,,1336202745,1452902681
ikoneco,0,1,0.0,1,0,,1274472246,1452893598
ikonic,0,1,0.0,1,0,,1305832526,1452893808
ikono,,130,1.0,1,74,,1291933349,1450207814
ikonoklast,,2,0.0,2,1,,1344867893,1450207814
ikonos,0,2,0.0,0,1,,1235707550,1452887175
