ID,Karma,About,Created,Updated
POONNakorn,7,,1348643393,1438016366
POPE,2,,1255052741,
POPPACHERRY,1,,1387080835,
POTUS,0,,1445951811,1447351365
POWERDOG,2,,1275539217,
POWERSTOMP,1,"Product Design @StackOverflow",1399981348,1442346073
POWERfan,27,,1436437196,1436606902
POiNTx,36,,1430237457,1434112451
POleszkiewicz,1,"Serial enterpreneur, problem solver, security evangelist, Founder/CEO of http://revealo.com , a privacy enabled tracker technology.\nHappy to help others. https://twitter.com/POleszkiewicz",1445732091,1445772090
PoL0,-5,,1410887904,1417737288
Poalopat,10,,1290812831,1439514965
Pobe,15,,1286334312,
PocketAppZ,12,,1312988654,
Pocketed101,1,,1382027257,
Pocketx,1,,1306780454,
Podeau,20,,1380274049,1428616201
Podenemos,1,,1309121773,
Podgeypoos,1,,1426876909,1426877029
PodiumPro,1,,1332608239,
Podwicker,3,"A random guy with spiritual interest in the culture of working remotely.",1446378963,1452521072
Poiesis,588,,1242274199,1448895190
Poilon,1,,1422022889,1422022895
PointerCrash,2,,1444524887,1444542339
PointerReaper,15,,1397433532,1447837465
PointsWhenLit,2,,1280340259,
Pointsly,54,"Philadelphia - Miami - Costa Rica - All in between.<p>Gamification can change the world.",1310695461,
Poirot,1,,1334913239,
PoisonInkwell,4,,1254762870,
Poita_,2,,1294036669,
Poivre666,1,CEO,1416834248,1444233016
PokeTheCiTy,12,,1450706798,1452528896
Pokemaster123,1,,1362528765,
PolCPP,1,,1326116538,1428138721
PolLambert,27,,1446584523,1448002620
Pola,12,,1298439501,
Polacrilex,2,,1294514068,
PolandKid,404,,1340623440,1438878212
PolarBearConkle,1,,1364579300,
Polarity,10,,1341482308,1449517213
Polat,56,,1301407114,
PolatAlemdar,2,,1301402921,
PoldiGraz,2,,1316652016,
Polecat,14,,1436881965,1439008832
PolemicThoughts,2,,1396363917,1427311620
Polemicist,5,,1421081365,1421090509
Poleris,150,"http://linkedin.com/in/eshao<p>Hiring data scientists for Asia Miles, a subsidiary of Cathay Pacific Airways in Hong Kong. Use data from 7M+ members and 500+ program partners to personalize the member experience.<p>To contact me, send an email to <eshao@eshao.es>.",1193882627,1441165843
Polhode,1,,1254836681,
Polichism,7,,1294750703,
Polifontem,1,,1362625512,
PolisMetrics,2,,1372696403,
Polish_Dan,-62,,1405723266,
PolitePersist,1,,1379621929,
PoliticalTopics,1,,1395970484,
PoliticlCustard,2,"Lead campaigner for Queer+ Friends of Chelsea Manning\nLondon, UK<p>https://keybase.io/politicalcustard<p>[ my public key: https://keybase.io/politicalcustard; my proof: https://keybase.io/politicalcustard/sigs/4JRd3laZ-s0NSEFpx9ah5UcYEK-zPltf8cWCrPjXn9g ]",1442953991,1447591674
PoliticsJunkie,6,,1356630114,
Politidirekt,-1,,1307348871,
Politify,9,,1327794945,
Pollexter,32,"I am a long-time low-level front-end developer (and overall internet underachiever) who has recently decided to commit serious time and energy to improving my skills and knowledge. You will find me lurking (and learning) most of the time, unless it is a subject on which I have the rare combination of true passion (and useful knowledge).",1325775122,
Polunocnica,2,,1427393202,1427478443
Polyframe,4,,1413064541,1440751722
PolymorphicUser,1,,1424599548,1424642468
Polyphonie,11,,1410107400,1449386812
Polytonic,113,https://www.tinycranes.com/index/,1421269817,1451358856
Pomax,2,,1294160465,
Pomliane,1,,1249235819,
PommeDeTerre,1401,,1335441415,
PommyTom,1,,1338355550,
PompanoEuro,2,,1351701353,
Pompky,1,,1387554267,
PompomCris,2,,1352439949,
PoncePilato,1,,1377698821,
PongoMan,1,,1212692838,
Pongo_the_Great,-10,,1347416264,
Ponies12345,1,,1397446410,
Ponponko,2,,1384005562,
PontusVull,4,,1272623960,
PonyGumbo,805,,1227899997,
PooBakery,3,,1312235756,
PoofPad,1,,1405381665,
PookTwo,20,,1422489104,1422657534
PoolBiohacker,1,,1349150687,
Poolpi,1,,1346255639,
Poop,-1,,1278118938,
PooperPhilo,-1,,1329789785,
Pooter,110,,1297391317,
PopScreenTeam,1,"We like videos.",1269239337,
PopaL,593,,1338673760,
Popche,1,,1444931746,1449522236
PopcornPlaza12,1,,1331380778,
PopcornTimer,2,,1397463633,
Popcorned,3,,1369050147,
Popcorned23,46,,1300839635,
PopeFrancis,0,,1363395530,
PopeOfNope,263,,1429582103,1447364127
PopePompous,19,,1429431952,1450000417
PopePompus,1,,1389935015,
Popota,1,,1248452353,
Popovox,1,,1348697060,
PoppyPlant,4,,1338720526,
PopsiclePete,468,,1387376166,1452657277
Porfir,1,,1252489762,
PorkBrosnans,1,,1410802551,1416853244
Porkepix,2,,1433027055,1433027957
Porkyorc,2,,1437043617,1437094707
Porn_Monopolies,2,,1338498092,
Poroshenko,1,,1431508153,1431508602
Porphy,1,,1360426230,
Portalio,1,"www.portalio.ro - Publicitate - Portal de informatii online\nPortalio este o agentie de publicitate full service. Pentru o publicitate completa folosim toate mijloacele utile marketingului impreuna cu noile tehnologii ajutand orice brand sa se impuna pe piata sa:  Productie Publicitara,Creatie Grafica si DTP, Promovare Site,Fotografii Profesionale, Web Design si SEO, Obiecte Promotionale",1317505208,
Portan,3,,1420587857,1420605611
PorterN,1,,1396620487,
Porter_423,-13,,1330512599,
PortfolioProfit,1,,1409709176,
Portgueses,1,,1309842339,
Portguy10,1,,1307781263,
Porthos,5,,1230727974,
PortiaAnn,7,"Content Marketing Intern at Founders Network.",1355157482,
PortionSizeMe,1,,1424202343,1424202425
Portmanager,-14,,1319650737,
Portnull,13,,1254331197,
Portsmere,0,,1323719813,
Porusmistry,1,,1301581540,
PoshPublic,1,,1442456827,1442457080
Posibyte,219,,1333336433,1414983646
PositiveLibrary,1,,1444750683,1444750786
PositveZero,3,,1312570145,
PostAgilist,2,,1345872278,
PostBurnout,105,,1297032251,
PostGreHipster,4,,1359329966,1413179414
PostMaven,1,,1347664953,
PostOnce,1500,,1238654828,1449661255
PostThisTooFast,-7,,1446885506,1452809343
Postagain,0,,1447493460,1447497756
PostalMethods,7,,1257249108,
Posthuman,5,,1322276112,
PostingWithPSP,70,,1368663163,
Postmodum,1,,1346071547,
Postpwn3d,-1,,1431320446,1431399270
Postscapes,8,"Currently operating:<p>Postscapes.com\nTracking the Internet of Things",1307374719,1445367204
Pot,1,,1378899927,
PotPot,1,,1354551539,
PotamousAcheron,2,,1428595675,1428596299
Potando,97,,1423097805,1428323681
PotatoChips,-48,,1311405052,
PotatoEngineer,216,d13b2ac1c6b22c9a1557ee5a5dd4f41855f65133,1249685816,1436909067
PotatoPotato,1,,1378503908,
PotatoTot,1,,1403165214,
Potentix,1,,1405953674,
Potha,4,,1288799445,
Potknox,1,,1415258238,1415259968
Potswab,6,,1442585396,1442624711
Potter,0,,1281199111,
PotterJ,1,,1263981498,
Pound6F,13,,1327009983,
PoundSterling,1,,1307563288,
Poundhost,1,,1382008782,
PovilasID,2,,1427413554,1438338231
Pow,9,,1293381047,
PowderAlarm,5,,1253556862,
Powells,10,,1306911312,
Power-UP,1,,1436501789,1436501804
PowerDev,1,,1293170662,
PowerGuido87,1,,1394068952,1421429994
PowerLancer,6,,1365352269,
PowerLlama,1,,1274155369,
PowerPete,1,,1437838879,1438026342
PowerReviews,1,,1330631631,
PoweredByWill,12,,1231747338,
PowerfulSaga,1,,1377474161,
Powerscroft,21,,1177831924,
Powersource,3,,1430890773,1430898588
PoxonFB,1,,1376877585,
Poyeyo,43,,1314797667,1448468496
PoyoVL,2,,1439501649,1439536130
Poyoman,1,,1433532513,1433532641
po,5883,"Technical co-founder, currently living in Japan, previously living in NYC.<p>http://twitter.com/poswald<p>http://www.makeleaps.com/<p>I run Hacker News reader meetups in Tokyo, Japan with my co-founder Jason Winder.<p>Always looking for awesome hackers to meet up with. Get in touch!<p>pauloswald@gmail.com<p>[ my public key: https://keybase.io/poswald; my proof: https://keybase.io/poswald/sigs/HVlTjzK0n89ogL4IrN4QAX1JSJJUZRzfp_9MrlPIJ0A ]",1245638880,1452750461
po1nter,192,,1421417401,1453165354
po7nffa5f,1,,1311388635,1452895224
po82,1,,1333319496,1452901281
po84,72,,1297818275,1451512587
po8crg,3,,1381502744,1450207814
poacher69,0,,1296575173,1452892217
poatuition,1,,1323088938,1452898710
pob,1,,1252023249,1452888316
pobdkrreka,11,,1421871348,1453165463
poblano,31,,1344822342,1452905249
pobmxxso,1,,1317806020,1452897385
pobre12,1,,1333564000,1452901400
pobrien,1,,1257018267,1452888474
pocha,302,"Entrepreneur, hacker, long distance biker, long distance runner, amateur skateboarder, once-upon-a-time video gamer, avid sports player.",1289976472,1450207814
pochi,1,,1392702322,1452921535
pock12,1,,1355865424,1452908274
pocket,3,,1290325459,1450207814
pocketRadioApp,1,,1343070734,1452904722
pocketdial,-1,,1337051935,1452902950
pocketdirmps,1,,1330633185,1452900913
pocketfulchange,1,,1411845078,1450207814
pocketgrok,3,,1435599000,1453170298
pocketheyman,33,,1389566401,1450207814
pockethook,1,,1385996986,1450207814
pocketlim,1,,1360269406,1452909634
pocketlimmer,1,,1408644578,1452929661
pocketmac,1,"I'm a Mac develper and iTunes enthusiast!",1238457166,1452887350
pocketofposies,31,,1189175969,1189175969
pocketpantspete,1,,1409217771,1452929997
pocketqube,1,,1381049139,1452917055
pocketshop,1,,1376505935,1452915536
pocketstar,229,"[ my public key: https://keybase.io/sbd; my proof: https://keybase.io/sbd/sigs/2G2XcF9sBhr6bW_bxw05tkIghyUFZ0DkHAxELqd75Y8 ]",1353783163,1452072030
pockyruth,1,,1310100773,1452894913
pocmedia,3,,1369876499,1452914557
pocode,1,,1362495802,1452910428
pocoloco,17,,1273515745,1450207814
pocorall,1,,1359375240,1452909590
pocorusso,2,,1382473588,1452918604
pocp2,4,,1411991523,1452932152
pocsav,13,,1337963891,1452904814
pocvmbcxvb,4,,1369525444,1452912909
pod,1,,1283383372,1452889947
pod4369,19,,1368941013,1452912621
podairju,1,,1380813915,1452922340
podaniel15,1,,1344900898,1452905249
podb,1,,1332947431,1452901187
podbaydoors,17,,1405622682,1450207814
poddio,2,,1383693257,1452918986
podgib,102,,1398428317,1451356029
podholadavid,1,,1390629072,1452920572
podingx,85,"builder at Celery (https://www.trycelery.com)<p>drop me a message at bnguyen06@gmail.com",1319740858,1450207814
podio_dev,5,,1343055663,1452904722
podiodev,1,,1325451959,1452899286
podjackel,1,,1390364753,1450207814
podlipensky,2,,1370449870,1450207814
podman,380,"Founder, SproutVideo.com",1236476452,1450207814
podo,1,,1306743566,1450207814
podopie,85,"i do things<p>heypodo.com",1304296530,1450207814
podorozhny,78,,1279115328,1452889589
podperson,2218,,1286860209,1451535530
podrivo,279,,1355416823,1450207814
podslee,1,,1327658113,1452899681
podsnap,5,,1389891779,1450207814
podviaznikov,147,"hashobject.com\nhttps://github.com/podviaznikov\nSan Francisco\n[ my public key: https://keybase.io/podviaznikov; my proof: https://keybase.io/podviaznikov/sigs/sm4yteL8IlV82bg9ug5QiEe7gJOkIoPPaRBndaczmY0 ]",1299667620,1450207814
poe__,2,,1401478164,1452924855
poefhkwf,1,,1394660468,1452922219
poehah,1,,1427892011,1453167698
poelcat,1,,1240529463,1452907392
poelie,7,,1304331953,1452894913
poels13,1,,1437154120,1453170833
poelzi,56,,1438777558,1453171316
poemasdeamor,1,,1319337835,1452897883
poemorella,8,,1348978748,1452907680
poepping,6,,1209346636,1209346636
poerkladsfl,2,,1449862310,1453174489
poet,1164,"I'm often blunt. I don't mean it personally.  I expect the same in return and I think it fosters a more efficient form of communication. :)<p>Hi, my name is Tim Sally. I'm a programmer, security researcher, and Lisp hacker. Also an unabashed fan of theoretical Computer Science (join us at: http://cstheory.stackexchange.com/). :-p Graduating this year with a BSc in CS from UIUC.<p>Advice: Most people who fail in graduate school fail because they never experienced research before graduate school. Consider whether it's a good idea to take funding before ever building or selling a product.<p>Elsewhere:\n----------<p>Web: http://stack.io.<p>Email: 'poet' at the above domain.<p>Code: http://github.com/poet/.<p>Twitter: http://twitter.com/__poet__.<p>Previously: http://news.ycombinator.com/user?id=tsally.",1280198348,1452889673
poetic,6,,1424706570,1453166528
poeticabdul,1,,1429610578,1453170446
poeticous,4,"Poeticous.com is a site for poetry and those who make it.",1341850985,1452904354
poetiq,2,,1376534321,1452915536
poetjon,1,,1310743410,1452895077
poetraanoegrah,1,,1321960853,1452898517
poetyu,5,,1398015643,1452923410
poezn,171,,1307547194,1450207814
pofeng,2,http://web.pofeng.org/about-me,1304863677,1452893643
poffertjes,0,,1336143537,1452902681
pofjer,1,,1450851716,1453175359
pofla,8,,1307606104,1452900562
pofm,1,,1324201006,1452898953
poft,17,,1345265550,1452905352
pogden,78,,1359947162,1450207814
pogenwurst,1,,1272406306,1452889175
pogigroo,1,,1263568962,1452889012
pogimabus,32,,1442602739,1453172457
poglet,11,,1326955853,1450207814
pogo,5,,1331671626,1452915229
pogobono,5,,1421095190,1453165186
pogogal,1,,1304012895,1452893517
pogoplug,1,,1276541069,1452889344
pogopuschel,2,,1319256654,1452897883
pogos,615,,1220387630,1452886518
pogosian,7,,1333653623,1452901619
pogue,41,https://twitter.com/pogue25,1381179808,1451321476
poguez,1,,1344371219,1452910479
pohart,32,,1204404840,1416931428
pohatu,1,,1431485703,1453169078
pohl,6819,http://screaming.org/,1239892612,1450207814
pohungc,68,"twitter: @pohungchen\nwebsite: pohungchen.com",1321818255,1450207814
pohuyism,1,,1436993765,1453170782
poi0eoaw,1,,1311580774,1452895305
poi98u7y6tryuio,6,,1290488955,1452891526
poibfueuhrhdjd,1,,1403718733,1452926069
poidos,1,"Third year chemistry undergraduate in eastern US.",1442502553,1453173399
poigant,3,,1422450786,1453165633
poik,1,,1320199940,1452898201
poikjhgvfgbnm,27,,1271974189,1452889144
poikniok,98,,1293300201,1451586410
poimnu,4,,1236096960,1452887236
poims,27,,1326338112,1453166003
poincare,33,,1286468125,1452890159
poindontcare,362,,1301332970,1452399041
poink,191,,1285255528,1450207814
poinsettala,107,,1336921518,1452902949
poinsetter,2,,1333746504,1452901435
point,-1,"To all this, there is a",1232140224,1452887037
point2,2,,1280708735,1452889673
pointandclick,1,,1382604603,1452917612
pointblack,1,,1447914970,1453174022
pointblank009,1,,1343499508,1452904949
pointbreezeave,1,,1443727129,1453172738
pointclick,6,,1287798338,1452893128
pointe,3,,1410705383,1450207814
pointer,3,,1220590842,1452886572
pointer2unknown,1,,1361988943,1452910323
pointer899,1,,1389605958,1452920110
pointernil,160,http://www.sustinion.com,1245765343,1450207814
pointernull,1,,1390387069,1452920411
pointeroffact,22,,1437864426,1453171037
pointfree,161,,1357610796,1452615049
pointful,2,,1360859295,1452909844
pointilist,1,,1393107164,1452921761
pointillistic,1060,,1281023674,1450207814
pointing,1,,1401977923,1452925031
pointless,1,,1347308880,1452906002
pointlessdebate,4,,1380978784,1452917055
pointlessjon,21,,1308371967,1452894329
