ID,Karma,About,Created,Updated
C13slam,55,,1354666240,1427602834
C1D,223,,1360687432,
c1,3,,1424227518,1453166267
c10b10,4,,1322863550,1452905701
c10n,8,,1326740872,1452899505
c10n_2,1,,1335966134,1452902611
c11z,1,"Cory is a scientist of computers, races sailboats, and has an unhealthy fascination with entrepreneurship.<p>-- Twitter\nhttp://twitter.com/corydominguez",1425820372,1453173849
c12,1,,1435232060,1453170201
c12k,1,,1370662834,1452913379
c1412,1,,1377016391,1450207814
c141charlie,81,,1278136758,1451940602
c1505,2,,1437589925,1453170966
c1521183,2,,1385393207,1452918986
c16,280,Developer.,1316454123,1450207814
c1658298,1,,1338477288,1452903303
c17r,34,"[ my public key: https://keybase.io/c17r; my proof: https://keybase.io/c17r/sigs/jT_vVBQxWpT3mAnzacuY4d6PANAasXUI6jCg8pMEJGo ]",1411915526,1452885598
c18nd31ance,1,,1337157593,1452902981
c1assified,1,,1371392214,1452913761
c1c2c3,8,,1365491218,1452911650
c1early,1,,1383836988,1452918235
c1ehman,2,,1452207282,1453175065
c1n,0,,1373776252,1452914737
c1oder,3,,1343756533,1452904984
c1one,1,,1341959741,1452906276
c1p0,1,,1345998368,1450207814
c1sc0,2041,"Fun Project: http://www.getfysikal.com\nBook: http://www.leanideaflow.com\nApp: http://casty.tv\nYet Another App: http://www.drawluci.com\nEmail: francis@dierick.co\nI&#x27;m available for hire for iOS & OSX native app development",1173298354,1452783985
c1u,75,,1353071779,1452907584
c1uster45,1,,1444677668,1453173005
c1utch,30,,1290405909,1452891526
c1yd3i,1,,1429546935,1453168333
