ID,Karma,About,Created,Updated
AEDELGOD,9,,1355010135,
AENGINE,2,,1276571374,
AESensei,0,,1304261102,
AEawerfREW,1,,1324180215,
AEawerfe,1,,1323919146,
AEtherSurfer,23,,1352831019,
AEwawGFD,1,,1323833078,
AEwawe,2,,1323573766,
AeH7hioko,1,,1377261706,
AeaeaActual,1,,1340491244,
Aedan,-3,,1331083568,
Aedwards,-1,,1283481119,
Aegean,419,"We virtualize Linux on our hypervisor for the ARM architecture.<p>bbalban@b-labs.com",1233958850,
Aegidius,2,,1376559148,
AegisFit,1,,1370515281,
Aegist,14,,1338239667,1437644003
Aegon,1,,1283445317,1431087992
Aegora,2,,1357120812,
Aehmlo,2,,1407600152,1422231333
Aeiper,34,,1367116999,
Aeji,1,,1431808910,1431808983
Aelay,1,,1392099009,1421456226
Aelinsaar,4,,1454170606,1454885283
Aemon,2,,1249305623,1415087889
Aenesidemus,1,,1358148324,
Aeo,1,,1285883099,
Aeo_,2,Twitter.com/aeo_,1314125831,
Aeolos,7,,1450149121,1452291901
Aeolun,96,irc:aeolun:irc,1407842065,1452823925
Aeolus98,151,"Skills:\n    - Backend and systems development, architecting and deployment\n    - Advanced Python, Flask, and Django knowledge\n    - Intermediate C, C++, and HTML/CSS<p>Recognition:\n    - Winner, 1st place Bangalore schools technology fair\n    - Pull requests accepted into major OSS projects\n    - Stellar letters of reccomendation",1384432867,1439393699
Aeon,1,,1239571027,
AeonBlue,2,,1436414534,1436457169
AeonCipher,1,"I&#x27;m a driven entrepreneur who got his feet wet by starting and running WeMineCoins a company in the bitcoin space that I&#x27;ve since sold. I&#x27;ve since traveled to Silicon Valley, Live in a city bus converted to a home, and am learning to code while networking the scene. Add me on twitter @AeonCipher",1443173487,1443173984
Aeons,1,,1334819951,
Aeos,3,,1210951698,
Aeoxic,18,,1412739600,1421795536
Aerance,2,,1435908192,1435920614
AerieC,43,,1319814111,
Aerious,1,,1396366579,1420105390
AeroCross,1,,1363055483,
AeroNotix,24,,1343395302,1417790657
AeroQ,9,,1305641309,1425328178
AeroSmith,1,,1325740263,
AeroVelo,3,,1403109046,
Aerocles,47,,1340732429,1426015349
Aerohead,2,,1409322505,
Aerolab,1,"We design and develop beautiful digital products for startups and leading brands.",1454507063,1454885396
Aeronova,1,,1335824777,
Aeropus,1,,1389633224,
Aerospark,9,,1401909353,
Aerosystems,1,"Aerosystems International can supply a variety of services to the aerospace sector. Using our own engineering team, ASI has provided design, development and production services for a variety of electronic systems ground support equipment.\nhttp://www.asiiweb.com",1322058900,
AesopHimself,3,,1427924806,1427935164
Aesthetickz,3,,1448220290,1448261525
Aetasiric,2,,1279065043,
Aethaeryn,158,"I'm on IRC!<p>irc://irc.freenode.net<p>My nick is the same as it is here.",1333180458,
Aethelflaed,1,,1394995181,1434347781
Aethelwulf,3,,1364921888,1414364268
AetherWindZ,2,,1438810224,1438810888
Aetherix,2,,1449589156,1454885071
Aethers,3,,1426881665,1426891009
Aethers0n,1,,1355401016,
Aetius,333,,1269238090,
Aevin1387,11,"I'm currently a student at the University of South Florida, working on getting my Bachelor's degree in Computer Science. To pay the bills, I also work at USF in IT as a ""Student Technologies Consultant"", aka I do the IT work, but the university doesn't see me as too reliable as I'm still a student.",1237158354,
Aewnishwhite,1,,1338292641,
Aeyrix,4,,1427244721,1429661933
ae0000,11,,1323904534,1450207814
ae1112,5,,1377437872,1451408516
ae7,3,,1340288815,1452903596
ae_envy,2,,1310962071,1450207814
aeaejei,2,,1453484345,1454885132
aeatherly,3,,1341794440,1452906073
aebe0e37a30b,1,,1391524907,1452921067
aeberbach,244,,1378360546,1452917612
aebersold,4,"freelance developer, CS student.<p>http://aebersold.me",1407488465,1450207814
aebit,4,,1312996945,1452895755
aebj,1,,1231807611,1452887037
aebrennen,1,,1405418213,1452927341
aec,4,,1335984039,1452902611
aecay,1,,1444051124,1453172831
aecburkard,1,,1325841202,1452899389
aeccestan,1,,1316668755,1452896871
aeccestanes,1,,1316165328,1452896655
aechsten,9,"Bay Area",1418282634,1453165028
aecurrie,1,,1445331911,1453173196
aed,155,,1282782234,1450207814
aedaddy,1,,1377636165,1452915806
aedanavery,1,,1340770226,1452903911
aedanexplosive,1,,1431091152,1453169140
