ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
CUFC66,0,1,0.0,1,0,,1304186220,
CUR10US,0,35,1.0,1,33,,1338506085,
CUViper,0,462,3.11364,5,136,,1216339403,1447858975
CuBe_Labs,0,1,0.0,0,1,,1388729882,
CuSn8,0,2,0.0,0,1,,1432562519,1432573010
Cub3,0,76,0.0,7,50,,1320376099,1452468584
CubanSandwich,0,2,0.0,0,3,,1362392632,
CubeGuy,0,170,0.0,3,0,,1245761213,
CubeGuy12,0,14,0.0,4,0,,1253557609,
CubeLabs,0,1,0.0,0,1,,1389857326,
CubemonkeyNYC,0,15,0.0,0,1,,1363804724,
CubicleNinjas,0,88,1.0,0,99,CubicleNinjas.com,1312037163,
Cubox,0,1,0.0,1,0,,1318373522,
CucumberLime,0,0,0.0,0,3,,1401063331,1423769541
CuddlyChud,0,3,0.0,0,2,,1447954099,1447957455
Cufflinks,0,1,0.0,0,1,,1311833938,
CugelTheClever,0,2,0.0,0,4,,1396930273,1416344359
CullenRoberts,0,1,0.0,1,0,,1378240651,
CulperRing,0,8,0.0,0,1,,1215454509,
CultState,0,5,0.0,2,1,,1424556166,1425170632
CulturalNgineer,0,103,2.3,8,32,"Blog http://CulturalEngineer.blogspot.com\nLinkedIn  http://www.linkedin.com/in/culturalengineer\nTwitter http://twitter.com/CulturalNgineer",1233164726,
CultureD,0,1,0.0,0,1,,1399749482,1421135838
Culver,0,5,0.0,3,1,,1308105537,
Cunard,0,1,0.0,1,0,,1226063439,
Cunard2,0,6,0.0,0,13,,1226609775,
CupidLove,0,1,0.0,1,0,,1360865769,
Cupof37,0,-1,0.0,0,1,,1428822832,1428907114
Cupofstartup,0,1,0.0,0,1,"Entrepreneur, IT Professional\nmore details here:http://www.linkedin.com/in/fabiannirman",1225045417,
Cur8or,0,1,0.0,0,3,,1271635658,
Cur8or88,0,3,0.0,1,3,,1279591019,
Curaladie,0,2,0.0,1,8,,1429710902,1449022928
Curandero,0,1,0.0,0,1,,1334854260,
Curbob,0,-3,0.0,0,4,,1319166050,
Curi56,0,1,0.0,21,0,,1293869102,
Curiositry,0,1,0.0,0,1,,1440783182,1440783752
CuriousDave,0,1,0.0,0,1,,1268965239,
CuriousJack,0,1,0.0,0,2,,1376898975,
CuriousMind,0,1,0.0,1,0,,1409213769,
CuriousObserver,0,6,0.0,0,2,,1414699408,1427075546
CuriousSkeptic,0,93,0.0,1,72,,1436094393,1452809712
Curious_Daemon,0,2,0.0,1,1,,1383741384,1426172047
CuriousityCure,0,2,0.0,0,1,,1354101113,
CuriouslyC,0,140,0.0,0,87,,1406729002,1452833192
Curll,0,51,0.0,3,9,,1308001656,1417001415
Curly,0,1,0.0,0,1,,1297875679,
Curmudgel,0,147,1.52273,0,89,,1394837725,1427392279
Current12,0,1,0.0,0,1,,1406811337,
