ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
F30,0,34,0.0,3,15,https://www.f30.me/,1374341616,1420905027
F3TTT,0,3,0.0,0,2,,1421249465,1424898837
f3,0,4,0.0,0,3,,1269595201,1452889012
f33dback,0,0,0.0,0,1,,1331754910,1452900708
f33l,0,4,0.0,0,2,,1256762231,1452888474
f3lix,0,27,0.0,0,6,,1234114980,1452887114
f3llowtraveler,,44,0.0,0,47,,1386558029,1452334364
f3nc3sm3mph,0,1,0.0,1,0,,1344288783,1452905119
f3ndot,0,1,0.0,0,1,,1323209596,1452908114
f3r3nc,,103,0.0,12,12,"http://bitongo.com\nhttp://fontify.it\nhttp://soctics.com\nhttp://www.urbancyclr.com<p>ferenc_at_bitongo_dot_com",1312322864,1450207814
f3y67j,0,1,0.0,0,0,,1448613873,1453174182
