ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
M40,0,1,0.0,1,0,"(defn fact [x] (reduce * (range 1 x)))",1431337072,1437564194
M41K0,0,4,0.0,0,1,,1415622034,1415629746
M4GNV5,0,2,0.0,0,4,,1439237123,1439239583
M4N14C,0,-8,0.0,1,26,,1341386635,1416376815
M4RCUSPRIM3,0,3,0.0,0,1,,1362340657,1422025873
M4Rt0,0,1,0.0,1,0,,1399205657,
M4er,0,2,0.0,0,2,,1434381505,1435523966
M4pilot,0,1,0.0,0,1,,1402920258,
M4rkH,0,1,0.0,1,2,,1374139268,
M4urice,0,5,0.0,2,1,"[ my public key: https://keybase.io/mschleussinger; my proof: https://keybase.io/mschleussinger/sigs/kzAAJcN6IADs5s1YgqCD0kzSTZ5MVJIfL8hki_KXAJ4 ]",1417447839,1449441991
M4v3R,0,997,2.56818,8,324,,1332248925,1451861690
m40329180,0,1,0.0,0,0,"San Diego",1424970164,1453166639
m404,0,1,0.0,0,0,,1248609276,1452888234
m4110c,0,8,0.0,0,0,,1443540590,1453172675
m43,0,8,0.0,1,0,,1323329717,1452898811
m432,0,2,0.0,0,0,,1424388798,1453166377
m44moon,0,1,0.0,1,0,,1362026497,1452910324
m451,0,1,0.0,0,0,,1420487280,1453164990
m458l387,0,9,0.0,0,3,,1381520435,1452917685
m45t3r,,53,0.0,0,20,,1408726480,1452369822
m474,0,1,0.0,1,0,,1354354055,1452907680
m48,,6,0.0,0,3,,1419744606,1450267840
m4cintosh,0,1,0.0,2,0,,1270395643,1452889175
m4ck,0,1,0.0,1,3,,1327815163,1452899711
m4cl4rk,0,1,0.0,0,1,,1319310449,1452897883
m4dc4p,0,-6,0.0,0,2,,1281048585,1452889715
m4dc4pXXX,0,1,0.0,0,0,,1430952862,1453174610
m4dd0c,0,1,0.0,1,0,,1366601964,1452911874
m4design,0,3,0.0,0,1,,1368290709,1452912297
m4g3,0,1,0.0,0,1,,1332347536,1452900914
m4k,,52,0.0,7,4,,1290848457,1450207814
m4k00,,6,0.0,8,0,,1357173815,1450207814
m4l33n,0,1,0.0,2,0,,1306152739,1452893876
m4nu,,61,1.13793,7,37,"Founder @ https://nota.io",1351505867,1450207814
m4nu3l,0,19,0.0,0,0,"Computer engineering student. Passionate about science and technology",1438237451,1453171381
m4nu56,0,2,0.0,0,1,,1290081898,1452891394
m4oijl5h,0,1,0.0,1,0,,1314337577,1452896231
m4r71n,,63,0.0,2,14,,1386789311,1450207814
m4rcadam,0,5,0.0,1,1,,1389750918,1452922789
m4re,,45,0.0,0,4,,1271085094,1450207814
m4rkellos,0,1,0.0,1,0,,1341405240,1452904250
m4rkuskk,,28,0.0,0,12,,1233990759,1450207814
m4rol,0,1,0.0,0,0,"engineer/scientist @ CERN",1369228287,1452922468
m4rsm4n,,10,0.0,3,1,,1410546051,1450207814
m4sj4y,0,1,0.0,1,0,,1312093301,1452895451
m4thdimention,,1,0.0,0,1,,1416871690,1450267840
m4tt,0,141,0.0,12,14,,1291369630,1452891887
m4tthumphrey,,884,2.25,15,57,,1359385887,1452102069
m4wk3r,0,14,0.95,2,28,,1270460560,1452889058
m4x,,153,3.90323,0,53,,1365410161,1450207814
m4xim3d,0,22,0.0,0,0,,1403025055,1453167187
m4xm4n,,2,0.0,0,1,"[ my public key: https://keybase.io/m4xm4n; my proof: https://keybase.io/m4xm4n/sigs/HwPsn4VXZ-HLWm7sRNOCp2uhveGV5Y43IudgZ01UKkc ]",1410115130,1450207814
m4xt3r,,116,0.0,18,16,,1327515571,1450207814
m4yhem,0,1,0.0,0,0,,1443232611,1453172615
