ID,Karma,About,Created,Updated
XXXCombinator,1,,1376194799,1452915473
XXrddccf,1,,1315187200,1452896423
XXthrowawayXX,14,,1364182977,1452911355
XxionxX,-6,,1291631533,1452891826
xXbanditXx,1,,1357489359,1452908644
xXx8,1,,1292965558,1452891944
xXxXxXx,1,,1308707940,1452894379
xx,8,,1173901754,1173901754
xx101010,-5,,1436588955,1453170673
xx2009,1,,1319186252,1452897883
xx223,-3,,1417032530,1450267840
xx908,1,,1413098416,1450207814
xxaabb,1,,1454147100,1454885273
xxawsxx,2,,1320011490,1452898149
xxbimm40a,1,,1337415432,1452903053
xxbondsxx,1057,"Want to learn git? Check out my side project at:<p>http://pcottle.github.io/learnGitBranching/?demo<p>Want to seen an obscene use of CSS transitions? See:<p>http://petermcottle.com",1312173181,1450207814
xxchan,103,,1356421425,1452908391
xxclp0e0,1,,1332229415,1452900855
xxclp4z2,1,,1332227344,1452900913
xxcode,122,,1316792403,1450848933
xxd,4,,1309989456,1452894913
xxdanabxx,1,,1400254213,1450267840
xxdesmus,205,"[ my public key: https://keybase.io/xxdesmus; my proof: https://keybase.io/xxdesmus/sigs/AG0bUkTiBs4OzR1wX3GxsemdzN9ha4auRytqLYZcjHY ]",1303764955,1452802114
xxdiamondxx,45,,1312403079,1450207814
xxexinferisxx,2,,1356090448,1452908317
xxgreg,77,,1315608592,1452532343
xxhere,16,,1376518111,1452915536
xxi,1,,1290834740,1452891611
xxiao,7,,1318601501,1452897670
xxinfinatexx,1,,1415481179,1450267840
xxjaba,12,,1236709554,1450207814
xxkr,2,,1340544150,1452903669
xxmiaja,3,,1228697198,1452886843
xxmlmxx,-1,,1194312739,1194312739
xxmortel35xx,0,,1432664126,1453169408
xxnode,5,"android developer in chicago",1336673377,1452902911
xxoo1705,1,,1312632693,1452895688
xxoo9022,1,,1312632734,1452895688
xxooxx4u,1,,1315249158,1452896423
xxooxx8f,1,,1315334268,1452896871
xxpor,987,"SDE at AWS EC2 Networking. I don&#x27;t speak for Amazon.<p>BSE in Computer Engineering, Case Western &#x27;13.",1282350530,1452652406
xxqs,115,https://plus.google.com/112114512050260382816/posts,1320591771,1452898269
xxrtso,1,,1343987785,1452905024
xxs,107,,1396525346,1452555238
xxshadmakuxx,1,,1453422024,1454885086
xxsq,2,,1380287162,1450207814
xxsvw6787,1,,1332779419,1452901360
xxtesterxx,2,,1454625791,1454885493
xxtjaxx,10,"Github: https://github.com/andreas-marschke",1372616908,1450207814
xxusava,2,,1370696931,1452913379
xxx12,1,,1343277310,1452904884
xxx_,1,,1417098879,1450267840
xxx__xxx,2,,1320370304,1452898236
xxxaaa,9,,1418229661,1450267840
xxxargs,9,,1384205287,1450207814
xxxfff,-1,,1240935122,1452887801
xxxlp38r,1,,1332227264,1452900913
xxxmadraxxx,0,,1396108580,1452922680
xxxmaster,1,,1377522786,1450207814
xxxx,1,,1192655443,1192655443
xxxxc308,-3,,1449350595,1453174364
xxxxxxxx,3,,1449045667,1454885060
xxxxxxxxx,5,,1318612740,1452897671
xxxxxxxxxxx,10,,1363723364,1452911035
xxxxxxxxxxxx,3,,1290376672,1452891526
xxxxxxxxxxxz,1,,1299749817,1452892672
xxxyy,217,,1415614870,1450207814
xxxzx,3,,1332185557,1452900855
xxyahoo,1,,1315389117,1452896454
xxyun2xx,1,,1335618035,1452902796
xxyy,1,,1389684455,1452920110
xxyyxx,5,,1419448025,1450267840
xxyyxyxyy,4,,1339108469,1452903421
xxyyzz,1,,1336576328,1452902858
xxyyzz3d,47,,1419080496,1450267840
xxyz,1,,1307436788,1452894165
xxzz,70,,1270499046,1452889058
