ID,Karma,About,Created,Updated
VT-Business,1,"We publish articles about professional and personal developments in the following categories:<p>1- Business, Management, Marketing, Finance, Human Resource\n2- Science, Technology, R&D, Education\n3- Entertainment, Arts, Celebrities, Travel,  \n4- Politics, Economics, Global Issues",1365723458,1452911681
VTFD,1,,1359839618,1452909394
VT_Drew,27,,1430924596,1453168880
VT_Hokie,-6,,1313386691,1452895822
VTfirefly,3,,1326742524,1452899505
VtFJAewwDh,1,,1411859855,1452932562
vt,10,,1261642912,1450207814
vt102,2,,1445863235,1453173497
vt220,0,,1346436685,1452905701
vt240,48,"Loudspeaker Design, Product Engineering<p>http://www.cascadeacoustic.com",1399051263,1451398828
vt3,1,,1364261266,1452911418
vt57,5,,1430491103,1453168652
vtaeed,10,,1236687730,1450207814
vtail,939,,1268246542,1450207814
vtal,1,,1408981926,1452929839
vtanase,53,"Open for freelancing opportunities, just drop me a line via e-mail(vtanase dot ro at gmail dot com).",1341036501,1450207814
vtasheva,1,"a social broker who runs #LeanCoffee in Sofia & London, excited about lean, good food, craft beers. EMEA Community Advocate @telerik, mentor @LAUNCHub @elevenbg",1390815455,1450207814
vtatai,1,http://www.hackernewsers.com/users/vtatai.html,1251907651,1450207814
vtbassmatt,44,"Computer Science + Beer: http://blog.vtbassmatt.com",1315756307,1450207814
vtbg,1,,1429515138,1453175435
vtbose,274,,1287165798,1450207814
vtcnh6979,1,,1312915299,1452902611
vtcraghead,9,,1349100097,1450207814
vtd,2,,1401374373,1452924822
vtdata,1,,1338883158,1452903362
vtechsquad001,1,,1308929997,1452894430
vtecone,1,,1307582631,1452894228
vtedesco,-1,,1369732044,1452912967
vtemian,179,,1343141022,1450207814
vtempest,31,,1343229385,1450207814
vten,1,,1392913123,1452921656
vtenev,5,,1340826022,1450207814
vteven,2,,1413628710,1450207814
vthakr,106,,1187290562,1187290562
vthallam,6,,1412655990,1453173208
vthibault,1,,1410297489,1452930732
vthunder,8,,1313202845,1452895821
vti,50,Perl,1271683179,1450207814
vtisix,1,,1290099706,1452892498
vtitolo,1,,1448119752,1453174070
vtjendra,1,"Product manager at Freelancer.com.",1360153382,1450207814
vtklz9718,1,,1312914077,1452901228
vtllr_,0,,1443545858,1453172687
vtlynch,280,,1388439023,1450469331
vtman2002,9,,1416332686,1453171217
vtmiller,1,,1228885790,1452886843
vtmke9858,1,,1312915979,1452903164
vtmountainman,1,,1381363612,1452917892
vtnet4568,1,,1312914809,1452902316
vtnext,16,,1219112833,1452886608
vtny,1,,1448991069,1453174264
vtools,1,,1396024580,1452922528
vtorhonen,1,,1429345203,1453168285
vtothem,1,,1392870437,1452921656
vtourraine,1,,1363703872,1452922561
vtrac,42,"@victortrac / victortrac.com / victor.trac@gmail.com",1258763094,1452888557
vtrufus,1,,1421595721,1453165354
vtruio,1,,1364821891,1452911535
vtruong,3,"University of Waterloo Student. Interested in start-ups!",1353884915,1452907543
vtry,251,,1339711133,1452903523
vtsrh,59,,1436429511,1453170621
vtuulos,147,"Sr. Principal Engineer @ AdRoll\n(http://www.linkedin.com/in/villetuulos/)<p>Having fun with data<p>http://tech.adroll.com/blog/data/2015/09/22/data-pipelines-docker.html<p>http://tuulos.github.io/pydata-2014/<p>http://tuulos.github.io/sf-python-meetup-sep-2013/<p>http://discoproject.org",1298858017,1452068593
vtvhao0588,1,,1316190854,1452896759
vtvs,2,,1376473926,1450207814
vtwoods,3,,1351572393,1452911143
vtwvd7017,1,,1312916044,1452903240
vtx,3,,1209771635,1209771635
vtxxadvsf,1,,1316424282,1452896759
vty0,46,admin@vty.cc,1290281738,1452891394
vtyree,1,,1438584611,1453171230
