ID,Karma,About,Created,Updated
603techguy,6,,1335820647,1425220484
6064cc,2,,1277576820,
607,1,"I&#x27;m just in university,and I want to konw more.",1441632066,1453172164
609037,1,,1346405889,1453163975
60devs,18,,1435682820,1448852028
60fe05f7,-1,,1329103093,
60fe05f8,-1,,1329203599,
60minitman,1,,1354636803,
612americas,1,,1317912120,
613Kid,1,,1336045981,
613style,4,,1440178618,1440236475
616c,1675,"Not very interesting, I am a novice.<p>hn+me@616c.net",1355060664,1450046214
619Cloud,230,,1268272116,1435775030
61cygni,1,,1443587014,1443587096
6210xi,10,,1288320598,
623132,1,,1361851037,1453163985
62646c,1,Developer,1398099904,
627467,17,,1398383113,1451240979
62jd,1,,1306458703,
632830,4,,1384625079,1453164097
632nm,1,,1341424125,
633nm,1,,1408316182,
63452tmpaccount,0,,1344208163,
6365497757,1,,1354138540,
63squares,1,"Software engineer, Traveler. Founder of @63squares. Single-handed created 20+ products/startups in 2 years. http://63sq.rs/gbn",1307981227,
64080ijd6,1,,1312093352,
6435716,1,,1379996211,1453164097
6450723,0,,1380217216,1453164097
64598u3wieodsk,10,,1377107575,1423192695
64GB,1,,1444883411,1444883552
64bit_snack,5,,1431428170,1431524466
64bitbrain,11,"The most significant bit in this world ))",1409865640,1452189228
64bittechie,-2,,1363931101,
64kps,1,,1362050309,
64mb,44,,1378922144,1439735594
64ways,4,,1317823488,
6502hero,7,,1375465580,
6502nerdface,356,"See username.",1421188722,1452808734
650REDHAIR,635,"Chris<p>Taking over the world, in realtime, with Fanout.io<p>Previously co-founded Pieceable($FB). Helped Launch Firebase.<p>Call me at 650-RED-HAIR<p>Twitter @650REDHAIR",1363630188,1448062600
65247889953,-1,,1419875222,1419876865
655321,1,,1271082634,1453163933
6581,238,,1388437132,1452260145
65875,1,,1316627811,1453163950
65Cole,4,,1374778015,
65_196_127_226,-1,,1381244101,
65a,24,,1357231190,
65b,0,,1354664229,
66-75-63-6b,6,,1282475036,
661016,1,,1383406503,1453164097
666123,1,,1433095245,1453169535
6666666666,1,,1437180504,1437191580
666_howitzer,676,"Kiddo with plans",1323100423,1447936343
666c6f,6,,1393246646,
667,7,,1407534456,1453164776
667574757265,1,,1371708251,
6689591,1,,1383841378,1453164097
66d8kk,35,,1391852326,1413410121
672723074828,6,,1436492831,1439645347
674266966223478,13,,1418426352,1418513297
67726e,2419,,1345088543,1452032572
6785yesfg,7,,1446124180,1446312545
6789678689688,1,,1391442804,
67years,1,www.prathviraj.com,1428663773,1429900027
68000,1,"Motorola 68000",1413172004,1453164921
6828student,4,,1414985819,1416424967
68393459,2,,1406421562,1453164776
6841iam,11,,1280160943,1443286399
68656c6c6f,1,,1404492679,
687,1,,1259063684,1453163933
688,1,"http://www.artandenterprise.net<p>Toronto, Canada",1236188558,1453163933
690Sebi,1,,1339749083,
69630cph7,1,,1311308980,
69696969urmom,1,,1301529316,
699,1,,1371705854,1450485527
6993,2,,1422539351,1453165674
69MB,1,,1316365823,
69_years_and,317,"PLC programmer here.",1332840105,1451389845
69c69b,1,,1388052808,
69dh,1,,1306400264,
69lolwut420,1,,1429501579,1429501864
6Anonymous6,1,,1430141325,1434620755
6Jr9FvafEjvg,16,,1447517833,1447548769
6UwUFxLt,2,"apple xbox yelp tokyo HULU ZIP 9 korean",1402739504,1423357637
6Wunderkinder,1,,1299163616,
6_Hellos,-1,,1303962961,
6a68,296,"hacker at Mozilla, musician, likes long walks on the beach.<p>hyperspace coordinates: http://6a68.net, 6a68 on github and twitter.",1329352320,1451944399
6akors003,1,,1332721986,1453175200
6bitswinning,1,,1327242486,
6c6db4ab,1,,1403159122,
6chars,116,,1361432576,1450483458
6cxs2hd6,1929,,1352421787,1415288708
6d0d8bq9r0,1,,1359900634,
6d0debc071,1518,"Despite the name, I&#x27;m not a bot. I just can&#x27;t be bothered to come up with another new username.",1366682718,1452497411
6d65,11,,1353919665,1439627983
6d6b73,71,,1434559543,1452727775
6db7dcf1b19d,3,,1258746828,
6fBliuulVsmTCe8,2,,1415981971,1415982247
6fBliuulVsmTCe9,3,,1415984246,1415986424
6footgeek,2,"[ my public key: https://keybase.io/6footgeek; my proof: https://keybase.io/6footgeek/sigs/ahPUXXkE8MIpUEGp2rixr7TFL0RAZUwTrjnBYrcoc8g ]",1420794318,1450879692
6g,1,,1343525264,
6h8h8c3t03,1,,1338279600,
6i6q647s3,1,,1315017044,
6jake,4,,1416915432,1417102064
6jlixiaolei1,1,,1315454119,
6jyujiyuk,1,,1321034353,
6leaf,1,,1370554748,1453175250
6nne,17,"college kid\nanneore.com",1375626867,1419814949
6p4c3q6l1x,1,,1333438078,
6paramitas,2,,1346879226,
6q00g71bl5,1,,1315387199,
6ren,6744,,1290029762,
6repss,1,,1412356947,
6sigma,7,,1321278119,
6stringmerc,1661,"6StringMercenary\nProfessional Writer, Musician and Intellectual\nWannabe Inventor\n@6stringmerc",1412949555,1452798511
6t6t6,275,,1411093190,1447339216
6thSigma,1590,@aschuen<p>me@aschuenemann.com,1356991349,1444415225
6twenty,143,,1368659738,
6uh6564yh54,1,,1298889181,
6x9equals42,2,,1398558098,1435691306
