ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
VEINHORN,,2,0.0,2,0,"Android developer.",1400446909,1450207814
VERSIVO,0,2,0.0,0,1,,1362155267,1452910366
VeXocide,,1581,2.54545,118,19,"Systems engineer at RethinkDB",1266141225,1450207814
Vebn,,2,0.0,2,0,"Web Designer, UI. Founder: http://www.uidsgn.co/",1393925879,1450207814
Vecrios,,1,0.0,4,39,,1333244102,1450207814
Vector9,0,1,0.0,0,1,,1388773071,1452921535
VectorSpace,,4,0.0,0,2,,1418602914,1450267840
Vectorpack,0,2,0.0,7,1,"If you are looking for high-quality stock vectors and creative ideas that can help your designs reach success, we are what you need!",1301836631,1452893181
Vectorpacknet,0,1,0.0,3,0,,1304955337,1452893876
Ved_,0,0,0.0,0,0,,1432989708,1453169524
Vedasen,0,1,0.0,0,0,,1444805485,1453173045
Vee,0,2,0.0,0,1,,1287113677,1452890226
Veedrac,,425,0.0,0,260,,1418230015,1451259169
Veejay,0,4,0.0,0,5,"Ruby/Rails programmer currently living in sunny Vancouver, BC.",1318389468,1452897594
VeejayRampay,,1641,2.68182,0,692,"Rails developer currently living in Paris.<p>I&#x27;m also a passionate long-distance runner and a vegan.",1282216743,1452881558
Veelen,0,6,0.0,0,2,,1371210015,1452913702
Veera,0,344,0.0,27,21,"Java Developer - http://veerasundar.com",1258466775,1452888557
Vega-Lyra,0,2,0.0,0,1,,1382953030,1452917685
VegaDoll,,1,0.0,0,2,,1362499026,1450207814
Vegemeister,0,-2,0.0,0,0,,1432437303,1453169364
VeggieTraders,0,1,0.0,1,0,,1315413059,1452896455
VeilEm,0,238,0.0,0,0,,1449533344,1453174448
Veilkrand,0,1,0.0,0,1,alberto[dot]galet[at]gmail[dot]com,1400027722,1452924375
Veinlash,0,9,0.0,0,4,,1405773613,1452927763
Vejita00,,6,0.0,7,14,Montenegro,1321609476,1450207814
Vektorweg,,59,1.38636,4,116,"#Haskell #VectorGraphics #Games #FreeSoftware #Determinism",1375525674,1450207814
Vekz,,630,3.25,5,83,"Punk rocker turned software engineer, YC S11 founder.",1256353898,1450207814
VelNZ,,378,0.0,30,17,,1331257086,1451828227
Velfolt,0,1,0.0,1,0,,1394695277,1452922219
Velho,,2,0.0,0,2,,1413416686,1450207814
Velkitor,0,1,0.0,1,0,,1401305715,1452924794
Vellin,0,1,0.0,0,0,,1428213111,1453167835
Velox,,213,0.0,5,30,"my public key: https://keybase.io/velox; my proof: https://keybase.io/velox/sigs/tk8kITbb0uuUaYW8RWK00JwgDVgl0t774TcV6Sf5MoA",1361808242,1450207814
Velveteen_Mask,0,4,0.0,0,1,,1352233851,1452907177
Vencent,0,-56,0.0,0,8,,1307001039,1452894106
