ID,Karma,About,Created,Updated
qHack,3,,1399395582,1452924129
qh8,1,,1341178958,1452904047
qhe,1,,1395901362,1453168591
qhead,2,,1284877734,1452890023
qhfgva,4,,1288726551,1450207814
qhhcpfpn,1,,1318168283,1452897529
qhien1000,1,,1321261028,1452918604
qhoang09,12,"I&#x27;m cofounder and CEO of Birdly.<p>Birdly connects your entreprise softwares (expenses, CRM, travel...) to your messaging apps (SMS, mail, Slack...)<p>We built a Slack bot that lets you have 360° view on your customer.<p>Ask the bot &#x27;infos customer_name&#x27; then he&#x27;ll answer with infos from Salesforce / Stripe / Zendesk ...",1405591164,1453172471
qhoc,28,,1360660059,1452498432
qhoxie,6101,"Founder of Swiftype. I can be reached at qhoxie [at] swiftype [dot] com",1216670730,1450207814
qhubertz,1,,1441129414,1453172954
qhung49,4,,1363524553,1450207814
qhwa,1,,1440290943,1453171779
qhwki62186,1,,1331624798,1452900615
