ID,Karma,About,Created,Updated
BSBG,1,,1404425067,
BSM216,1,,1336837590,
BSVino,3,,1434748711,1434812541
BSW,1,,1312356309,
BSachse,3,,1325734462,1415999375
BSeward,582,"I'm a user-experience-oriented front-end architect and developer working in and around the SF Bay Area. You should get in touch.",1206430593,1416434443
BSierakowski,1,,1279481866,
BSousa,861,,1238338475,1431986941
BSphoto,1,,1302097353,
Bsharp,200,"Former lurker, current noob, future hacker.<p>Check out PyFi, my financial modeling package written for Python! (Note: still very much in the works.)<p>https://github.com/a-phillips/pyfi",1382534478,1422748925
Bslpackers,1,,1316062116,
Bsmithersb,1,,1425483736,1428357821
Bstaz,1,,1436294291,1447284917
Bsum,1,,1427366010,1427366426
bs0101,4,,1278973591,1452889628
bs1,1,,1381687656,1452917266
bs101,1,,1190132804,1190132804
bs1011,1,,1412925038,1450207814
bs287,1,,1409170286,1450207814
bs7lw3sft,1,,1309420844,1452894567
bs9,5,,1364047122,1452915440
bs_bishop,6,,1427939977,1453167743
bsaali,1,,1331926931,1452900782
bsabrin,1,,1304948563,1450207814
bsafer,1,,1399241675,1452924045
bsagert,7,"Just a retired guy learning Python.",1267817555,1450207814
bsahr,2,,1351015469,1452906940
bsalgado,2,,1324918756,1452899203
bsaly,1,,1354048617,1452907584
bsammers,4,,1437670466,1453170990
bsamuels,368,"Security nerd. If you want to ask me a question, please send an email rather than reply on HN because I almost never get around to reading HN replies.<p>contact@bsamuels.net\nhttps://bsamuels.net/\nhttps://github.com/bsamuels453",1384915787,1451856447
bsandbox,30,http://www.bsandbox.com,1279305311,1450207814
bsanders,2,,1283928459,1450207814
bsandert,30,,1443559420,1453172687
bsaraogi,1,,1383357856,1453173208
bsardary,1,,1343670202,1452904949
bsatrom,30,,1319713868,1452898583
bsaul,1752,,1311517042,1452891731
bsaunder,771,"@codeisdata\nrecursivedesigns @ google&#x27;s free mail service\nhttps://www.linkedin.com/pub/bruce-saunders/3/650/434",1172369343,1441407945
bsavas,2,http://borasavas.info,1293125940,1452896994
bsawyer,1,"Researcher at Air Force Research Laboratory (AFRL) and Doctoral Candidate at University of Central Florida and",1411506153,1452931808
bsb,12,,1313553089,1450207814
bsbechtel,909,,1334088815,1452888856
bsbhupendra771,1,,1328969930,1452899953
bsc,3,,1190331293,1190331293
bsc28,1,,1393699757,1452922039
bscanlan,101,,1325509054,1450207814
bschaefe_net,1,,1366405449,1452911832
bschaefer,44,"bj.schaefer@gmail.com\nhttp://oinopa.com\nhttp://github.com/bernerdschaefer\nhttp://twitter.com/bjschaefer",1259002430,1452888852
bschafer,24,,1349737672,1450207814
bschiett,2,,1316446315,1450207814
bschippers718,5,,1402002282,1450207814
bschlinker,52,,1246790157,1452892570
bschlueter,1,,1394508147,1453173819
bschmo,-3,,1289015543,1452890538
bschram,1,,1303414080,1452893433
bschuler,0,,1375372079,1452915229
bschwab,2,,1360088376,1450207814
bschwarz,14,,1370165010,1452913293
bschwindHN,1,,1427346862,1453174512
bscip,1,,1335206469,1453173708
bsclifton,3,,1420008107,1453164961
bscm,3,,1393958413,1450207814
bscofield,588,"The b stands for Ben.<p>http://benscofield.com",1200853774,1426535273
bscoperecruiter,3,,1346772821,1450207814
bscordato,116,,1318952138,1450207814
bscottmay,3,,1373381971,1452914619
bscully55,1,,1300211398,1452895525
bscvideo,1,,1307620621,1452894229
bsd,1,"Founder of mt.ca, Eclipse committer, and definitely does not play basketball.<p>Twitter: @delaweeza",1317921625,1452903596
bsd99,2,,1400280148,1453164764
bsd999,1,,1392735802,1452921603
bsd_,2,,1446122398,1453173388
bsd_junkie,2,,1248706918,1452888183
bsdadmin,1,,1436968575,1453170768
bsdbuddy,2,,1300695839,1452892847
bsddb5,2,,1441292735,1453172072
bsdemon,9,,1255821897,1452888440
bsder,3449,,1391822203,1452913315
bsdetector,425,,1375575031,1452786558
bsdfj,3,,1369148919,1452912657
bsdguides,39,,1364311923,1450207814
bsdimp,7,,1424218650,1453166267
bsdlite,5,,1372959444,1453172175
bsdman,1,,1302770016,1452893324
bsdnoob,3,,1450237387,1453174573
bsdnotlinux,13,,1392034612,1450207814
bsdpunk,97,"I write shit down, yo.<p>[ my public key: https://keybase.io/bsdpunk; my proof: https://keybase.io/bsdpunk/sigs/GIfDIec7_Y42trnhKvklOoR55yG2gEEM-cqaLjEdVRQ ]",1233610923,1452703016
bsdpunkblog,3,,1234961614,1452887175
bsdpython,245,,1420946922,1453165135
bsdsailor,1,,1420350413,1453164961
bsdsean,1,,1280429330,1452889673
bsdshepherd,13,,1409662827,1452930328
bse12230,1,,1316770510,1452896994
bse12233,1,,1316769022,1452896994
bsegraves,4,,1416005319,1453166500
bsenftner,736,"Los Angeles based MBA/Developer with a long history in 3D animation production; over 15 years as a lead game developer, several years in feature film visual effects, now founder and CEO of www.3D-Avatar-Store.com",1318693231,1450712350
bseo,57,,1271101003,1452889175
bsergean,15,http://blog.jeanserge.com/,1269490487,1452889012
bsesser,2,,1320421958,1452898448
bsetlow,0,"These days I write software for a living.  I enjoy hiking, baroque music, and taking consumer electronics apart.",1237471893,1452887944
bsf,2,,1248290517,1452888116
bsftlnk,1,,1304421643,1452893560
bsftlnk1,1,,1305789728,1452893808
bsftlnk123,1,,1310016470,1452894913
bsg,4,,1192306303,1192306303
bsg75,3181,,1286332148,1452873512
bsgamble,117,"Scott Gamble<p>Digital marketing strategist\nMobile technology geek<p>Interested in technology, media and design<p>E-mail me at scottg at mobios dot org",1232377092,1452887114
bsgreenb,112,"Software Engineer @Lyft\nTwitter: @bsgreenb",1299632697,1450207814
bsgroves,-1,,1336785236,1452902911
bshabba88,1,,1402100398,1452925132
bshacklett,5,,1374198703,1450207814
bshahian,0,,1360266684,1452909634
bshane54,1,,1317335127,1452897187
bshang,1,,1350411805,1453172754
bshankle3,3,,1332394850,1452900955
bshanks,572,"see http://bayleshanks.com",1245361794,1452545955
bsharitt,41,,1406300420,1452698694
bshastry,21,,1362089582,1452910877
bshaurette,4,,1235627097,1452911418
bshef,1,"Software Automation Engineer",1405099443,1453169635
bshells,6,,1313756450,1452896391
bshenanigan,2,,1422474461,1453165645
bshep,492,,1245693565,1450207814
bshepard,2,"I like making puzzles & talking about philosophy & history.<p>top.coop",1360985784,1452911594
bsherrill,1,"Detroit Developer",1329874322,1452915508
bshih,10,"currently:  Product at Pocket Gems\npreviously: PM at Google on Google Reader, Google Finance\n            Summer &#x27;06 YC",1160524617,1450207814
bshimmin,2157,"Arbiter elegantiarum.<p>Co-founder, CTO @ https://speedread.io/",1382798277,1452803545
bsho,46,@byronsh_,1343527107,1450207814
bshock,-4,,1255637833,1452888474
bshoemaker,7,,1315436806,1450207814
bshoults,1,,1285191254,1452890023
bshoults81,1,,1372513441,1452914259
bshwckr592,1,,1330365634,1452901400
bsi4321,1,,1335002765,1452902316
bsick7,7,,1423488430,1453165959
bsiddiqui,97,"Senior @Harvard | @hackNY fellow @Branch | I love coffee, traveling, ballroom, and making life better with technology",1359396928,1450207814
bsiemon,415,,1269152257,1450921979
bsifyskr,1,,1394329285,1452922153
bsiggelkow,-5,,1247766155,1452888115
bsilver,1,,1386807027,1452924515
bsilver91,1,,1395591276,1450207814
bsilvereagle,756,bsilvereagle@gmail.com,1349561679,1452468742
bsilvery,1,,1328440037,1452899829
bsima,214,http://www.bsima.me/<p>[Resume](https://docs.google.com/document/d/1OrBr3KPDjeJBcXdKFJ2vE3tgAKQxThciGMsIX1icVx8/edit?usp=sharing),1326466281,1450207814
bsimm,0,,1320415252,1452898269
bsimpson,2829,,1313124623,1452892042
bsimpson63,3,,1374086495,1450207814
bsims,486,@bryansims,1350576685,1450207814
bsin21,1,,1304719087,1452893599
bsinger,9,,1312232177,1450207814
bsingh26,1,,1399971350,1453168781
bsingh4,1,,1364495071,1452911456
bsirkia,429,"I&#x27;m an entrepreneur, UX designer, and mediocre full stack developer.",1276008718,1452631035
bsiscovick,67,,1269351468,1450207814
bsitum,0,,1414899767,1450207814
bsj,1,,1355837295,1452908274
bsjolund,1,,1414784045,1450207814
bsk,344,,1274636587,1452890306
bsk26,14,,1198732749,1452886518
bskap,279,,1349978212,1451811255
bskardhamar,1,,1392647204,1453165205
bskari,32,,1302019125,1450207814
bskcom,1,,1315341100,1452896588
bskinny129,29,,1296935857,1450207814
bsklaroff,5,,1342794132,1452915055
bslatkin,1096,http://onebigfluke.com/,1241590824,1452842396
bslvr,5,,1319736971,1452902431
bsmart10,1,,1406135797,1452927911
bsmartt,5,,1311654219,1450723928
bsmedberg,1,,1392820579,1450207814
bsmirnov,2,,1324582674,1452905119
bsmith,643,http://thisisbrians.com,1300310892,1450207814
bsmith12,0,,1324923585,1452899157
bsmith21,7,,1302493426,1452893290
bsmorris,1,,1320862595,1453175189
bsnape,11,,1363123770,1450207814
bsndev,1,,1384345173,1450207814
bsnguy123,1,,1368573989,1453175250
bsnim,2,,1317899699,1452897450
bsno,1,,1343679003,1452909302
bsnp,8,"Working as consultant in SAP area.",1217879522,1452886424
bsnss-mn-cdr,36,"My life, one track at a time: TheOfficialSoundtrack.com",1278688544,1452889472
bsnux,1,,1317190182,1452897187
bsnyder,2,"[ my public key: https://keybase.io/bsnyder; my proof: https://keybase.io/bsnyder/sigs/MFGkcJf1dfb5m5_8hE6J5DzHB8lBte7l7VypPb88kDg ]",1284764426,1450207814
bsnyder788,3,,1363017890,1452910766
bsoares,6,,1402938565,1450207814
bsodmike,1,,1330857880,1452900451
bsoft16384,1,,1398897714,1452923931
bsoist,2,,1324849154,1450207814
bsolofounder,1,,1395896325,1452922499
bsommardahl,1,,1360614050,1452909696
bsonday,2,,1352861894,1452917520
bsoni,7,,1451818351,1453174934
bsorbo,4,,1363925593,1450207814
bsou,21,,1393716574,1452784111
bsoule,117,,1263765025,1452893128
bsowards,1,"Founder and CEO of USEED.org. We create a new line of revenue for universities - instead of asking alumni for a ""blank check"" they can offer them donation choices around their passions and interests.",1364183229,1452912621
bsp1000,1,,1339678039,1452903491
bspace,21,,1385144920,1452918932
bspar,1,,1401314276,1452924794
bsparker,1,,1446067874,1453173376
bspatafora,19,,1368742691,1452912657
bspates,8,,1406021254,1450207814
bspecht,2,"[ my public key: https://keybase.io/specht; my proof: https://keybase.io/specht/sigs/R0N0GDUzTAlv01s4vKskHoTHPEQ5ooMVbWtw_MnjUMw ]",1306333394,1450267840
bspell1,1,,1351874416,1452907085
bspencer1984,1,,1392588795,1453167882
bsphil,254,,1301077059,1452892952
