ID,Karma,About,Created,Updated
PXLated,0,,1311052467,
Pxl_Buzzard,140,https://github.com/PxlBuzzard,1376687409,1432748897
Pxtl,6326,,1365775470,1452821317
pXMzR2A,115,,1411430833,1450207814
px,2982,,1271351958,1450207814
px1999,148,,1334336969,1450207814
px403,2,,1301947225,1452893181
px43,36,,1311438396,1450207814
pxc,3,,1447792583,1453174109
pxck,7,,1430165163,1453169954
pxdr,1,,1415884040,1453173171
pxdude,3,,1348846568,1452906326
pxeboot,4,,1447993111,1453174046
pxer80,2,,1368238429,1452912297
pxigorth,7,,1192810158,1192810158
pxlbryn,12,"Designer, ShopSavvy<p>@privatizeapp",1379959816,1450207814
pxlpshr,2090,"cpo & cofounder of patientio.com  a health tech startup.<p>i rarely tumble at colinanawaty.com. i live in austin tx. once upon a time i created plerts.com (acq&#x27;d by rev worldwide). i helped prototype game platforms used by id software for quake live and riot games&#x27; league of legends.<p>find me on twitter @colin. #42 #ff6600",1207712284,1440085283
pxlt,5,,1299007570,1452911268
pxm,9,,1298476969,1450207814
pxndx,50,,1390826726,1450207814
pxpxpx,3,,1319899635,1452898664
pxr,112,,1301603630,1452893128
pxrbi8300,1,,1343965402,1452905024
pxsta,1,,1399542522,1452924205
pxstock,17,,1267088453,1452888889
pxtang,21,,1376346099,1450207814
pxtreme75,-1,"Newbie on hacker news. Trying to offer valuable suggestions here and there. Creator of eFront LMS (www.efrontlearning.net) and Lazydok (www.lazydok.com).",1319132422,1452897883
pxture,3,,1383669492,1452918128
pxue,6,,1297616280,1450291604
pxworkout,1,,1331131259,1452900506
