ID,Karma,About,Created,Updated
ML2014links,1,,1409933373,
MLApprentice,1,,1447332290,1450097617
MLConsulting,1,,1285423024,
MLMcMillion,26,"I code stuff and things.",1333055782,
MLMorley,5,,1438106950,1438136583
MLR,140,,1297793706,1452266143
MLSDev,1,"MLSDev specializes in providing all-in-one solution in mobile and web development. We follow Lean principles and work according to agile methodologies to deliver the best results reducing the budget for development and its timeline.",1445595821,1450786005
MLWiDA,1,,1401434118,
MLeaLevron,1,,1329317097,
MLfan,2,,1384197963,
MLnick,27,,1268395791,1434283877
Mladjo,1,,1396973194,
Mlewk,3,"I am a co-founder of RateMyPad.com. I am applying to this program with my sister KCAnderson. Please take a look at her application for our business idea. Thank you!",1365992563,
Mlgamesapps,1,"I&#x27;m an app developer, 23 of age. I live in Canada and mobile app developing is a big hobby of mine",1442770975,1442775158
mLewisLogic,51,.code,1274155699,1450207814
mLuby,5,,1401825502,1453172880
ml10114,1,,1412183289,1450207814
ml1234,29,,1218304142,1452886425
ml2man,1,,1390429993,1452920411
ml33ai3bst,1,,1316726850,1452896872
mlLK,1554,,1205892046,1450207814
ml_da,1,,1407376360,1452928883
ml_hpc,120,,1453382310,1454885060
ml_looking,1,,1425061630,1453166698
mlab,8,,1346487445,1452905701
mlaccetti,16,"Software developer, downhill cyclist, trance aficionado, gamer, traveler, book devourer.<p>http://www.laccetti.com/\nhttp://www.atendy.com/",1243271426,1450207814
mlacher,4,mikelacher.com,1368046641,1450207814
mlacitation,260,"I make stuff and grow plants: http://www.schwertly.com",1306675679,1450207814
mladen,1,,1403533559,1450207814
mladen5,2,,1427104610,1453169386
mladenija,36,,1258223669,1452888557
mladenkovacevic,2050,"a very mundane earthling\nusername at gmail.com",1315410573,1452795284
mlader,23,"Senior Backend Engineer at http://www.mavrck.co\nPythonist, Data Junkie, and UX wonk.",1334013332,1450207814
mladjan,1,"Entrepreneur and iOS developer",1341923177,1450207814
mlady,3,,1313102407,1450207814
mlafeldt,53,"Blog: https://mlafeldt.github.io<p>GitHub: https://github.com/mlafeldt<p>Twitter: https://twitter.com/mlafeldt",1309458493,1450793838
mlajeunesse,9,,1423337408,1453166833
mlakewood,31,,1355128567,1450207814
mlakkadshaw,109,,1338177540,1450207814
mlamat,38,,1385477873,1450207814
mlamb,1,,1395870920,1452923279
mlamb1976,2,,1235606986,1452888374
mlambie,1,,1305163479,1450207814
mlambir,2,,1310009841,1452895451
mlamina,2,,1348349401,1451497195
mlandauer,329,"[ my public key: https://keybase.io/mlandauer; my proof: https://keybase.io/mlandauer/sigs/_Bn6PIyNuxk6SIkLaPVmB6uTpbh62_zFdxMrE0B8PkY ]",1329199078,1450207814
mlandis,1,,1388898380,1452919809
mlangdon,132,michaeljlangdon@gmail.com,1382135692,1450207814
mlangenberg,6,,1349972230,1450207814
mlanj,1,,1297527299,1452892334
mlanza,15,"Programming language enthusiast and lifelong learner.  Fan of eurogames and movies.",1306773362,1450207814
mlapeter,55,"I'm self employed and focus my time on running and growing the following websites:<p>http://mysinglepropertywebsites.com<p>http://www.pfretour.com<p>I'm always interested in new ideas, and especially meeting ruby programmers as that's what my websites are written in.<p>contact: username at gmail.com",1240589597,1450207814
mlapida,30,"http://mlapida.com<p>[ my public key: https://keybase.io/mlapida; my proof: https://keybase.io/mlapida/sigs/dPCTVdh-UwMb6L_praU_qD9ix2PDcjSGjnqkL2d0xqI ]",1315929228,1451417357
mlaplante1,2,,1377715537,1452915890
mlaretallack,7,,1418459742,1450267840
mlarkin,8,,1421420456,1453165306
mlarkin42,1,,1262120142,1452888684
mlarratt,14,,1322217968,1452898553
mlarsen,1,,1320047457,1452906276
mlashcorp,3,,1377102442,1450207814
mlashle33,1,,1317028839,1452897090
mlassoff,1,,1391452854,1450207814
