ID,Karma,About,Created,Updated
NRaush,1,,1428022928,1436646581
Nr7,44,,1381324660,1450411717
Nrndr,15,,1312393745,
Nrpf,16,,1445301060,1452706172
Nrsolis,1329,,1287683623,1452799700
nRike,1042,"I bake apps in EssentiaLab, an UX & apps shop. Self Learner, Curious and Pragmatic since 1987.",1269134324,1450207814
nr,31,,1173384380,1173384380
nr0mx,450,,1235740342,1450207814
nr1,1,"Co-Founder & Chief Customer Officer Alyne.com",1442393789,1453172387
nr123,9,,1253219666,1452888344
nr152522,2,,1426076191,1453170144
nr4bt,1,,1390040004,1453169188
nr4h85g9qf,1,,1335357875,1452902431
nr_anand,1,"always looking to find an opportunity. If you find one, you can find me there.",1215726399,1452886327
nr_jeffs,1,,1347656232,1452906134
nrabins,3,,1350065273,1452906723
nraboy,12,,1425968035,1453167076
nradov,1741,http://www.hackernewsers.com/users/nradov.html,1190235674,1452810930
nraf,13,,1403736593,1452930581
nraford,8,,1399920098,1452924323
nrafter,1,,1403741787,1452926120
nragaz,19,,1307199832,1450207814
nrahnemoon1,-5,,1348167344,1450207814
nralat,2,,1434095765,1453169875
nramenta,3,Hello.,1201256967,1450207814
nramirezuy,0,,1368545765,1450207814
nramos,1,,1227896968,1452886722
nrampat,1,,1349723373,1452906575
nranand,1,,1216228171,1452886424
nrank,2,,1350387245,1452906791
nrao123,436,,1201464237,1449205705
nraotf,1,,1357098836,1452908561
nrassanna,1,,1309326916,1452894567
nratlos,1,,1275068631,1452889278
nrau,27,,1369084557,1450207814
nrauto,1,,1340695043,1452903767
nray,3,,1412180736,1451855396
nrayamajhee,193,,1351132733,1450207814
nraymondi,1,"Marketer, designer, and founder of http://quotiful.com/",1363835297,1450207814
nraynaud,1478,"Fiddling with a CNC at home, looking for a cool way to make money.<p>http://nraynaud.github.io/webgcode/<p>contact : nraynaud  gmail.com",1175117829,1452729884
nrb,115,,1280398072,1452394671
nrbafna,245,"Email: nikhil.bafna.r@gmail.com",1272777753,1450207814
nrbearings,1,,1221816983,1452886573
nrbernard,2,"Front-end web developer at Droplr in Portland, OR.",1337366576,1450207814
nrbib,6,,1449119580,1453174303
nrc,48,,1390417644,1450207814
nrc2107,1,,1237616121,1452892737
nrcha,435,"Normunds Gavars",1281957053,1450207814
nrdentist,1,,1273617701,1452894329
nreduce,3,,1346818952,1452905862
nreducedemoday,1,,1346870087,1452905862
nreece,25952,"Entrepreneur, Programmer, World Cinema Buff, Realist<p>Startups: Feedity (http://feedity.com) and Hatchvid (http://hatchvid.com)<p>Blog: http://www.nilkanth.com<p>Twitter: http://twitter.com/VoidMonk<p>Music: http://opsound.org/artist/voidmonk",1186045362,1452818510
nreese,1,,1362288217,1452910366
nreuszer,1,,1391880467,1452921306
nreuter,6,"CEO / Co-Founder of TotalTab (http://www.totaltab.com)<p>Philosopher. Entrepreneur. Lover of life!",1308064414,1452894279
nrew,2,,1345193080,1452905299
nreyntje,10,,1351680114,1452914803
nrgizer,1,,1435265548,1453170214
nrh,15,"[ my public key: https://keybase.io/nrh; my proof: https://keybase.io/nrh/sigs/SIvmk1fZdQ34gxxmx2HxHTG5Ozam0pGJTWNJ0fBI07U ]",1323654852,1450207814
nrhtr,1,,1369542442,1450207814
nrichards413,1,,1334045617,1452901707
nricklin,1,,1446483828,1453173484
nriley,1,,1345139031,1450207814
nrinaudo,81,,1338554168,1450207814
nrioux,1,,1408304533,1453173950
nritter,1,"design thinker, engineer, strategist\nliberal, christian, STL Cardinals fan\nMoving to DC soon, looking for a job.",1291762572,1452905063
nrivadeneira,369,,1364931480,1450207814
nrj,158,"game dev / berlin / nrj.io",1268061112,1450207814
nrjames,58,,1438606539,1453171242
nrjones8,49,,1356301620,1450207814
nrjperera,2,,1416309027,1450207814
nrk,3,,1277745102,1452889472
nrkn,622,,1296767524,1450207814
nrli,2,,1278247515,1452889417
nrlucas,9,,1345165719,1452905299
nrmehta,13,"Entrepreneur/CEO (LiveOffice acq by SYMC, Chipshot), exec (SYMC, VRTS), ent, cloud, SaaS, big data, storage, security, diehard Steelers family, lucky.",1208362012,1208362012
nrmilstein,59,,1372264527,1452914922
nrmitchi,18,,1387851496,1450207814
nrml,1,"Love wine? So do we. winefolly.com",1289022915,1452895978
nrml_consulting,2,,1278027642,1452889417
nrmn,119,Canada,1323233934,1451133408
nrnayak,1,,1304183453,1452893560
nrnjsir,1,,1353781223,1452907543
nrnrnr,1,,1382919449,1452917685
nro,2,,1309726242,1452894811
nroach,449,"IP Lawyer and Startup guy - Blog:  http://nathanroach.com and http://capitalready.com",1256091652,1450207814
nrodhn,8,,1385855595,1452919130
nroets,49,,1393089040,1452583614
nrofkahr,2,,1315972945,1452896588
nrohan,4,,1177057804,1177057804
nroman,102,,1285821403,1450207814
nromito,1,,1395883854,1452926341
nron,3,,1384049447,1452918321
nrooot,9,,1449023968,1453174276
nroose,81,"Father of 4, Software Developer in Berkeley, CA",1384055248,1452493517
nrose,1,,1357143409,1450207814
nrosella,2,,1415298049,1451477017
nross,1,"co-founder of Mudboard.com - it's about all creativity",1303457562,1452893433
nrosvall,1,,1302426451,1452893290
nrosvall82,1,,1335703177,1452902546
nrotstan,4,,1298484223,1452900414
nroviw,1,,1352331438,1453169670
nrox,21,https://github.com/nrox,1377877682,1450207814
nrp,389,"Engineer at Oculus VR<p>Work: http://oculusvr.com\nPlay: http://eclecti.cc",1312040593,1450207814
nrpalao,1,"Self-taught designer and pixel junkie.\nCurrently crafting @StamperyCo\nCreator of getboreal.com",1357118062,1450207814
nrpprn,5,,1444586176,1453172979
nrr,271,http://corvidae.org/nrr.html,1248067175,1452703767
nrs,4,,1280074148,1452889628
nrs26,18,"DC-based entrepreneur. Particularly passionate about education technology, millennial entrepreneurship and startups in general.",1386871884,1450207814
nrser,59,,1291622902,1450207814
nrshirj,1,,1406891362,1452928375
nrshrivatsan,3,,1417021666,1450267840
nrswolf,2,,1422281095,1453165584
nrt,1,,1412097851,1450207814
nrtd,1,,1306395232,1452893954
nrtgmail,1,,1388714353,1452919906
nrub,71,"[ my public key: https://keybase.io/log0ymxm; my proof: https://keybase.io/log0ymxm/sigs/LD3MtqlQIm-iE_bfB3CA9Vu1szJeTnSKTLjZBEqMiUM ]",1253858272,1450207814
nrubin,18,"I&#x27;m an APM at Google. I recently graduated from Olin College (www.olin.edu). I&#x27;ve worked at SoftArtisans and Microsoft in the past.",1355720628,1450207814
nrue,2,,1343643320,1452904949
nrw,3,,1323075633,1452898710
nrwayn,1,,1342068405,1452904493
nry,69,,1336995412,1450207814
nrzuk,18,,1399902277,1450207814
