ID,Karma,About,Created,Updated
LD82736,1,,1357154299,
LDHirsch,1,,1285737814,
LDLife,1,,1425484922,1425674566
LDN,3,"Yep Yep Yep",1389523124,1413056641
LDTeslaImmortal,150,,1320275106,1438282488
LDale,18,,1352932719,
LDimchik,1,,1353508472,
LDrogen,12,"Co-Founder @Estimize, Founder @SurfviewCapital, Formerly @StockTwits Biz Dev and @Chartly Product Manager, Blogger, hockey player, surfer, grill master",1331415635,1437513579
LdS,11,,1283058871,
Ldavis,1,,1326746471,
LdcVapor,2,,1378750918,1418312504
Ldean18,1,,1343880331,
ld00d,22,irc:ld00d:irc,1378769352,1451862491
ld100,2,,1315328695,1450207814
ld50,62,,1219617077,1452886572
lda,21,,1285172523,1450207814
ldabiralai,1,,1438615136,1453171242
ldad,1,,1301352680,1452912002
ldaj,1,,1439926973,1453171642
ldalporto,1,,1431377052,1453169038
ldam,1,,1330529648,1452900347
ldambra,66,meep,1202161124,1202161124
ldamerow,2,,1313707432,1450207814
ldamman,2,,1298682174,1452893128
ldanesi,1,,1355722914,1452908182
ldar15,332,,1308952536,1450207814
ldarby,9,,1403022319,1451960449
ldarcyftw,19,,1359504436,1450651010
ldargin,50,,1257794894,1450207814
ldawoodjee,0,,1320981249,1452903018
ldawson,14,,1297643719,1452893808
ldayley,3338,"t- @textboxd",1289954400,1450207814
ldbjd1,1,,1334890654,1452902259
ldc,4,,1341394256,1450207814
ldd,88,,1397159285,1452921051
ldd-,70,,1306957073,1450207814
lddemi,1,,1402533251,1450207814
ldean,2,,1396448692,1452922632
ldebowczyk,1,,1320523988,1452898269
ldebrasi,1,,1398454395,1452923560
ldec,10,"I am Australian who loves my new home brazil and the entrepreneurial scene here.",1399932888,1450207814
ldehaan,21,,1329129411,1451551711
ldelaney,1,"Software engineer for the New York Stock Exchange, Belfast, Ireland. Seeking opportunities for work in the USA which will help be to obtain a H1B visa.",1320246283,1452898236
ldelisto,1,,1300471622,1452892737
ldemailly,6,,1437511809,1453170940
ldenman,2,,1206375567,1206375567
ldenneau,-1,,1427135940,1453167442
ldenoue,2,"iOS developer: @ReaderViewApp Mobile Reader for Safari - PopMath for kids http://www.appblit.com and http://www.keeness.net",1253233847,1450207814
ldersh,1,,1389799467,1452920263
ldesegur,58,,1280710534,1451951143
ldeva,4,,1239843966,1452887772
ldfkcvbm456,1,,1379205110,1452916440
ldh,390,,1249523900,1450207814
ldh1109,1,,1355110887,1452907905
ldhasson,1,,1318875368,1452897738
ldhub1,20,,1264976796,1452888810
ldicarlo,1,,1426438796,1453167608
ldidi,7,,1382744606,1450207814
ldieker,3,,1331329990,1452901400
lding43,66,,1424326520,1453171589
ldionne,3,,1330695797,1450207814
ldiracdelta,2,,1430843008,1453168848
ldite,368,"Software Engineer in HPC land",1248777112,1450207814
ldjb,28,"http://ldjb.uk<p>[ my public key: https://keybase.io/ldjb; my proof: https://keybase.io/ldjb/sigs/IdV4kghNxp10ZxK0JyT3M8TxnBE7EdFuqFdohnJK_iQ ]",1425132889,1454885306
ldk,1,"http://github.com/logankoester\nhttp://twitter.com/logankoester\nhttp://logankoester.com",1386812636,1452919385
ldkllr,6,,1331816090,1452900708
ldl033,-4,,1426946438,1453167395
ldlework,97,,1360352920,1450207814
ldlkfc,3,,1369727229,1452912967
ldlobo,1,,1353670572,1452907494
ldm5180,3,,1309547132,1452894620
ldmoray,12,,1434719344,1453172368
ldn_tech_exec,0,,1322564028,1452899743
ldn_tech_exec1,228,,1347377686,1450207814
ldnbound,7,,1356861753,1452908501
ldng,328,,1288729264,1450207814
ldod,1,,1331650139,1452900615
ldogmillionaire,1,,1312387297,1452895525
ldoguin,9,,1318420358,1450207814
ldom22,2,,1430603722,1453170119
ldom66,3,,1413483795,1453168781
ldong,0,,1423524399,1453174375
ldonley,41,,1379735055,1450207814
ldoubleuz,1,,1376677987,1452915572
ldp01,3,,1441672751,1453172175
ldpg,14,,1439094623,1453171515
ldposuiji298,1,,1313048966,1452895755
ldrager,0,,1414780909,1450207814
ldrboyle,1,,1320004011,1452898149
ldresnick,3,,1301503369,1452893128
ldrex,4,,1362981652,1452910679
ldrndll,40,,1362231839,1450207814
ldsa,-2,,1277554527,1450207814
ldturesson,18,,1418019991,1450267840
ldub,2,,1363113608,1450207814
ldubinets,383,"Hacker and student.\nlevdubinets.ynews@mailnull.com",1368331347,1450207814
ldubs16,1,,1389762650,1450207814
lducas,38,"Cryptographer, postdoc at UCSD.<p>Loving popular science, open science, and open software.",1402856632,1452925448
ldunn,5,,1347268293,1452915440
ldv1971,171,,1293554873,1452892174
ldvldv,192,"Designer @Addepar",1296413822,1450207814
ldw,3,,1405432123,1450207814
ldwall,2,,1325494308,1452899344
ldwcal,6,,1444620081,1453172991
