ID,Karma,About,Created,Updated
WCC,3,,1269123284,1452889716
WCJohnson11,1,,1400264520,1453174242
WCN2,1,,1379441135,1452917578
WCSM,1,,1340650426,1452903767
WCityMike,60,,1311523070,1450885209
Wcknishwhite,1,,1338462456,1452903303
wc,0,,1177573804,1177573804
wc-,64,"I am a developer currently living in Chicago.  I work for DigitalH2o, a startup trying to improve the usage of water in the oil and gas industries.<p>You can find me idling on IRC in #startups on freenode.",1369248516,1452722379
wc7,2,,1334115035,1452901555
wc901210,1,,1372994199,1452914460
wc_hacker,207,,1242076249,1452887871
wca4a,2,,1290230661,1452892632
wcaleb,68,"Historian at Rice University<p>http://wcm1.web.rice.edu",1363983429,1450207814
wcamarao,1,,1376764332,1452915572
wcameron,18,,1311371599,1451419519
wcandill,4,,1377889699,1450207814
wcandillon,23,,1307127420,1452894164
wcarey,38,,1282783473,1452380431
wcaron,1," Location: São Paulo - Brazil \n  Remote: Yes\n  Willing to relocate: No\n  Technologies: C, C++, Python, PostgreSQL, Rail Systems, Credit Risk, Tv audience, SDN, NFV and brain washing devices.\n  Résumé/CV: https://br.linkedin.com/in/wagnerca\n  Email: wagner.caron@gmail.com",1438620223,1453171255
wcarss,625,,1205396107,1452195206
wcassis,2,,1300393735,1452911535
wcatlan,1,,1396833193,1452923063
wcauchois,5,,1300579175,1450207814
wcbeard10,471,,1362502550,1452538329
wcbracken,1,,1282449955,1450207814
wcbzero,1,,1443741817,1453172767
wcchandler,392,"My primary job is a Linux/NOC admin at a community college.  In my free time I work on the Jaunted Tao project.<p>$USERNAME\@gmail.com",1300714826,1450332431
wccrawford,8711,,1280144679,1450207814
wcdolphin,88,,1322031904,1450207814
wcember,6,"programmer, actuary, consultant.<p>williamcember.com\ngithub.com/wcember\n@wcember",1382846640,1450207814
wcerfgba,3,,1374614679,1452914985
wces,2,,1441303942,1453174264
wcfan,1,,1403794905,1452926120
wcfields,306,,1362420786,1450207814
wcgortel,151,"Mostly lurk, quantitative & fundamental finance research, background in portfolio management and private equity. Building the best place in the world to publish investment research at CFA Institute (Enterprising Investor).",1175524507,1450207814
wch,76,,1326035131,1450207814
wcham,3,,1370384557,1452913293
wchaparro,2,,1414987356,1453169646
wchbest,1,,1321331640,1452898413
wcheetbar,1,,1409648420,1452930282
wchest,8,,1303358713,1452893433
wchiang,2,,1380000786,1450207814
wchou,4,,1287200867,1452899711
wchrisn,15,"Twitter: @chriswakare",1295558540,1450207814
wciu,1,,1377869445,1452915982
wcjhxnnWYS,1,,1326094811,1452899437
wcjr11,1,,1372385390,1452914259
wckronholm,6,,1416424294,1450267840
wclark,2,,1445269299,1453173183
wclax04,161,"Software engineer at Openfolio, and I spend the rest of my time racing a mini-transat sailboat in the NYC area.<p>[ my public key: https://keybase.io/joshowen; my proof: https://keybase.io/joshowen/sigs/1uBFhXn4xmhXZ7duS80ZzSFj9Ii4hHkC7zTudHNriTk ]",1258320909,1452498012
wclittle,35,,1370445678,1451403500
wcmaggot,1,,1321638530,1452898481
wcnesmith,3,"I am a passionate philosopher searching for meaning and greater understanding in a world where these topics are overlooked - only ever finding the absurd. Take a seat, relax, and let us discuss the most important topics of human existence.<p>I provide free educational media to all of humanity on the subjects that I find most important in life. I write articles on the topics that burden my heart and outline the problems and what methods we could utilise to overcome them. I am an artist and hope that I paint my pictures well for you.",1349925282,1452906637
wcoenen,723,,1237159484,1450207814
wcolbert,6,"Co-founder of CarOverload.  Product guy that hacks a little.",1172506731,1452904722
wcope,4,,1216683241,1452922499
wcoryjones,1,,1337281476,1452903018
wcossick,3,,1435008223,1453170131
wcost,1,,1332166798,1452900855
wcp,1,,1411082069,1452931522
wcpreston,2,,1306864177,1452894027
wcrichton,36,,1396028017,1450207814
wcrosby,79,"Mixin Capital & Google.",1163785773,1413264891
wcsun,15,"A programmer. Curious about anything on the Internet.<p>@lalasusu999",1301213533,1452893181
wctroy21,1,,1338139112,1452903164
wcuesta,1,,1358742450,1452909149
wcummings,1034,https://hkps.pool.sks-keyservers.net/pks/lookup?op=get&search=0x4DDFB3F6C4E74EE4,1377289078,1452718371
wcunning,26,,1344180238,1450207814
wcurrie,2,,1414130985,1450207814
wcusack,2,,1381940426,1452920734
wcwalski,1,,1356466774,1452908391
wcy,5,,1374693296,1450207814
wcypig,1,,1408659688,1452929661
wczekalski,11,,1367757325,1450207814
