ID,Karma,About,Created,Updated
MJ11,1,,1366907098,
MJ23,1,,1277236826,
MJC,2,,1219677513,
MJConway,10,,1221583706,
MJEquine,1,"Based on traditional hoof picks, the patent pending Illuminated Hoof Pick has added an LED light, powered by two replaceable AAAs batteries, at the end of an easy grip handle. It is built tough with a stainless steel pick and is water resistant. The Illuminated Hoof Pick is a revolutionary improvement on the most basic tool in the tack room.",1355063246,
MJHardy,1,,1416708332,1416708558
MJMWahoo06,2,,1400685507,1427123654
MJR,699,,1275775088,1438323294
MJSplot_author,70,,1418060623,1452189382
MJ_IDEAS,4,,1355720282,
MJuliusKing,1,,1419650623,1419652915
MJuser,16,,1260331817,
Mjolnir,1,,1391813885,
Mjoraq,1,,1360605444,
Mjux,-1,"Yashpal Maji about design and user experience.\n   Mail me at [radar.tty] gmail",1327883389,
mj001,3,,1251690516,1452888316
mj1903,3,,1243150756,1452887906
mj2498,1,,1320334783,1452898236
mj41,5,,1422826889,1453173925
mj5151,1,,1325853087,1452899389
mj662,3,,1298755307,1452892498
mj_langford,3,,1435165955,1453170179
mjac,23,http://www.hackernewsers.com/users/mjac.html,1279195525,1450207814
mjackson,500,"Co-founder of HUM, YC Summer 2013. Previously at Path and Twitter.<p>http://twitter.com/mjackson",1333130880,1452105489
mjacob,12,,1237481189,1452887289
mjacobs,7,"Co-founder at Hello, Chair Inc. (http://hellochair.com)",1175483248,1450207814
mjadallah,1,,1272757156,1452889175
mjadobson,10,,1382792281,1450207814
mjafshar,1,,1386647273,1452926341
mjaggers,3,,1430511877,1453168699
mjainit,8,,1314717219,1450207814
mjair,3,,1276674339,1452889344
mjakl,90,,1196951517,1452348769
mjallday,133,d13b2ac1c6b22c9a1557ee5a5dd4f41855f65133,1268021324,1450207814
mjambon,7,"http://mjambon.com\nhttps://github.com/mjambon\nhttps://twitter.com/mjambontech",1283558249,1450207814
mjames32,1,,1316855956,1452896994
mjames610,8,,1362149983,1452910366
mjamesruggiero,2,,1422048618,1453165524
mjamil,21,"[ my public key: https://keybase.io/mjamil; my proof: https://keybase.io/mjamil/sigs/RMOtKXRWcabfzNPO0vrdhAA4QFdOReHfNkCx5hdtC2M ]",1399564469,1450207814
mjanajri,1,"ex-strategy consultant - math dude - marketer - entrepreneur - i love UX design",1363098629,1452922069
mjands,1,,1339108810,1453169608
mjaneczek,17,,1443037340,1453172565
mjanes,3,,1304633012,1450207814
mjangda,1,,1281839695,1450207814
mjanicki,1,,1420230186,1453164934
mjanke,14,,1382614143,1452917612
mjankowski,24,"I design and build light and fast business apps.<p>http://linkedin.com/in/maciej",1327327792,1450207814
mjansen401,1,,1323967201,1452898908
mjanuszewski,1,,1373710307,1450207814
mjard,31,,1263106980,1450207814
mjasay,2,,1351603998,1450207814
mjawa,3,,1409421328,1450207814
mjayfan92,1,,1384135303,1452918382
mjayyab,1,,1307710306,1452899157
mjb,829,,1267115106,1450226654
mjb394,3,,1426629411,1453167291
mjballs,3,http://mahathirjamah.com,1322981491,1452903596
mjbellantoni,524,http://www.matthewbellantoni.com,1308256163,1451567747
mjberg01,2,,1440972231,1453172471
mjbeswick,1,,1305123648,1452918781
mjbh7k,22,,1454789248,1455024994
mjblack,2,,1387809235,1450207814
mjbommar,38,,1238113169,1450207814
mjbraun,13,,1310474304,1450207814
mjbrownie,2,,1362018639,1450207814
mjbruder,5,mjbruder.com<p>@mjbruder,1269370019,1452889058
mjbs,13,,1448250179,1453174083
mjburgess,707,,1326966067,1451570422
mjcarroll,6,,1410870962,1450207814
mjcl,8,,1309153853,1453171316
mjclemente,1,,1383659591,1452921067
mjcmirr,5,,1302056275,1452893232
mjcohen,135,,1275789489,1452732896
mjcohenw,54,,1317355879,1452897187
mjconnor,1,,1374167568,1452914857
mjcraft,1,,1357875751,1452912053
mjcsmf,4,,1439302057,1453172056
mjcunningham,3,,1324919130,1452901360
mjcuva,4,,1350842948,1450207814
mjd,139,"http://blog.plover.com/\nhttp://enwp.org/Mark_Jason_Dominus",1203009522,1450207814
mjdeayala,1,"Heading Recruitment at MemSQL",1429561201,1453168348
mjdecour,26,"26 year old American from Florida/North Carolina now living in Aachen, Germany. I like to write random blog posts occasionally and like to build excellent products.",1289883393,1452891611
mjdesa,28,,1313149207,1450207814
mjdhasan,1,,1326576341,1452906723
mjdipietro,696,"Howdy. Matt here. I live in San Francisco, work on the interwebs, and spend my free-time either in the mountains, or, lately, on my surfboard. I&#x27;m currently VP of Marketing & Communications at Justin.tv. I&#x27;m also founder and editor of Sierra Journal where I write about climbing, skiing, outdoor gear and environmental issues in the Sierra Nevada.",1285624038,1452892217
mjdk,5,,1357977170,1452908746
mjdn,5,,1361955348,1452910323
mjdonovan,1,"By education and experience I am an engineer, marketeer,innovator and entrepeneur. I have over 25 years of high tech experience, including successful startup experience. I have designed and marketed ICs, computers and networking equipment, radars and missles. I was on the founding team of Cimaron Communications that within 13 months converted a $4M VC investment into a $115M company sale. I then started a home improvement website that generates 1.5M+ visitors per year and generates 6 figures in income annually.<p>I also hold a BSEE and an MBA.",1315052977,1452896391
mjdude,1,,1413069165,1450207814
mjdwitt,120,"CS undergrad student at Indiana University.",1298869688,1450207814
mje,-3,,1333472139,1452906073
mje__,119,,1339143950,1450207814
mjeason,1,marshalleason.com,1272365924,1452889245
mjec,33,"[ my public key: https://keybase.io/mjec; my proof: https://keybase.io/mjec/sigs/7JBoa37wLo1VzB3kfLCXJkoZr0bE2qCm7bSf6gHRoZ0 ]",1405466956,1450207814
mjehanzeb,1,,1366492166,1450207814
mjen,2,,1357213774,1452908561
mjenkins,1,,1301988381,1452893181
mjenno,1,,1389619503,1452920110
mjeppsen,1,,1242281155,1452887871
mjerem34,2,,1423816139,1453166745
mjevans,285,,1407272354,1452887819
mjewkes,19,,1343407103,1450207814
mjf2,2,,1365215599,1451883169
mjfern,9186,,1230846287,1450207814
mjferring,1,,1346032595,1450207814
mjffjm,46,,1341948243,1450207814
mjfisher,77,,1280229884,1450207814
mjfl,337,,1371481995,1452095614
mjfs90,1,,1360618082,1452909696
mjg,1,,1266345463,1452888889
mjg23,1,,1325866232,1452902180
mjg4775,1,,1435798121,1453170412
mjg59,1407,"Linux kernel and security developer at CoreOS, experienced in power management, mobile hardware and firmware interaction. I&#x27;m @mjg59 on Twitter and blog at mjg59.dreamwidth.org . I used to work on fruitflies. This is more relaxing.<p>[ my public key: https://keybase.io/mjg59; my proof: https://keybase.io/mjg59/sigs/1nzROHRbn3xz5zA0YGMRsbiPahYUreIHH3JNmK3a1oE ]",1306881512,1451434151
mjgaiss,2,,1380811764,1452917015
mjgalbo,1,,1329487028,1450207814
mjgardner,6,"[ my public key: https://keybase.io/mjgardner; my proof: https://keybase.io/mjgardner/sigs/0LtM8kQwkFTFHSL7c5OwBjH3bt_khUqxHYPc0tJgfBw ]",1320338669,1450207814
mjgeddes,3,,1452217268,1453175078
mjglloekgk,1,,1335372573,1452902431
mjgm,3,,1321468163,1452898756
mjgoeke,8,,1371768083,1450207814
mjgoins,836,,1230669278,1450716385
mjgold,49,"Founder of Breakthrough.com (acquired by MDLIVE), former Product Manager at PayPal, dog lover",1244186492,1450207814
mjgroves,1,,1444590094,1453173264
mjh,3,,1243233411,1452888115
mjh2539,0,"I mess with things to understand them. I do this in hope of improving them, or getting them what they&#x27;re supposed to do.<p>Broad interests: Logic, computation, philosophy.",1410907438,1453167129
mjh8136,629,,1265122191,1452889947
mjhagen,42,"CTO, co-owner and cfml dev at E-Line Websolutions.",1293460413,1450207814
mjhall,55,"CS PhD student at Sheffield University, working in reverse engineering & state machines.",1306932171,1452894379
mjhall79,1,,1379351670,1452916512
mjharden1,16,,1373218851,1452914557
mjharden79,3,,1334769081,1450207814
mjhayter,1,,1403607726,1450207814
mjhea0,861,http://realpython.com,1353108502,1452716279
mjheil,1,,1360675111,1452909763
mjhirn,88,,1443783432,1453173670
mjhitchins,1,,1288883532,1452898339
mjhnghfh,102,,1269270708,1452889012
mjhoffmeyer,1,,1303866489,1452893643
mjhouck,1,,1357174144,1452908561
mjhouse,7,"I&#x27;m a CS student at the University of Alabama in Huntsville. At any given time I have half-a-dozen ideas bouncing around in my head, and I don&#x27;t have the skills to make most of them. I&#x27;d like to build something worth using at some point.",1406682433,1450207814
