ID,Karma,About,Created,Updated
zCI,1,,1417479828,1450267840
zc,10,,1241857792,1452887906
zcaceres,6,"exec director of Startup Cities Institute. award-winning writer and journalist. winner of Legatum Institute&#x27;s Charles Street Symposium for economists under 35. interviewed by Foreign Policy, Virgin.com, the Atlantic, and many others",1410479229,1450207814
zcachorro,0,,1318354716,1452897594
zcam,66,,1267815921,1452868478
zcarter,38,,1363296553,1450207814
zcase,92,,1382913804,1450207814
zcat,2,,1264859950,1452888810
zcaudate,4,,1380168527,1450207814
zcbenz,15,,1393468417,1453172818
zcchen3n5b,1,,1311563839,1452895305
zcdziura,142,,1401504617,1452116676
zceid06,1,,1350644766,1452909149
zcfgh,1,,1319200092,1452897883
zch,1,"84co.com\n@zhcr",1295412977,1452919207
zchbfq822,1,,1331805198,1452900782
zchr,10,,1301442352,1452909149
zchry,4,,1364439642,1452911456
zchyc,1,,1312681422,1452895688
zcid,389,,1288909369,1450207814
zcif,1,,1377204546,1452915703
zck,2320,"My website: http://zck.me . I&#x27;ll have more content eventually.<p>My rarely-used twitter: http://twitter.com/zckzck<p>email:zkanfer@Google&#x27;s eMAIL",1222285821,1452882397
zckevin,8,"Coder,funny guy.",1328424199,1450207814
zcksjdn,17,"tumblr.zacksjoden.com | flickr.com/zackxf<p>Aspiring developer, beginning designer. Photographer. Unfortunately a Network Tech.",1299186792,1452892737
zclayton,2,,1221757464,1452886572
zclevenger,1,,1322602834,1452898619
zclqqwwgd,1,,1312441110,1452895595
zcoelius,9,,1180030996,1437440579
zcombinator,41,,1205439159,1450207814
zcopley,162,,1241458331,1450207814
zcore,8,,1432629772,1453169397
zcourts2,1,,1357867517,1452908688
zcrar70,638,,1225888913,1450207814
zcs,11,,1249252517,1450207814
zcserei,1,,1422554811,1453165686
zcucumber,1,,1410330042,1452930789
zcumbag,1,,1399633150,1452924244
zcuskelly,1,"Founder, Pogoseat (current)\nFounder, Yocal Music (previous)",1364600746,1452911496
zcutlip,2,,1435072780,1453170143
zcvosdfdgj,169,,1342556157,1452904654
zcxgxcvgdfg,8,,1421346022,1453165561
