ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
MGT,0,2,0.0,1,0,,1360071735,
Mgalac,0,7,0.0,10,0,,1358198057,
Mgccl,0,125,3.0,9,44,http://chaoxuprime.com,1279466517,
Mgreen,0,209,3.0,17,18,,1235074532,
mg001,0,1,0.0,0,0,,1440947674,1453172954
mg0314a,0,1,0.0,1,0,,1218970739,1452919207
mg1313,0,258,1.0,94,83,,1222281541,1452886573
mg1982,0,146,0.0,0,0,,1425093617,1453166698
mg2003,0,1,0.0,0,1,,1341297940,1452904154
mg6maciej,0,1,0.0,0,0,,1422513206,1453165660
mg74,,51,0.0,0,30,,1288951746,1451211072
mg83,0,1,0.0,0,1,,1191635947,1191635947
mg_,0,8,0.0,1,1,,1352637551,1452907279
mga,,62,0.0,7,11,http://www.twitter.com/mgiraldo,1175211651,1420497990
mga226,,33,0.0,0,31,,1273938963,1450207814
mgachka,0,166,0.0,0,0,"A backend developer from France.",1436397164,1453170686
mgacosmetici,0,1,0.0,1,0,,1322157502,1452898553
mgadams3,,313,0.0,23,19,"mgadams.com\nFounder of HRX, previously Degreed.  Software engineer at OpenTable.",1358670172,1450207814
mgaffneyny,0,1,0.0,0,0,"mgaff.com<p>Twin, win, @BumpUp techxnyc voyagr",1434437159,1453169967
mgagne,0,3,0.0,3,2,"Husband, Developer, Technology Enthusiast & Photographer amongst other things.",1336600831,1452902858
mgaiss,0,2,0.0,1,0,,1301428158,1452893072
mgalbreth2013,0,1,0.0,1,0,,1359073135,1452909112
mgalgs,,1,0.0,1,2,,1342758172,1450207814
mgalica,0,4,0.0,0,4,"emcee @BEASTMODEfm, Founder @ShareSquare, LA Curator @StartupDigest  Worked at @WooMe, @Nike  Studied at @CMC  http://beastmode.fm/",1298588551,1452892498
mgalka,,538,0.0,91,71,"Data geek, New Yorker",1384314919,1452793955
mgalkiewicz,0,5,0.0,0,10,,1367848388,1452916298
mgallezot,0,4,0.0,1,2,,1325755904,1452899344
mgallivan,0,94,1.59090909090909,19,88,"gallivan.matt at gmail.com",1328111842,1452899953
mgallizzi,0,1,0.0,0,1,,1411435729,1452931722
mgalovic,0,3,0.0,0,0,,1442519454,1453172441
mgalpert,0,1,0.0,1,2,,1272252503,1452919247
mgalpin,0,24,0.0,1,0,,1307558755,1452901076
mgalves,0,9,0.0,2,1,,1200499221,1452888767
mgamache,,99,0.0,3,22,,1363877444,1450915129
mgaman,0,1,0.0,0,1,,1315180956,1452896423
mgambrell,0,9,0.0,9,1,"I do what I can",1365518668,1452914985
mgamer,,44,0.0,9,10,"software developer from gdansk, poland",1301747000,1450207814
mgamma500,0,0,0.0,0,3,,1312572459,1452897529
