ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
ZF1013,0,-2,0.0,0,0,,1452830112,1453175373
zFlix,0,15,0.0,2,4,,1266529549,1452888965
zf00002,0,56,0.0,0,0,,1423427137,1453166159
zf0fan,0,-3,0.0,0,1,,1284826539,1452890023
zf1234,0,20,0.0,0,7,,1335060089,1452902316
zfedoran,0,3,0.0,0,0,,1452649390,1453175303
zfels,0,3,0.0,0,0,,1367555536,1453168333
zferland,,119,0.0,5,12,,1344184199,1450207814
zfeuers1,,1,0.0,3,1,,1374624826,1450207814
zffcmxeb,0,1,0.0,1,0,,1312701703,1452895822
zfghjk,0,11,0.0,0,0,,1430000146,1453168464
zfierstadt,0,2,0.0,1,1,,1284514931,1452890159
zfj,0,1,0.0,0,0,,1427838233,1453167669
zfk,,13,0.0,2,1,,1204901337,1441632970
zflairz,0,1,0.0,0,0,,1433740692,1453172457
zfloopy,0,3,0.0,3,0,,1337224753,1452902981
zfogg,,1,0.0,0,2,"http://terrapinhackers.com/\nhttps://bitca.mp/\nhttp://wearableintelligence.com/\nhttp://zfo.gg/\n[ my public key: https://keybase.io/zfogg; my proof: https://keybase.io/zfogg/sigs/yTF1Tx93N_z2awB1R2XOm7aGxQYHPJIemAPWWZtvKmk ]",1391723239,1450207814
zfp,0,-3,0.0,0,0,,1391901482,1453170168
zfran,,52,2.19355,1,38,,1299611992,1450207814
zfranciscus,0,10,0.0,15,0,,1286497649,1452890159
zfrankel,0,1,0.0,0,0,,1302848192,1453171487
zfrenchee,,71,0.0,6,2,"Tufts/MIT BS CS 2016",1375663821,1450207814
zfw03158,0,1,0.0,1,0,,1338291595,1452903240
zfx,0,0,0.0,0,1,,1265446454,1452888852
zfz,0,1,0.0,0,1,,1344751417,1452914357
zfzjd3926,0,1,0.0,1,0,,1332821159,1452901145
