ID,Karma,About,Created,Updated
YYZ,1,,1277914385,1452889417
yy502,2,,1436873295,1453170742
yy633013,1,,1360175446,1452909590
yy77,0,,1395898498,1453167504
yyao,4,,1321827404,1450207814
yybb,1,,1428317435,1453167865
yycom,120,,1246265830,1452888024
yydeztu5,1,,1318320881,1452897594
yyeehppp,1,,1441181657,1453172033
yyer9847id,1,,1333020977,1452901281
yyespark,1,,1415074913,1450207814
yyfjmb,1,,1444993001,1453173118
yyg0iebu3x4o6xv,1,,1333293910,1452901281
yyhhsj0521,37,,1415366851,1453165757
yyin,13,,1454344214,1454885328
yyjhao,2,"CS in National University of Singapore",1344234827,1452918877
yyjjghvhk,1,,1331798133,1452900708
yyl,-3,,1360376153,1450207814
yyll,12,,1304176363,1452893560
yylunwend,1,,1316059584,1452897385
yypark,41,,1396547123,1450207814
yyqux,73,,1364315122,1452911418
yyr44,1,,1346223785,1452905646
yyttrr,-1,,1363107772,1452910766
yyuio,1,,1368232487,1452912297
yywfrank,1,,1321648572,1452898481
yywlyx573,1,,1312283771,1452895525
yywt,13,,1293252566,1452891944
yyy,1,,1192229701,1192229701
yyyooolll,1,,1395970439,1452922528
yyyt,24,,1333526073,1452901360
yyyuuu,37,,1439367152,1453172818
yyyy,3,,1296675229,1452892217
yyyy-mm-dd,2,,1414397902,1450207814
yyyyes,14,,1432018723,1453169287
yyyymmdd,2,,1399476006,1452924205
yyyytttt,1,,1356173645,1452908317
yyyyyak,4,,1438743511,1453171316
yyyyyyy5,8,,1313398279,1452895822
yyyyyyyyyi5,3,,1313402480,1452895902
yyz_rush,3,,1443189258,1453172880
yyzfan,1,,1278039240,1452889417
yyztech,6,,1325712740,1452899344
yyzyvr,76,,1308164246,1450207814
yyzyyz,2,,1345747503,1452905507
