ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
YBibo,,2,0.0,0,1,,1411024071,1450207814
YBorder,0,5,0.0,0,0,,1445439241,1453173219
yb,0,12,0.0,0,0,,1249971573,1452888235
yb66,,5,0.0,0,21,,1335534123,1450207814
yb927,0,2,0.0,0,1,,1175970374,1175970374
ybacon,0,2,0.0,0,0,,1444744125,1453173033
ybakos,0,1,0.0,0,1,,1314815917,1452896359
ybalkind,,28,0.0,7,7,,1381324070,1450207814
ybart,,1,0.0,0,1,,1406761343,1450207814
ybasnet,0,1,0.0,0,1,,1217674039,1452886424
ybaumes,,46,1.73171,2,49,"Paris developer. C++ server side.",1333356698,1450207814
ybd,0,6,0.0,3,0,,1283993904,1452889947
ybd_60,0,1,0.0,1,0,,1334479370,1452901775
ybden,0,1,0.0,0,0,,1451568015,1453175401
ybestupid,0,1,0.0,1,0,,1411788853,1452931984
ybfishel,0,2,0.0,1,0,,1307994860,1452894279
ybhcf2006,0,1,0.0,0,0,,1410383665,1453171613
ybinur,,1,0.0,1,0,,1287081794,1450207814
yblokhin,,61,0.0,7,16,,1289059997,1450207814
yblondeau,0,2,0.0,1,0,,1379938450,1452916768
yblu,,506,0.0,9,44,,1395346302,1452383873
ybmew,0,3,0.0,0,1,,1377546261,1452915749
ybooger,0,1,0.0,0,2,,1290625352,1452891526
yborg,,104,0.0,0,28,,1417022614,1452427610
ybot,,89,0.0,3,13,"CS/EE student at Case Western Reserve University.<p>email: toby dot waite at gmail dot com<p>twitter: tobywaite",1256959508,1450207814
ybother,0,18,0.0,0,25,,1342202819,1452904585
ybred,0,2,0.0,0,1,,1374233767,1452914857
ybroze,,1,0.0,1,0,,1409957743,1450207814
ybrs,,15,0.0,1,12,"solution developer",1300467224,1450207814
ybrushinator,,5,0.0,2,1,"Entrepreneur, Bradly Couch - Heyternet | Social Commerce as a Service (SCaaS)",1407728400,1450207814
ybungalobill,0,2,0.0,0,4,,1335857210,1452902546
yburnsy,0,10,0.0,0,1,,1383153257,1452917846
ybv,,1,0.0,1,2,http://ybv.github.io,1397594510,1450207814
ybw601,0,1,0.0,0,0,,1433974568,1453169836
ybx,0,107,0.0,0,0,,1444146559,1453172856
