ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
0fa2,0,3,0.0,0,1,,1337054658,
0ffh,0,0,0.0,0,1,,1243365026,
0fficialWarez,0,1,0.0,1,0,,1303413819,
0ffw0rlder,0,-38,0.0,1,13,,1305840499,
0ffworlder,0,-5,0.0,0,15,,1250407371,
0fucks,0,-11,0.0,0,4,,1435740401,1435778399
0fx,0,19,0.0,0,6,,1449552881,1451203789
1F427,0,1,0.0,0,1,,1393064810,1435733318
1fatboy,0,1,0.0,0,2,,1427658800,1427659323
1fdc0f893412ce5,0,2,0.0,1,0,,1384228668,
1frustatedguy,0,1,0.0,1,0,,1422548768,1422549881
2FA,0,1,0.0,0,1,,1305305456,
2Fdev2Fnull,0,1,0.0,0,1,,1437785918,1437786055
2f3opkvelf,0,-4,0.0,0,1,,1424302495,1424305708
2fishy,0,2,0.0,1,0,,1367934071,
3f29n53sa0,0,1,0.0,1,0,,1315647056,
3f48f9fh,0,5,0.0,0,1,,1415636876,1415771312
3ff2fe3i8e,0,1,0.0,1,0,,1317364033,
3fiddyz,0,4,0.0,0,3,,1262230163,
3flp,0,23,0.0,0,3,,1202444091,1415489143
3fuff,0,-26,0.0,0,2,,1412934627,1412980745
4feuilles,0,1,0.0,1,0,,1345363519,
5F36B5F62640,0,40,0.0,0,9,,1389472612,1452765644
5f9h3y6r7c2j,0,1,0.0,2,0,,1314963802,
5foot2,0,17,0.0,17,0,,1336240219,
5fs3,0,1,0.0,0,1,,1396355002,
6fBliuulVsmTCe8,0,2,0.0,0,1,,1415981971,1415982247
6fBliuulVsmTCe9,0,3,0.0,0,1,,1415984246,1415986424
6footgeek,0,2,0.0,0,2,"[ my public key: https://keybase.io/6footgeek; my proof: https://keybase.io/6footgeek/sigs/ahPUXXkE8MIpUEGp2rixr7TFL0RAZUwTrjnBYrcoc8g ]",1420794318,1450879692
7Figures2Commas,0,3035,2.25,23,1127,"RETIRED 11/17/2015",1365188378,1447872687
7f0415f3,0,5,0.0,0,1,,1358068157,
8Figure,0,1,0.0,1,0,,1341672223,
8f1k7u0a5,0,1,0.0,1,0,,1336485084,
8f2ab37a-ed6c,0,6,0.0,0,1,,1415335041,1415436169
8f7fd73m087b,0,1,0.0,6,0,,1331731257,
8files,0,1,0.0,2,0,"the best free ebooks and documents digital library http://8files.com/",1433257869,1435250438
8frogs,0,1,0.0,4,0,,1346836600,
9f94wGqJ4g,0,13,0.0,0,1,,1383664089,
9fQmdW9K,0,7,0.0,0,1,,1452061163,1452091961
9fb29947,0,92,0.0,3,14,,1440616491,1443189430
AF,0,140,3.0,3,80,,1176074420,
AFGsunStudio,0,1,0.0,1,0,,1366477132,
AFRASER1986,0,1,0.0,1,0,,1380442049,
AFerenci,0,19,0.0,13,6,"restless 23yr old. founder of www.spinback.com<p>www.andrewferenci.com",1265509674,
AFlick,0,1,0.0,0,1,,1297719735,
AFrench,0,6,0.0,0,1,,1370007624,
Afal,0,95,2.8,1,36,,1332863986,1413816433
Afeighery,0,1,0.0,1,0,,1333074463,1428590250
AffableSpatula,0,217,2.0,14,73,"web engineer living in the UK<p>I am affable, but not actually a spatula.<p>http://twitter.com/mikekelly85",1296487957,1444693572
Affinnova1,0,1,0.0,1,0,,1277313854,
Affliction,0,1,0.0,1,2,,1367321712,
