ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
0-,0,1,0.0,0,1,,1394614453,
0-0,0,2,0.0,0,0,,1259866371,
0-4,0,-21,0.0,0,12,,1288394173,
0-_-_-_-_-_-_-0,0,5,0.0,0,5,,1341047296,
0-o,0,16,0.0,4,9,,1394494660,1431704972
000,0,1,0.0,0,0,,1175355555,
0000000000,0,1,0.0,1,0,,1314891284,
00000000swan,0,2,0.0,0,2,,1347236540,
000000swan,0,1,0.0,1,0,,1351834586,
00001101,0,1,0.0,0,1,,1363548028,
00001212,0,1,0.0,1,0,,1311145594,
000086,0,6,0.0,0,5,,1429790164,1429819033
0000vk,0,1,0.0,0,2,,1218035104,
00010,0,12,0.0,0,4,,1298728560,
00011010101,0,1,0.0,0,1,,1337551766,
0003,0,99,2.63636,1,75,,1296527488,1451412116
0007,0,1,0.0,1,0,,1307161188,
00098001918291,0,4,0.0,0,1,,1423470230,1423500530
001,0,2,0.0,0,2,,1304835660,
001001,0,1,0.0,1,0,,1313087983,
00101000100101,0,9,0.0,0,4,,1327650475,
0013411101,0,8,0.0,0,5,,1398446362,
001sky,0,14210,1.45455,1356,3516,"Flag |Edit | Kill | Blast | Nuke | Delete",1345487553,1452614845
001spartan,0,136,0.0,1,46,"I like to break things. I want to get better at it.",1383336031,1452646863
005-18,0,1,0.0,0,1,,1393778012,
005945,0,1,0.0,1,0,,1315205670,
007emma007,0,2,0.0,1,8,www.techcrump.com,1372855041,
007jim,0,1,0.0,2,0,,1311671234,
007lva,0,1,0.0,0,1,,1432745356,1432745392
007mvg,0,1,0.0,1,0,,1313407863,
009900giant,0,1,0.0,0,1,"I am frozen veg",1436458495,1438372178
0099ff,0,1,0.0,1,0,,1332357300,1427655385
00A5,0,2,0.0,0,0,,1251325887,
00_NOP,0,93,0.0,57,1,,1340655836,1422043004
00bama,0,1,0.0,0,0,,1247752191,
00bemccurrachp,0,6,0.0,0,1,,1250583550,1415826379
00brittanj2,0,1,0.0,1,0,,1396014218,
00cathexis,0,1,0.0,0,1,,1447811662,1447811770
00daftstar,0,1,0.0,0,1,,1405200548,
00deadbeef,0,8,0.0,0,1,,1451607308,1451690908
00dgm,0,3,0.0,0,1,,1315441735,
00hendri,0,1,0.0,1,0,,1365497821,
00joe,0,481,3.0,12,35,,1249157752,
00melo00,0,1,0.0,0,1,,1410828757,
00o,0,1,0.0,1,0,,1359195115,
00rion,0,36,1.81481481481482,0,34,,1364486327,
00taffe,0,1,0.0,2,0,"| Front-end developer | \nStartup, RemoteWork, Travel and Pizza!",1446381762,1451041738
00wizard,0,1,0.0,0,1,,1441838675,1446657167
0100011101101,0,1,0.0,0,1,,1204684838,
01002637764,0,1,0.0,0,1,,1442236956,1442236984
0101,0,2,0.0,0,1,,1375520273,1422291105
010100101,0,0,0.0,0,3,,1319578936,
010101,0,1,0.0,0,0,,1249848303,
0101010101,0,1,0.0,1,0,,1314056915,
010a,0,2,0.0,0,2,,1449017801,1450762623
01101010,0,2,0.0,0,2,"iOS developer",1253574824,1420944750
011011100,0,98,2.25641025641026,1,70,,1377730114,
01110000,0,1,0.0,0,1,,1430184134,1430184169
011100000110010,0,3,0.0,1,2,0111000001100100,1314740563,1425031256
01111000,0,1,0.0,0,1,,1323734453,
011110111111111,0,14,0.0,0,5,,1404853442,1420830927
0112358,0,4,0.0,0,4,,1229204511,
01124352400,0,-2,0.0,0,1,,1440874864,1440894982
01204707615,0,1,0.0,0,2,,1422231413,1422232407
0123456789,0,3,0.0,0,4,,1188704285,
012673,0,5,0.0,0,1,,1386337403,1432354929
013,0,25,0.0,1,34,,1374482494,
0161,0,50,0.0,1,10,,1397553357,
0172,0,4,0.0,0,5,,1401845645,1425495849
017e075160b,0,2,0.0,0,1,,1387243143,
01Michael10,0,1180,0.977273,46,253,"Friends call me MJ - I am just a computer technician in Buffalo, NY and a long time reader of Hacker News.",1279647089,1452711827
