ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
D-Coder,0,126,0.0,1,41,,1281467524,1451082364
D-Train,0,24,1.13636,23,35,"Body Boss is a web tool that enhances athletic performance by monitoring workout results instantly.<p>Our Dream Team: http://www.bodybossfitness.com/about<p>Our slick site: http://www.bodybossfitness.com<p>Launched in January 2013 bootstrapping. Traction with high schools, colleges, large retail gyms, and NFL teams.",1330097928,1431621812
D-magik,0,2,0.0,2,0,,1393646931,
D-mo,0,39,0.0,7,6,,1281481443,
D-piano,0,1,0.0,1,0,"Director and owner of Riverside Music Studios in New York, NY",1365620598,
d--b,,156,1.0,4,113,,1345724151,1452631425
d-32,,2,0.0,3,0,"Software developer from Switzerland. I like to make nice things, check out my work: www.d-32.com",1406184256,1450207814
d-Pixie,0,4,0.0,0,0,,1449432322,1453174386
d-_-b,,32,0.0,1,2,https://github.com/svg,1353187795,1450207814
d-a-n,0,1,0.0,0,0,,1444913054,1453173089
d-ash,0,12,0.0,0,0,,1252868553,1452888344
d-crane,0,1,0.0,0,0,,1436467914,1453171024
d-equivalence,0,48,0.0,0,0,,1428344321,1453167882
d-goldin,0,3,0.0,0,0,,1446485731,1453173508
d-guy,0,1,0.0,1,0,,1401117199,1452924752
d-jones,0,7,0.0,0,0,,1444948165,1453173089
d-k,0,34,0.0,21,1,,1383022173,1452917786
d-lectable,0,108,0.0,6,9,,1311178497,1452895595
d-m,0,7,0.0,0,0,,1446057922,1453174500
d-m-c,0,1,0.0,0,0,,1426972556,1453168438
d-mac,0,2,0.0,1,0,"Former DJ and current music lover who enjoys starting and running websites",1350663431,1452906850
d-miner,0,14,0.0,7,1,,1349261891,1452906416
d-mon,0,2,0.0,1,0,"Had to start a new account after SSO was removed...",1340387928,1452907747
d-power,0,6,0.0,3,0,,1392729006,1452921535
d-rex,0,2,0.0,0,1,"Software developer at Fog Creek Software",1230592204,1452886955
d-rock,0,2,0.0,0,2,,1233958731,1452887114
d-ronnqvist,0,1,0.0,0,1,,1409215926,1452929997
d-roo,,26,0.0,0,5,,1318272542,1450207814
