ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
UGG113,0,1,0.0,5,0,,1329892368,1452900414
Ugarte,0,6,0.0,0,7,,1304221939,1452893560
Ugh_seriously,0,1,0.0,0,2,,1366643433,1452911874
UglyFont,,1,0.0,0,1,,1416061066,1450207814
UglyandTruly,0,1,0.0,1,0,,1397898727,1452923363
Uglyfruit,0,16,0.0,13,6,"To be able to ""really see"" something, you should not call it with any word. Than you will see what it actually is. Free your mind from words and start practicing pictorial viewing. You will see what others cannot see.",1328488447,1452900235
Ugnius,0,2,0.0,0,1,,1343241762,1452904814
uga1986,0,1,0.0,0,1,,1373467400,1452914619
ugabugawugaguga,0,2,0.0,1,0,,1266304307,1452888852
ugandatours,0,1,0.0,2,0,"We organize gorilla trekking and wildlife tours in Rwanda, Uganda, Burundi and Congo ranging from short gorilla treks of 2 days to long trips combined with other activities such as chimpanzee tracking, game viewing.",1304946855,1452893643
ugdev,,4,0.0,2,7,,1398070158,1450207814
ugdjan,0,1,0.0,4,0,,1315763222,1452896490
ugene8,0,1,0.0,1,0,,1309996572,1452894811
ugenetics,0,30,0.0,0,0,,1446229415,1453173423
uger,,125,0.0,8,2,,1399392764,1451345247
ugexe,,104,1.61364,0,107,,1380140404,1451810796
ugg6j6n9260,0,1,0.0,1,0,,1333248457,1452901281
uggboot1,0,1,0.0,0,1,,1351073435,1452906940
uggedal,,4091,2.40909,112,325,"My home: http://uggedal.com<p>My apps: http://wasitup.com and http://mediaqueri.es<p>Twitter: http://twitter.com/uggedal<p>[ my public key: https://keybase.io/uggedal; my proof: https://keybase.io/uggedal/sigs/grS9Pb1-qxHhN__qV9SslemueB-emj3r681G0odJhek ]",1217433980,1450207814
ugglan,0,1,0.0,0,1,,1243931358,1452887944
uggsale422,0,1,0.0,1,0,,1350548275,1452906850
uggxuedixue5,0,1,0.0,6,0,,1315904488,1452896588
ugh,0,16035,3.0,107,3780,,1251296487,1452888284
ugh123,,52,0.0,0,42,,1405023857,1452239869
ughanotherone,0,-5,0.0,0,0,,1425230760,1453166722
ughee,0,1,0.0,0,1,,1400454254,1452924467
ughugh,0,2,0.0,0,1,,1333421212,1452901360
ugiflezet,,2,0.0,0,1,,1248942985,1450207814
ugisozols,,2,0.0,7,6,"Software Developer. Available for hire.",1325743317,1450207814
ugjdb2611,0,1,0.0,1,0,,1315223866,1452896423
ugk,,29,0.0,0,31,,1353973452,1450207814
ugknite,0,2,0.0,0,1,,1340029028,1452903557
uglow,0,2,0.0,0,0,,1426195901,1453167146
uglyclown,0,1,0.0,0,1,,1352133321,1452907138
uglycode,0,-1,0.0,0,1,,1300244858,1452892737
uglycoyote,,13,0.0,2,7,,1382966817,1450207814
uglydolls,0,1,0.0,0,0,,1422140287,1453165550
uglyduckling,0,1,0.0,0,0,,1192803005,1192803005
uglyduckling_nl,0,4,0.0,2,0,"Why are we called Ugly Duckling? Because we believe that, with the right level of nurturing, commitment and quality, every person and every business can grow into something beautiful. Engineering can be a positive force for change. We want to help our clients to engineer their organizations and grow in a way that works for them and for society.<p>http://uglyduckling.nl",1344928939,1452905249
uglyfatguy,0,1,0.0,1,0,,1393433057,1452921927
uglymaann,0,1,0.0,0,1,,1346409969,1452905701
uglymunky,0,1,0.0,0,1,,1334285369,1452901744
uglytom,0,10,0.0,0,8,"I am an undergraduate computer science student at the Georgia Institute of technology studying online communities.",1360823660,1452909844
ugniss,0,1,0.0,0,1,,1347634823,1452906073
ugoano,0,-1,0.0,0,6,,1406547714,1452928126
ugobe1,0,1,0.0,0,1,,1335112395,1452902316
ugolino91,0,2,0.0,0,0,,1394322725,1453171869
ugor,0,1,0.0,1,0,,1403559712,1452925992
ugorelik,0,5,0.0,2,1,,1327606288,1452899681
ugorji,,3,0.0,2,3,,1370451412,1450207814
ugspider,0,2,0.0,0,0,,1428211862,1453170029
ugtastic,,14,0.0,17,2,"I love tech community and interviewing. So I put those two together on UGtastic.com. Over 125 interviews with user-group & tech conf organizers, F/OSS contributors, noted speakers, authors, and community influencers.",1370921517,1450207814
ugtechno,0,1,0.0,1,0,,1316071686,1452896759
ugur,0,1,0.0,0,1,,1296745830,1452901360
ugurk,0,1,0.0,0,0,,1387981501,1453165606
ugvbjhygvb,0,1,0.0,0,0,,1259086404,1452888609
ugwigr,,51,0.0,21,5,,1368055760,1451521523
ugyuyguy,0,-1,0.0,0,3,,1319050114,1452897801
