ID,Karma,About,Created,Updated
191713117532p,1,,1425035892,1425036296
192431665,4,,1424768093,1453166545
192837465,1,,1396254225,1453164108
192939210,1,,1453254366,1453493664
1938media,-4,,1267548667,
1945,34,,1364958059,1452476426
1945795,6,,1413708426,1453164921
1958,3,,1417551603,1453164921
1961arnie,1,,1312638379,
196sigma,2,,1300898462,
1971genocide,149,,1402566016,1451715730
19740626,1,,1331357430,1453163971
1978qw,1,,1303953180,
1981,1,,1259889204,1453163933
1986,2,,1419957046,1453174000
1986v,153,,1380887221,1441376861
19870213,2,,1441399652,1453172726
19871986,1,,1379598419,1453164097
19890604,6,,1422018264,1453165510
1989gaurav,1,,1336365924,
1989qe,1,,1303521501,
198d,83,,1291849248,
1993USAFAgrad,1,,1450930164,1452630808
19951010,2,,1342393788,1453163971
19999hz,1,,1387480049,
19_ploT,198,,1341313106,
19dscout,1,,1410885199,
19f191ty,1,,1443310042,1443310182
19gtneybz38,1,,1350556743,
19y4iA84hxnW,1,,1372176526,
