ID,Karma,About,Created,Updated
FK506,1,,1319135998,
FkZ,17,,1379245879,
Fkidsthesedays,1,,1446143593,1446204591
fk0,2,,1203490322,1203490322
fk06,3,,1418860976,1450267840
fk122,1,,1432211361,1453169848
fk47,2,,1172121092,1172121092
fk6,1,,1355520749,1452908274
fk_lx,1,,1401271753,1452924793
fka,276,"res publica non dominetur. / js ninja. front-end developer",1344487907,1452611588
fkaminski,1,,1351175439,1452907235
fkcek,5,"I'm a CE student in Ferrara, Italy.",1295864433,1452893233
fkchang2000,2,,1437459605,1453170924
fkdjs,110,,1343630643,1450207814
fkeel1,5,,1358843314,1452909149
fkefal,6,,1331908705,1450207814
fkeidkwdq,3,,1294317366,1452892042
fkhafdkjh,4,,1314357992,1452896231
fkhan3000,1,,1330414409,1452900295
fkhatibloo,2,,1387266960,1452919449
fkirigin,1,,1258645223,1450207814
fkistner,1,,1439670388,1453171572
fkitlas,1,,1359743348,1452909394
fkjj8h553,1,,1311349722,1452895224
fkld,1,,1398044993,1450207814
fklem,1,,1433857398,1453169788
fkmattcutts,1,,1390264426,1452920376
fkmsdta,4,,1373907712,1452914737
fkn,28,"<i>Work</i>: Business software developer.<p><i>Life goal</i>: Founding a profitable company.",1311382787,1450207814
fknfknbr,1,,1412631006,1452932728
fkooman,30,,1375554948,1452641080
fkramink,2,"A developer trying to learn more Machine Learning.",1427657861,1453167608
fkrueger,100,,1202133396,1202133396
fks,228,,1364843703,1450207814
fkssaa,7,,1385926114,1452919130
fkung,1,,1438496566,1453171218
fkunze,1,,1183911293,1453167003
fkurkowski,1,,1434084278,1453169875
fkus,2,,1368984415,1452912621
fkyou2,1,,1357238362,1452908561
fkzow999,1,,1338368205,1452903302
