ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
Y0L0,0,5,0.0,1,12,,1363942472,1452911268
Y0YO,,5,0.0,1,3,,1366982678,1450207814
Y0nash,0,-13,0.0,0,6,,1403097783,1452925596
y04nn,0,25,0.0,0,0,,1441706648,1453172175
y0ast,,157,0.0,4,1,,1340525256,1450207814
y0ghur7_xxx,,1393,2.72727,59,300,huhu,1210844891,1452120403
y0ink,0,6,0.0,0,4,,1294349880,1452894329
y0mbo,,3,0.0,2,2,,1295412404,1450207814
y0ss,0,1,0.0,0,0,,1391407918,1453169824
y0ssar1an,,45,0.0,0,2,,1395771213,1450207814
y0y,0,81,0.0,0,0,,1280992376,1453172441
y0z,0,3,0.0,1,2,,1360296357,1452911874
