ID,Karma,About,Created,Updated
IDEAS_GUY,4,"Project Tox was my idea.<p>I also contributed ideas to Fez. It&#x27;s a pretty underground indie game, so you&#x27;ve probably never heard of it.",1375123593,
IDGConnect,1,,1306587928,
IDH,1,,1450186186,1450187599
IDUEHE,1,,1364310417,
IDWMaster,9,,1370579137,
IDWMaster1,1,,1446736916,1446744389
ID_10T,4,,1372662093,
ID_HOME,1,,1389145360,
ID_USER_TOKEN,1,,1407509854,
IDevelopIOSApps,8,,1305929983,
IDislikeNames,1,,1430506972,1430507073
IDisposable,6,,1337986558,
IDisposableHero,143,,1298296148,
IDrive,7,,1414434618,1415195460
IdAgreeWithThat,4,,1401200647,
IdahoEv,55,,1288906601,1437756848
Idam,1,,1377472606,
IdanMeir,2,,1409325264,1415893145
IdeaExcursion,5,,1236804677,
IdeaGarage,7,,1291775148,
IdeaGuy,2,,1294004206,
IdeaHamster,569,,1256722767,1417434607
IdeaSponge,1,"A keen eyed explorer from the realm of dreams. Swift on my feet and a song in my heart, I am infatuated with the creative process and have no fear in trying new things(in theory). Forever bold and good natured, my life long goal is to eradicate human trafficking and poverty through the advancement of technology and design.<p>I've been an imagineer all my life and with that comes many adventures. I think of myself as the Sean Penn of the tech industry with a good dose of da Vinci thrown in.<p>For more about me start here http://about.me/glenn.barres.jr",1349498509,
IdeaSquares,1,,1381763772,
IdeaSquares_,3,,1414135306,1414163799
IdeaSunday,20,,1416156679,1427188531
IdeaVentura,5,Entrepreneur,1307405351,
Ideabile,12,,1382280893,1448814842
Ideal1,1,,1323540519,
IdealEthos,0,,1354657365,
Idealgolden,1,,1311783308,
Idealistr,1,,1406179658,
Ideas_Fisherman,3,,1377008046,
Ideka,603,,1304379501,1425768233
Ideorex,1,,1378265889,
Idered,239,http://designitcodeit.com,1327349582,1439150760
Idhackthat,1,,1323192351,
Ididntdoit,3,,1376745422,
Idiocracy,1,,1430278218,1430315846
Idiosyncra3y,3,,1380498423,1417406920
Idioteque,15,,1366036288,
IdleChris,3,,1407172040,1442426593
Idocrase,1,,1394049469,
Idodo,7,,1326296514,
Idontagree,15,,1440171375,1451556847
Idontlikeyou,-2,,1307231539,
Idothis,1,,1389419888,
iD3,9,,1403553493,1452925992
