ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
LKAY,0,1,0.0,1,0,,1310136033,
LKM,0,13,0.0,0,18,,1210055992,
LKcreative,0,1,0.0,1,0,,1387577995,
LKoi,0,4,0.0,0,2,,1313806729,
lk0,0,3,0.0,1,1,,1352324833,1452907178
lk145,,64,0.0,2,35,,1348199250,1450207814
lk4d4,0,2,0.0,0,0,,1431379507,1453170119
lkadsjhfkjsd,0,0,0.0,0,0,,1421955708,1453165495
lkahn,0,1,0.0,0,2,,1338838796,1452903362
lkamini,0,1,0.0,0,1,,1389127008,1452919851
lkanies,0,1,0.0,0,7,,1318886158,1452897738
lkarsten,,84,0.0,10,12,,1358589845,1450207814
lkateley,0,1,0.0,0,1,,1412008017,1452932152
lkaz,0,1,0.0,0,0,,1440512009,1453171827
lkbm,,587,2.68182,0,283,,1343012135,1452153099
lkbrunswick,0,2,0.0,0,1,,1331606617,1452900615
lkc,0,1,0.0,0,1,,1311318772,1452895170
lkcl,0,7,0.0,0,9,,1227955429,1452886722
lkd,0,56,0.0,0,25,,1397162180,1452922905
lkdeveloper,0,1,0.0,0,0,,1418127419,1453164974
lkdfln457,0,1,0.0,1,0,,1314492610,1452896359
lkdjiin,0,34,0.0,0,0,"TDD addict, Rubyist, data scientist padawan, serial blogger, happy Vim user, accordionist, genetic algorithm enthusiast",1440709624,1453171896
lke,,26,0.0,0,13,,1362567256,1450207814
lkedem,,1,0.0,0,2,"doing anything on and with a computer ever since i remember\nstill misses my C64",1409352390,1450207814
lkedol,0,2,0.0,1,0,,1357299852,1452908599
lkempe,0,1,0.0,0,2,,1391012343,1452920734
lken,0,1,0.0,0,1,,1294671655,1452892069
lkesteloot,,290,0.0,3,46,,1291233433,1450207814
lkewnflkef,0,1,0.0,0,0,,1451892202,1453174946
lkey,,10,0.0,0,3,,1381278491,1450207814
lkfewnf,0,1,0.0,0,0,,1443825957,1453172791
lkfj43qlkfj34l,0,1,0.0,0,1,,1400132522,1452924414
lkfnlkewmf,0,1,0.0,0,0,,1450410676,1453174640
lkforanswers,0,1,0.0,1,0,,1384635317,1452918781
lkgj,0,9,0.0,1,2,,1358205612,1452908808
lkgnmlkrewmgre,0,32,0.0,0,0,,1450159514,1453174562
lkgrace,0,4,0.0,9,0,,1333390685,1452901400
lkheack,0,1,0.0,1,0,,1339748445,1452903523
lkhjafsklhjadfs,0,-1,0.0,0,0,,1428440601,1453167926
lkiernan,0,15,0.0,0,0,,1426365048,1453167644
lkijuhyghj,0,4,0.0,0,1,,1284956493,1452890023
lkijuhyghjm,0,41,0.0,0,11,,1271428717,1452889111
lkijuhygtfd,0,27,0.0,0,13,,1287264562,1452890226
