ID,Karma,About,Created,Updated
IT-noob,2,,1320702024,
ITB,6,,1393606511,1446776461
ITChimes,1,,1268222289,
ITGabs,1,,1411836738,1413249562
ITGleek,-3,,1442505100,1442518980
ITSABUBBLEGUYS,1,,1337330672,
ITSOLUTIONS,1,,1315466957,
ITShared,2,,1425491921,1429872926
ITSharedBlog,8,,1433960137,1451087426
ITSmartDesk,1,,1322604921,
ITSupportGuru,2,http://www.integral-it.co.uk,1317989362,
ITWarrior,2,"Web application developer and CS student from the Netherlands",1340033338,1438142851
ITWarrior1024,1,"I'm a IT student at the Radboud University Nijmegen, the Netherlands. I'm passionate about hacking and programming. I've always had a soft-spot for travel especially North America.",1366031669,
ITgangsta,1,,1212444314,
IThoughtYouGNU,-2,,1356628944,1422070953
IThrowAway,1,,1414648585,1414649471
ITpro,2,Programmer/Developer/Artist/Designer/Inventor,1415290258,1415387772
ITwitchToo,4,,1412278346,1414879941
It_,1,,1414771222,1414771317
ItarPeyo,-15,,1276210801,
Itaxpica,94,,1331692900,1447337512
ItendToDisagree,708,"I have no opinion on things that require no opinion.<p>Technology is one of those things.",1385867149,1433252544
Iter8er,2,,1274840822,
Iterated,39,,1363584954,
IterationMonkey,1,,1375579652,
Itesso,1,,1435785949,1435830952
Itf,1,,1308293801,
Itold00001,1,,1327998158,
ItsADiegel,10,"Marketing Coordinator at Spree Commerce",1397688757,1416412993
ItsAlreadyHere,1,,1370968349,
ItsBilly,5,,1293305835,
ItsChucky,2,,1445951725,1446040657
ItsDeathball,47,,1428606219,1451947838
ItsFixed,1,,1321348034,
ItsJason,1,,1376667334,
ItsJoeTurner,1,,1372072939,
ItsJohnnyBoy,1,,1433036051,1433036072
ItsMattyG,6,,1408004207,1452067977
ItsMeVlad,1,,1452250639,1452251031
ItsTrueYouKnow,11,,1307124490,
ItsWinterHello,1,,1390846897,
Itsameee,1,,1434488468,1434488821
Itscurt,3,,1376819938,
Itsmetoo,1,,1346166995,
Itvweb,1,,1272853595,
Itweaker,1,,1276629112,
ItyBit,1,,1299430123,
iTechKnow,1,"UC Berkeley entrepreneur interested in social music discovery and meta-data indexing",1310504758,1452895004
iThrowAwayi,8,,1316700210,1452896871
iTrollFreely,2,,1364391659,1450207814
iTunes,6,,1299475935,1452892631
it,452,,1249798412,1452830511
it-crow,1,,1273490317,1452889212
it0ny,6,,1237145940,1452888647
it200219,2,,1339007431,1452903391
it33,77,"CEO of Mattermost (YC S&#x27;12). @iantien on Twitter. GSB, Waterloo alum",1335899383,1450207814
it99ts,1,,1235640278,1452924703
it_guy,3,,1376836054,1452915572
it_is_Magical,0,,1444621866,1453172991
it_kraut,1,,1378212428,1452916037
it_learnses,249,,1368926005,1452895366
it_luddite,9,"Reforming geek.  Love the pretty shinies but they're not the answer to happiness.<p>Professional background:\nIT Stuff - everything, and I mean <i>everything</i> in IT except DBA crud.  Previous 5 year focus has been network and system security along w/ federal regulatory compliance.",1364913890,1450207814
it_ops,1,,1362790381,1452910679
ita37cl6,1,,1316461132,1452896759
itaCas,3,,1375455860,1452915749
itaborai83,71,,1311957542,1450207814
itachi444,1,,1442825598,1453172508
itafroma,1937,"Software engineer at Acquia.<p>More info: https://marktrapp.com/about<p>Twitter: @itafroma",1232669395,1451587073
itaibn,16,,1428969325,1453168125
itaifrenkel,104,,1381425331,1452242027
itail,1,,1336050313,1452913293
itaileibowitz,3,"I&#x27;m co-founder at https://www.wanderant.com . We are building a tool to help plan trips.<p>Big fan of Rails and more recently Ember.",1412685132,1450207814
itajaja,11,https://github.com/itajaja,1403458209,1453166942
itajooba,1,,1304326487,1452893560
itake,31,,1393685002,1452377789
itakee,2,,1362607130,1452910480
italian_casHck,1,,1404687543,1452927762
italiano40,1,,1303158029,1452893372
italics,1,,1357598164,1452908645
italkless,2,,1323479388,1452898811
italophil,105,,1317042558,1450441407
italreadyexists,1,,1424993602,1453166657
italymusicshare,1,,1337806828,1452903239
