ID,Karma,About,Created,Updated
NLGoldberg,1,,1413189358,1413189424
NLHogan,1,,1321460041,
NLPsajeeth,117,http://www.noteloop.com,1367772631,1419273060
NLShapeways,3,,1374086893,
NLUlite,46,,1409926835,1436726632
NLark,1,,1271221389,
NLips,118,,1332498153,1451576551
NLongo,6,,1302839114,
nLight,7,,1348385916,1453165109
nl,15042,"http://au.linkedin.com/in/nicklothian<p>http://nicklothian.com/blog<p>http://twitter.com/nlothian<p>firstname.lastname at gmail.com",1207542660,1452882058
nl382,1,,1413359665,1450207814
nl5874,62,,1389725666,1450207814
nl5887,91,,1386687010,1450650025
nla,272,,1360710025,1450207814
nlabs,105,,1267604275,1452888928
nlacasse,4,,1379634804,1452917846
nlacassespireio,6,,1327091678,1452899567
nladevilz,1,,1331633601,1452900615
nlagalante,1,,1392222508,1452921459
nlake44,73,"http://navrajchohan.com\nI have a PhD in computer engineering from UCSB. My background includes, but not limited to:\nSensor networks, computer security, distributed systems, programming languages, and people. My priority in life is helping others because I have so much. I have personal friends in Larry at Google. Rich at Virgin Atlantic, PG, Guido, and a ton of other folks. Ask and you shall receive.<p>If it aint open, don&#x27;t use it.\nOpen Source Google App Engine: \nhttp://appscale.com and http://github.com/AppScale/appscale",1283921266,1450207814
nlakhani,2,,1290005126,1450207814
nlandiss,1,"Marketing manager for Customer.io, the app that lets you send emails based on what people do (or don&#x27;t do) in your app.",1399048037,1452924012
nlanges,4,,1426509171,1453170595
nlanier,188,"photographer and entrepreneur.  treehousebew.com / natelanierphotography.com",1222964270,1452886608
nlativy,12,"I write software, walk around London, take photos, drink tea and listen to music.<p>I have a blog but it doesn't get updated very often: http://www.lativy.org",1236719803,1450207814
nlauer,1,,1333156482,1453170966
nlavezzo,278,"Co-founder & COO at FoundationDB\nwww.foundationdb.com<p>@nlavezzo on Twitter but most tweets are @FoundationDB",1282852170,1450207814
nlawalker,935,,1272144461,1452813273
nlawt,1,,1392625998,1452921535
nlazaris,20,,1419531931,1453169981
nlc,6,,1334660903,1452902259
nlco,16,,1282243387,1452890056
nleach,38,,1286238250,1450813656
nlebesis,1,"Toronto based entrepreneur. Founder of NetworkFlo Inc.",1376845505,1452924703
nlecointre,4,,1309879559,1452897091
nletourneau,8,,1283217302,1452889988
nlew,9,,1357202871,1452909149
nleyten,2,,1365962476,1452911751
nlfurniss,1,,1383810879,1452918235
nlg,2,,1384293419,1453166734
nlh,3603,"Entrepreneur // MIT Grad (&#x27;00) // Proud Nerd<p>Current:  Head of Product & Marketing @ Scalyr<p>@noahlh for the occasional tweet.\nhttp://nlh.me\n*@ above will get to me",1273456591,1452407274
nlhma,2,,1393901112,1453170898
nliang86,5,,1295222300,1450207814
nlightcho,2,,1381843162,1453171589
nlindblad,1,,1339882668,1452903523
nlindblad_se,1,,1398358262,1452923604
nlindig,8,,1263413145,1452888767
nlintz,-6,,1362465307,1452911268
nlite095,1,,1317046188,1452897090
nlite484,1,,1314626366,1452896325
nlittlepoole,1,,1391734457,1450207814
nlivingstone,5,"25 year old Web Designer & Developer based in Ontario, Canada.<p>http://nlivingstone.com",1414971013,1450207814
nlj,1,,1364592887,1452911496
nlkl,5,,1369583969,1450207814
nlkndlk,1,,1409776149,1452930439
nlknvkengf,0,,1420914690,1453165122
nlksnclds,-17,,1419191151,1450267840
nll,4,,1264264438,1452888767
nlmooney,3,,1297192283,1452892403
nlmoreaux,10,http://diplodoc.us,1300552198,1450207814
nlmquan,1,,1369044588,1453171629
nlnews,1,,1436440614,1453170621
nlo,47,,1277090641,1450207814
nloadholtes,28,http://ironboundsoftware.com/blog<p>or<p>http://rate-my-resume.com,1186589290,1186589290
nlogn,165,,1279378153,1452889589
nlohmann,32,"[ my public key: https://keybase.io/nlohmann; my proof: https://keybase.io/nlohmann/sigs/R1ZdGjbgXUOMbWSnlLyoikNAe_yw2yIJtHRf4iAd6v0 ]",1275777636,1451338333
nlokare,9,,1421088770,1453167003
nlolks,-4,,1301061471,1450207814
nlopez,1,,1376223243,1452928429
nloui,4,,1273016644,1452900163
nlow,198,,1333064852,1452901228
nlowell,5,,1402592771,1450207814
nlp,24,,1388340910,1450207814
nlpandbeyond,1,,1386404314,1452919281
nlpinlondon,2,,1322514696,1452898619
nlquyen,1,,1308801892,1452894430
nlramu,1,,1301575974,1452893128
nls,8,,1394547939,1450207814
nlsahs,3,,1335844027,1452902546
nlstitch,14,"Entrepreneur and Software Engineer\nmarijnoosterveld.com",1323986120,1450207814
nltalent,1,,1438628898,1453171255
nlte,12,"Designer and programmer in Paris.",1399533893,1453173300
nltkbot,14,,1421530725,1453165339
nluna,2,,1444376312,1453174011
nlupuss,1,,1390414137,1452920411
nluqo,1,"I used to think I was a decent programmer. Then I started reading Hacker News.",1326977744,1450207814
nlurski,4,,1446342178,1453173439
nlutsenko,10,,1415306605,1453175275
nlv85,2,,1300490268,1450207814
nlvd,3,,1381798573,1452917266
nlw,2,,1313981798,1452896036
nlweb,2,,1354635630,1452908501
nlwhittemore,503,"CMO at http://www.partnered.com",1224713592,1450207814
nlx,3,,1367211333,1450207814
nly,3853,,1365934739,1452859367
nly2,4,,1357326083,1452908599
nlz1,159,http://twitter.com/noahlz,1284610827,1452889988
