ID,Karma,About,Created,Updated
0d0d0fsd0,1,,1392920453,
0day,1,,1361317105,
0db69ba0148f43f,3,,1442796970,1442809836
0din,1,,1393457808,
0dmeth,4,,1347184016,
0dmethz,2,,1419689906,1421779611
0dvaufcx6vdu97e,1,,1333294287,
1day1day,3,,1426138860,1428554398
1dayitwillmake,15,,1387550246,1444529804
1daywishes,1,,1321756558,
1diggnews,5,,1248902743,
1djj12dj0,0,,1376112461,
1dl3,-2,,1415490128,1415549307
1dundundun,49,,1387468814,1424796647
2D,5,"Very shy on HN but grateful to the people who aren&#x27;t.\nJeanne Bardin",1394699470,1425258131
2DTFtxfDpN,2,,1427668215,1427731457
2ddddd22,1,,1418026331,1418026354
2ddrafting,1,,1312880135,
2drew3,148,,1384752751,1451761432
2duf,1,,1321984430,
2dvisio,2,,1330002677,1449688870
2dwarfs,2,,1342174035,
3D4y0,5,,1281905918,1423687937
3D_Dev,1,,1360096445,
3Dagogo,1,,1369588758,
3Ddude,2,,1382194173,
3Dpuzzlepiece,7,,1435321037,1440205188
3d,18,,1177981560,
3d3mon,429,,1278043264,
3d7718844,1,,1399609544,
3d8995163,8,,1423023174,1437035571
3dFlatLander,470,,1241147297,
3dGrabber,-3,,1311278356,
3dcart,3,,1332355351,
3ddoctorwhere,1,,1406967952,
3dev,1,,1376379914,
3dfan,266,,1443114949,1451263034
3dg4ever,0,,1366234565,
3dgeeks,1,,1393021946,
3diablo3,1,,1339463534,
3dimension,1,,1435152912,1435152970
3dinger,1,,1378312263,
3dmindmapper,1,,1356373319,
3do,2,,1322831388,1441978771
3dollarnoodles,1,"noodlesPrice int = 3;",1448996366,1450614780
3dprinting,11,"Mod @ http://www.3DPrintingForum.org/",1406719039,
3dptz,38,,1360831706,
3dresearcher,11,,1452030804,1452083630
3ds,418,,1236699437,1443470910
3dwalkthrough,1,"YANTRAM Established in 2004, Yantram has since produced thousand  of projects spanning from Architectural visualization work to 3D presentational for event, documentaries for small film to medical animated, cartoon series to television commercials.<p>For Designing work Yantram provide different kind of projects, like 3D Rendering, Architectural Designs & Drafting, Civil Engineering detailing etc. Structural Design & Detailing, Material Estimation & Takeoffs, Interior & Exterior Walkthroughs, Animation. Our expert team of engineers will execute your projects within your given timeline with Our exceptional quality and accuracy.<p>Our Expertise in 3D Rendering Design View:<p><pre><code>    - 3D Residential  & Commercial Design ( interior - exteriro)\n    - 3D walkthrough - Flythrough presentations video. \n    - 3D Industrial  Engineering Design\n    - 3D Retail Design\n    - 3D Product desing\n    - 3D Character Animation\n</code></pre>\nYantram with an immensely qualified and creative team, an invaluable and diverse experience, and the latest technologies, we offer the industry&#x27;s broadest and most comprehensive range of solutions. Using a dynamic blend of proven business strategy, creative rich media assets and innovative technologies in our solutions, we help our clients steer into new avenues of visibility and growth.<p>http://3d-walkthrough-rendering.outsourcing-services-india.com",1381047700,
4Data,2,,1431356385,1441370598
4d004anonymous,9,,1437407413,1437468657
4d26p46pl1,1,,1315209060,
4d47,3,"Yogi, programmeur et amoureux<p>[ my public key: https://keybase.io/4d47; \n  my proof: https://keybase.io/4d47/sigs/cMkSc-bUvxyu3HKiCGzfdFY6dfPojlWQA-2kbqJr9v8 ]",1371214733,1429624151
4d86v28vf5,1,,1315563654,
4dable,1,"One of a kind utility site designed to save time, money and convienence when shopping for an affordable website.  One stop website shop!",1446414897,1447984866
4dd3r,5,,1326665485,
4deadaccounts,1,,1335872573,
4dl0v3-p34c3,14,,1381554580,
4dr144n,7,,1291371790,
5Degrees,17,"This is the profile of Jeb Ory, the CEO and Co-founder of 5Degrees, mobile-first CRM that actually works.",1317706372,
5db8db,2,,1421551824,1452613949
5deadaccounts,1,,1336566399,
6d0d8bq9r0,1,,1359900634,
6d0debc071,1518,"Despite the name, I&#x27;m not a bot. I just can&#x27;t be bothered to come up with another new username.",1366682718,1452497411
6d65,11,,1353919665,1439627983
6d6b73,71,,1434559543,1452727775
6db7dcf1b19d,3,,1258746828,
7D8,21,"developer :)",1308935171,
7d9bf2471be6f39,1,,1280931614,
7dayz,0,"A visual stories based social network. Share moments, experiences & journeys!<p>more details here: http://7dayz.co",1431254752,1444399960
7ddbigail0,1,,1336257735,
7dow,8,hn@7dow.com,1300183104,
8d9f122e,4,,1441589973,1441762605
8dad6bea,55,,1426566250,1428314036
8dayz,1,,1323135012,
8dot5by11,18,,1309146336,
8draco8,6,,1383683744,1449591718
9designstreet,1,,1366827283,
9diov,49,,1326078507,1414951727
AD-Edge,1,,1350684430,
AD1066,3,,1339725442,
AD7863,8,,1311782780,
ADFASFGADA,1,,1391892015,
ADHONYS,2,,1268198944,
ADMlN,1,,1434248405,1434248431
ADNANSHAAD,1,,1319949591,
ADO,2,,1281040447,
ADRIANFR,58,,1236745444,1447808417
ADSstreamsthrow,16,,1449253209,1453175331
ADY,1,,1359332473,
ADanFromCanada,13,,1377704248,1448784422
ADent,22,,1299286074,1451167702
ADevInTheMist,1,,1320166042,
ADeveloper,1,,1403634387,
ADevilsAdvocate,1,,1328625817,
ADhuna,2,"I am a sophomore at Stanford University majoring in Management Science & Engineering and I am interested in making the world an easier place to live in.",1297378056,
ADiMichele,1,,1301661997,
ADqurashi,1,,1413849665,1413849790
ADrunkenHacker,1,,1355982543,
AdBait,2,,1433996018,1433999864
AdCento,2,,1326799947,
AdFraser,3,,1358332664,
AdResults,1,"Media buyer specializing in discount print and radio advertising as well as online recruiting.  Owner of American Classified Services, Inc. and http://www.AdvertisingResults.com",1358434847,
Ad_Astra,3,,1281933357,
Ad_Nauseam,14,,1406819202,1419434760
AdaRoseEdwards,2,,1380532425,
AdageTech,1,,1388674731,
Adal,1,,1256593695,
AdalbertoF,1,,1306673062,
Adalric,2,,1328564758,1432831193
Adam503,114,,1238489418,1418943465
Adam69,1,,1318562837,
Adam89,6,Brogrammer,1372714027,1451737006
AdamActon,2,,1321457791,
AdamAtomic,50,,1258758142,
AdamBCo,1,,1373488322,
AdamBackSatoshi,1,,1397147940,
AdamBez01,0,,1254327060,
AdamBrownEtsy,1,,1300227794,
AdamCassel,1,,1313588381,
AdamClements,1,,1431077978,1431078528
AdamCraven,6,,1334235767,1435837570
AdamDeitch,1,,1302316384,
AdamDuMonde,9,,1355198053,
AdamFernandez,902,"Front-end Developer\nStartup Observer",1319751438,1446582740
AdamFort,10,"Touch typing enthusiast",1394704761,1449504607
AdamG,2,,1187430716,
AdamGS,1,,1431523280,1447252589
AdamGibbins,920,"Linux Systems Administrator based in London, UK.<p>Contact details and personal site:\nhttp://www.adamgibbins.com<p>Top Colour: f1e9d9<p>[ my public key: https://keybase.io/adamgibbins; my proof: https://keybase.io/adamgibbins/sigs/yfZi4Dg_Oy8D1xq2oIRf143FbTZlyaVHCoB55kT46sQ ]",1236715432,1452823594
AdamGlass,1,,1381117485,
AdamGorbe,1,,1431444798,1435749310
AdamGorman,15,"Hello, I am Adam.<p>I am looking for a software development position.",1349967554,
AdamGravy,0,,1299312229,
AdamGrey,1,,1404423786,
AdamHunter,1,,1241031173,
AdamJBall,204,"Run two startups: Concept Cupboard & Coding Cupboard.<p>Concept Cupboard: connecting businesses with student and graduate freelance creatives. http://www.conceptcupboard.com<p>Coding Cupboard: connecting businesses with student and graduate freelance coders. http://www.codingcupboard.com<p>Passionate about startups and burritos.<p>Find me on twitter: @AdamJBall",1340877872,
AdamJacobMuller,8,,1416089614,1451834619
AdamJlovell,0,,1314915897,
AdamJonR,7,,1328256725,1440879619
AdamKlob,1,,1443511636,1443511777
AdamLasnik,29,,1245882279,
AdamM,2,,1212072868,
AdamMcQuaid,1,,1425999977,1426001816
AdamMeghji,23,"Co-founder & CTO at Uniiverse.com",1301942980,1449502395
AdamMickiewicz,-4,,1419201986,1423814185
AdamMills,1,,1384276745,1440474287
AdamN,700,"Founder of Kili.io, a public OpenStack for African markets based in Nairobi.<p>Former CTO at Yipit where I focused on Python, Django, Ubuntu, Amazon Web Services.<p>Get in touch if you have any interest in Africa, OpenStack or anything in between.",1251379244,1451585589
AdamNMalone,4,,1296486767,
AdamNicolas,1,,1315404962,
AdamProut,2,,1310497652,1424852905
AdamRoberts,4,,1395171567,1448515284
