ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
T3RMINATED,,-20,0.0,1,117,"inventor and founder of jQueryUI",1368544632,1452794238
T3mp35t,0,9,0.0,0,0,,1422250316,1453165573
t3,0,1,0.0,0,0,,1255526143,1452888407
t314159,0,2,0.0,0,0,,1348508860,1453175215
t32123t,,1,0.0,0,1,,1406912268,1450207814
t32k,,5,0.0,3,0,"Front-end Developer.",1392867237,1450207814
t33,0,0,0.0,0,1,,1337265185,1452903018
t342,0,6,0.0,0,1,,1327506248,1452899681
t34cher,0,1,0.0,0,1,,1297771033,1452892402
t35t3r,0,1,0.0,1,0,,1375896537,1452915404
t3chbrainy,,-1,0.0,0,2,,1312641972,1450207814
t3chg1rl,0,6,0.0,0,5,"Geek girl in ATX. Coder, IT PM. \nBlog at http://www.adviceforgeeks.wordpress.com<p>Email is t3chg1rl (at) gmail.",1292382564,1452891888
t3f,,36,0.0,4,11,,1411477182,1452283109
t3h3lyk,0,1,0.0,0,0,,1421944282,1453165495
t3hSpork,,11,0.0,15,13,,1386893041,1450207814
t3hprofit,0,1,0.0,0,2,,1385397035,1452918986
t3hprogrammer,,64,0.0,9,8,"I&#x27;m an Android developer at Tumblr.",1346807920,1452397935
t3kcit,0,11,0.0,1,7,,1342309756,1452904585
t3kno,0,1,0.0,1,0,,1354021464,1452907584
t3knomanser,0,2,0.0,0,1,,1238161244,1452887350
t3mp3st,0,522,2.40909090909091,26,11,,1252815651,1452888344
t3ra,,161,0.0,6,15,,1295884788,1451152815
t3rcio,,1108,0.0,52,11,http://www.hackernewsers.com/users/t3rcio.html,1246458959,1450207814
t3roar,0,1,0.0,1,0,,1364815780,1452911535
t3roo,0,2,0.0,0,0,,1448242169,1453174095
t3rr0r1z3r,0,3,0.0,1,1,,1265065219,1452888810
t3rse,0,1,0.0,0,1,,1286813763,1452891887
t3rseCode,,2,0.0,1,5,,1408373348,1450207814
t3st,0,1,0.0,1,0,,1328964019,1452899953
