ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
h00k,,48,0.0,2,18,"[ my public key: https://keybase.io/captainhook; my proof: https://keybase.io/captainhook/sigs/2e67bBqA_SJGrVKeHsB2s-D4e1CMNOHJMyZ9406CGxI ]",1293480943,1450207814
h00pla,0,-1,0.0,0,1,,1267635627,1452888928
h02,0,1,0.0,2,0,,1364841319,1452911535
h078,,12,0.0,0,4,,1399526050,1450207814
h0ba,,5,0.0,0,2,,1411728068,1450207814
h0bbit,0,1,0.0,0,1,,1301211228,1452892952
h0bz,0,1,0.0,0,0,,1375174435,1453175250
h0cked,0,43,0.0,0,18,,1385861880,1452919207
h0h0,0,21,0.0,1,6,"math & cs",1320931369,1452898339
h0h0h0,,48,0.0,1,16,"software eng., improv comedian, maker of things, yo what&#x27;s that loud noise?",1251170550,1450207814
h0ke,0,1,0.0,0,0,,1427998593,1453167771
h0l0cube,0,7,0.0,0,0,,1411799282,1453169177
h0mee,0,1,0.0,1,3,,1215044485,1452886327
h0mer,0,1,0.0,2,0,,1361194245,1452909923
h0munculus,0,2,0.0,0,2,,1338469787,1452903303
h0n3yBadg3r,0,1,0.0,0,0,,1425581789,1453167003
h0phead,0,1,0.0,0,0,,1384370968,1453171082
h0ratio,,4,0.0,0,1,,1379957590,1450207814
h0st1le,0,1,0.0,0,1,"tinker, tailor, soldier, spy...",1329149735,1452901775
h0tl33t,,1,0.0,8,0,,1385476480,1450207814
h0tsauc3,0,-2,0.0,0,0,,1254326895,1452888375
h0w412d,,41,0.0,1,24,,1358988874,1450207814
h0x91b,0,25,0.0,0,14,"http://www.redis-v8.com - Redis with built in Google V8 JS engine.",1370954513,1452913533
