ID,Karma,About,Created,Updated
FD3SA,2090,,1294722162,1449999965
FDAD,2,,1442600155,1442605291
FDRIVE,2,,1445305115,1445311251
FDSeng,1,,1301816701,
FDXZ,1,,1327457093,
FDpod,26,,1376952226,
Fdebong,6,"Me: http://www.twitter.com/fdebong\nOur startup: http://www.twitter.com/mysugr\nThe organization I cofounded in 2009: http://www.starteurope.at",1265617326,
Fdndjxjxr,26,,1424712488,1427246722
fd101,1,,1441371523,1453172093
fd3r4dfresd,1,,1402024318,1452925081
fd4gfdgfd,1,,1404953135,1452926902
fd80d53d,1,"All nice names are taken, so I resorted to a GUID.",1420876518,1453165122
fdaciuk,2,,1448296740,1453174109
fdadfdad,0,,1436202726,1453170525
fdafdasfdsa,1,,1179789341,1179789341
fdahgrthkn,17,,1434829255,1453170081
fdale,1,,1321388537,1452898619
fdallastxalk,1,,1328573873,1452899829
fdanconia,28,,1383062177,1450207814
fdang,4,"Mein Name ist Ficken Ding",1445218836,1453173171
fdank,-4,,1444867315,1453173073
fdas3453,1,,1402012425,1452925031
fdasfd3,1,,1397093368,1452922905
fdask,9,,1379445732,1450207814
fdataresearch,1,,1339511656,1452903490
fdavison,1,,1383575958,1452918056
fdawg4l,1,,1407898329,1452929025
fdb,1355,,1172059307,1444517292
fdb713,1,,1343305993,1452904884
fdbl1380,1,,1316831316,1452896994
fdblvS5f,1,,1316583484,1452896871
fdcincshop,1,,1390784954,1452920652
fdcv,1,,1326533863,1452899504
fdd,4,"obsolete typist.\nhttp://altair.pw/",1266237643,1450207814
fdddew,1,,1406047296,1452927822
fddi,1,,1388698442,1450207814
fddlr,4,,1384987862,1450207814
fddr,30,,1404048358,1450207814
fdecampredon,3,,1422534644,1453165674
fdedevillany,1,,1313242263,1452895821
fdeeee12212,1,,1358219858,1452908808
fdej,743,,1316555739,1452806836
fdelapena,-1,,1345792783,1450575955
fdellavedova,147,,1415919524,1453165186
fdemmer,11,,1396483812,1450207814
fdenkens,6,,1265183916,1452888810
fderp,11,,1363718606,1452911035
