ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
B0073D,0,6,0.0,0,2,"[ my public key: https://keybase.io/b0073d; my proof: https://keybase.io/b0073d/sigs/s8jDc-IiTHOTEtyAlZ09jLLzcatjdCUygnHauHKu6Vg ]",1434668566,1438012351
B0Z,0,116,2.32558,6,66,,1298998788,1425668763
B0jan,0,-8,0.0,0,5,,1404457668,
B0rG,0,1,0.0,0,4,,1282242226,
b0,0,60,2.0,0,34,,1342868398,1452904722
b00biesb00bies,0,1,0.0,0,1,,1406072180,1452927911
b00gie,0,1,0.0,0,0,,1254331185,1452888374
b00gizm,,57,0.0,2,7,,1330013508,1450207814
b00m,0,2,0.0,0,1,,1344723426,1452905182
b00radley,0,2,0.0,0,2,,1177315626,1177315626
b00tbu9,0,1,0.0,0,1,"AWS EC2,Tridion,Linux,Windows,C#,Cloud",1402373808,1452925180
b00tstrapper,0,1,0.0,1,0,,1316059017,1452896588
b00y0h,0,1,0.0,3,1,,1318948702,1452902981
b00y4,0,1,0.0,0,0,,1439415249,1453174610
b00ya,0,2,0.0,1,2,,1284584532,1452889988
b05us,0,4,0.0,0,0,,1257808197,1452888474
b08aa8b0dcfce,0,-7,0.0,0,0,,1427694905,1453167608
b09,0,14,0.0,9,5,,1326382867,1452900414
b094i2d0n,0,1,0.0,0,2,,1335335455,1452902431
b0ard,,1,0.0,0,1,,1395162980,1450207814
b0b,0,3,0.0,0,2,,1283181638,1452889908
b0b0b0b,,251,2.81818,5,64,,1183906202,1450207814
b0b1k,0,4,0.0,0,1,,1365769111,1452915536
b0b_d0e,,326,0.0,2,29,,1363802051,1450207814
b0ba1lle,,9,0.0,4,4,,1391418451,1450207814
b0bfrey,,1,0.0,0,1,,1401726655,1450207814
b0cchin0,0,1,0.0,0,1,,1376957311,1452922098
b0d0gger,,1,0.0,0,1,,1370097276,1450207814
b0gey5,0,1,0.0,0,3,,1337901204,1452904949
b0ib0t,0,-20,0.0,0,5,,1227537228,1452886722
b0ing,0,277,0.0,13,9,,1363895200,1452914683
b0j3,0,1,0.0,2,1,"Father of 3, husband of 1. SL interpreter, Researcher at FofArts, Triathlete, CODA, mobile developer, hacker, mind behind http://www.kronokraktor.com",1326806807,1452899533
b0jangles,0,3,0.0,2,1,,1346528687,1452905701
b0k,,7,0.0,0,5,"iOS dev working on gaming apps",1317140622,1450207814
b0k0n0n,0,41,0.0,0,1,"Ceea ce este important nu se arat ochilor.",1244966614,1452887978
b0n40,,11,0.0,1,1,,1376834991,1450207814
b0ner_t0ner,,56,0.0,1,6,,1330231108,1450207814
b0nz,0,-9,0.0,0,5,,1398792993,1452923931
b0o,,22,0.863636,4,78,,1283069262,1450207814
b0rbb,0,5,0.0,0,0,"[ my public key: https://keybase.io/b0rbb; my proof: https://keybase.io/b0rbb/sigs/QDwzdn4Lok9tP-7caLUQbv3C688kzvNRWdELllSQgms ]",1434982509,1453170782
b0rka,0,6,0.0,0,1,,1382458856,1452918128
b0rsuk,0,352,0.0,1,199,,1296354728,1452892403
b0sk,,266,4.6,0,60,,1291934274,1450207814
b0sk0,0,2,0.0,0,3,,1314889788,1452896359
b0t,0,10,0.0,0,0,"[ my public key: https://keybase.io/jaken; my proof: https://keybase.io/jaken/sigs/kjxIRrboioz0bXeFpMp67xUq1Dq7utWuBOIzWLmjMyc ]",1422568391,1453165686
b0ti,,11,0.0,1,6,,1381085183,1450207814
b0ttler0cket,0,14,0.0,0,20,,1355089950,1452911594
b0xors,,1,0.0,0,1,,1351611718,1450207814
b0z0,,-23,0.0,2,28,,1359833713,1450207814
